layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
output_dense,"(1,)",1,0.2578125,0.2578125,0.2578125,0.2578125,0.3125,1.0,0.0,1,auto,auto,"fixed<2,1,TRN,WRAP,0>"
conv4,"(8, 8, 32)",2048,3.539703369140625,3.539703369140625,0.047882080078125,0.11881380908001235,1.75,0.02620625782355538,0.9994868010987746,1,auto,auto,"fixed<2,1,TRN,WRAP,0>"
gap,"(1, 1, 32)",32,0.766357421875,0.766357421875,0.064208984375,0.1000259389782247,0.25,0.10161852645318949,0.9948750062380911,1,auto,auto,
conv3,"(16, 16, 24)",6144,4.300547281901042,4.300547281901042,0.016042073567708332,0.06443577617949871,1.0,0.012092692191461736,0.9999014502816859,1,auto,auto,"fixed<2,1,TRN,WRAP,0>"
act4,"(8, 8, 32)",2048,0.586181640625,0.586181640625,0.00665283203125,0.05366645620127278,1.0,0.05858695293763056,0.9975113590026898,1,"ufixed<2,1,RND_CONV,SAT,0>",,
pool4,"(4, 4, 32)",512,0.766357421875,0.766357421875,0.006591796875,0.04963170384571202,1.0,0.04719324350593393,0.9981790342641171,1,auto,auto,
conv2,"(32, 32, 24)",24576,2.4312718709309897,2.4312718709309897,0.0037638346354166665,0.02782060240661162,0.75,0.009418541741576842,0.9999402565173566,1,auto,auto,"fixed<2,1,TRN,WRAP,0>"
pool3,"(8, 8, 24)",1536,0.7159830729166666,0.7159830729166666,0.00146484375,0.02508080805503967,1.0,0.024465157057322794,0.9995355027118716,1,auto,auto,
act3,"(16, 16, 24)",6144,0.61517333984375,0.61517333984375,0.0010172526041666667,0.020798423561029553,1.0,0.021935171176276323,0.9996604685124528,1,"ufixed<2,1,RND_CONV,SAT,0>",,
pad_conv4,"(10, 10, 24)",2400,0.4582291666666667,0.4582291666666667,0.0009375,0.02006464644403174,1.0,0.024465157057322797,0.9995355027118716,1,auto,,
conv1,"(64, 64, 16)",65536,2.583433151245117,2.583433151245117,0.0014781951904296875,0.018267858377183158,0.25,0.0061500894185019875,0.9999790551964339,1,auto,auto,"fixed<2,1,TRN,WRAP,0>"
act2,"(32, 32, 24)",24576,0.6416473388671875,0.6416473388671875,0.00067138671875,0.015709053784898286,0.5,0.016455428073484976,0.9998158570528767,1,"ufixed<2,1,RND_CONV,SAT,0>",,
pool2,"(16, 16, 24)",6144,0.7194010416666666,0.7194010416666666,0.0005696614583333334,0.014479625517585427,0.5,0.014375792659651282,0.9998596832410539,1,auto,auto,
pad_conv3,"(18, 18, 24)",7776,0.5684156378600823,0.5684156378600823,0.0004501028806584362,0.012870778237853715,0.5,0.014375792659651283,0.9998596832410539,1,auto,,
pool1,"(32, 32, 16)",16384,0.4531402587890625,0.4531402587890625,0.0001220703125,0.006720526648988653,0.5,0.00833131091170116,0.9999530993935479,1,auto,auto,
act1,"(64, 64, 16)",65536,0.42703819274902344,0.42703819274902344,9.918212890625e-05,0.006603659960384488,0.5,0.00843015932892221,0.9999595922658339,1,"ufixed<2,1,RND_CONV,SAT,0>",,
pad_conv2,"(34, 34, 16)",18496,0.40139759948096887,0.40139759948096887,0.00010813148788927336,0.00632520155198932,0.5,0.00833131091170116,0.9999530993935479,1,auto,,
act0,"(128, 128, 8)",131072,0.4312000274658203,0.4312000274658203,7.915496826171875e-05,0.006284212618206257,0.5,0.008164990840867754,0.9999665941047468,1,"ufixed<2,1,RND_CONV,SAT,0>",,
pool0,"(64, 64, 8)",32768,0.48079681396484375,0.48079681396484375,6.866455078125e-05,0.0055688077867615555,0.5,0.006888555922869872,0.9999737328231145,1,auto,auto,
pad_conv1,"(66, 66, 8)",34848,0.4520991161616162,0.4520991161616162,6.456611570247934e-05,0.005400056035647568,0.5,0.006888555922869872,0.9999737328231145,1,auto,,
conv0,"(128, 128, 8)",131072,1.3671130758890992,1.3671130758890992,0.0006253657008219449,0.0008169313796496712,0.003981113433837891,0.000519509704883214,0.9999998995425138,1,auto,auto,"fixed<2,1,TRN,WRAP,0>"
pad_conv0,"(260, 260, 1)",67600,0.8846841305467633,0.8846841305467633,0.00027427549984205526,0.00046882548768631394,0.000972747802734375,0.0005115040917160544,0.9999999038147784,1,auto,,
