sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-0.132812500,0.466845595,0,True,0.628944207,0.628944207
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-0.289062500,0.428233398,0,True,0.559024409,0.559024409
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,0.101562500,0.525368822,1,False,0.745217244,0.745217244
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,0.078125000,0.519521322,1,False,0.732972426,0.732972426
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.093750000,0.476579651,0,True,0.647370411,0.647370411
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,0.171875000,0.542863283,1,False,0.782772771,0.782772771
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,0.226562500,0.556399579,1,False,0.812831075,0.812831075
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-0.132812500,0.466845595,0,True,0.628944207,0.628944207
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,0.085937500,0.521471162,1,False,0.737038803,0.737038803
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.156250000,0.461016779,0,True,0.618070839,0.618070839
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,0.210937500,0.552539708,1,False,0.804167478,0.804167478
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.039062500,0.509764383,1,False,0.712869153,0.712869153
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.007812500,0.498046885,0,True,0.689248560,0.689248560
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.031250000,0.507811864,1,False,0.708894246,0.708894246
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,0.171875000,0.542863283,1,False,0.782772771,0.782772771
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,0.164062500,0.540923872,1,False,0.778539227,0.778539227
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.210937500,0.552539708,1,False,0.804167478,0.804167478
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,0.023437500,0.505859107,1,False,0.704934594,0.704934594
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,-0.125000000,0.468790627,0,True,0.632599035,0.632599035
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,-0.078125000,0.480478678,0,True,0.654847426,0.654847426
20,it2_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.164062500,0.459076128,0,True,0.614476727,0.614476727
21,it2_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-0.031250000,0.492188136,0,True,0.677644246,0.677644246
22,it2_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.101562500,0.474631178,0,True,0.643654744,0.643654744
23,it1_S012,ro_19000,1,standalone,19000,config_087/vfpga_c087_0.bin,0.062500000,0.515619916,1,True,0.662385382,0.662385382
24,it1_S022,ro_10000,1,standalone,10000,config_097/vfpga_c097_0.bin,-0.039062500,0.490235617,0,False,0.712869153,0.712869153
25,it1_S025,ro_16000,1,standalone,16000,config_100/vfpga_c100_0.bin,0.226562500,0.556399579,1,True,0.586268575,0.586268575
26,it1_S028,ro_20000,1,standalone,20000,config_103/vfpga_c103_0.bin,-0.117187500,0.470736607,0,False,0.753456563,0.753456563
27,it1_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,0.460937500,0.613236554,1,True,0.489004523,0.489004523
28,it1_S042,ro_19000,1,standalone,19000,config_117/vfpga_c117_0.bin,0.414062500,0.602061589,1,True,0.507395532,0.507395532
29,it1_S052,ro_10000,1,standalone,10000,config_127/vfpga_c127_0.bin,0.007812500,0.501953115,1,True,0.689248560,0.689248560
30,it1_S056,ro_18000,1,standalone,18000,config_131/vfpga_c131_0.bin,0.132812500,0.533154405,1,True,0.628944207,0.628944207
31,it1_S058,ro_20000,1,standalone,20000,config_133/vfpga_c133_0.bin,0.203125000,0.550607366,1,True,0.596733309,0.596733309
32,it1_S071,ro_18000,1,standalone,18000,config_146/vfpga_c146_0.bin,0.140625000,0.535098429,1,True,0.625304570,0.625304570
33,it2_S002,ro_10000,1,standalone,10000,config_077/vfpga_c077_0.bin,0.289062500,0.571766602,1,True,0.559024409,0.559024409
34,it2_S003,ro_11000,1,standalone,11000,config_078/vfpga_c078_0.bin,0.312500000,0.577495365,1,True,0.549054862,0.549054862
35,it2_S005,ro_13000,1,standalone,13000,config_080/vfpga_c080_0.bin,0.054687500,0.513668469,1,True,0.666177224,0.666177224
36,it2_S007,ro_15000,1,standalone,15000,config_082/vfpga_c082_0.bin,0.250000000,0.562176501,1,True,0.575939420,0.575939420
37,it2_S017,ro_10000,1,standalone,10000,config_092/vfpga_c092_0.bin,0.101562500,0.525368822,1,True,0.643654744,0.643654744
38,it2_S018,ro_11000,1,standalone,11000,config_093/vfpga_c093_0.bin,0.312500000,0.577495365,1,True,0.549054862,0.549054862
39,it2_S019,ro_12000,1,standalone,12000,config_094/vfpga_c094_0.bin,0.328125000,0.581303091,1,True,0.542482988,0.542482988
40,it2_S022,ro_15000,1,standalone,15000,config_097/vfpga_c097_0.bin,0.257812500,0.564098480,1,True,0.572526433,0.572526433
41,it2_S026,ro_19000,1,standalone,19000,config_101/vfpga_c101_0.bin,0.257812500,0.564098480,1,True,0.572526433,0.572526433
42,it2_S034,ro_12000,1,standalone,12000,config_109/vfpga_c109_0.bin,0.093750000,0.523420349,1,True,0.647370411,0.647370411
43,it2_S035,ro_13000,1,standalone,13000,config_110/vfpga_c110_0.bin,0.226562500,0.556399579,1,True,0.586268575,0.586268575
44,it2_S054,ro_17000,1,standalone,17000,config_129/vfpga_c129_0.bin,-0.132812500,0.466845595,0,False,0.761756707,0.761756707
45,it2_S060,ro_8000,1,standalone,8000,config_135/vfpga_c135_0.bin,0.117187500,0.529263393,1,True,0.636269063,0.636269063
