sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-1.542968750,0.176104120,0,True,0.193711117,0.193711117
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-3.833984375,0.021165618,0,True,0.021392822,0.021392822
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-1.385742188,0.200088362,0,True,0.223254010,0.223254010
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,0.338867188,0.583915323,1,False,0.876866489,0.876866489
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-3.312500000,0.035144846,0,True,0.035777289,0.035777289
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,0.576171875,0.640186080,1,False,1.022168270,1.022168270
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-1.466796875,0.187429961,0,True,0.207553167,0.207553167
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-2.619140625,0.067916675,0,True,0.070333064,0.070333064
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-1.707031250,0.153549173,0,True,0.166703169,0.166703169
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-2.679687500,0.064182644,0,True,0.066334954,0.066334954
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,0.162109375,0.540438823,1,False,0.777483209,0.777483209
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.967773438,0.724675474,1,False,1.289804784,1.289804784
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-1.791992188,0.142828649,0,True,0.154117438,0.154117438
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.145507812,0.536312906,1,False,0.768545321,0.768545321
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-1.575195312,0.171477020,0,True,0.188110705,0.188110705
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.852539062,0.298900503,0,True,0.355105466,0.355105466
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.666992188,0.339170667,0,True,0.414259668,0.414259668
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-3.475585938,0.030014925,0,True,0.030474594,0.030474594
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,-2.321289062,0.089375091,0,True,0.093624202,0.093624202
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,-1.341796875,0.207214718,0,True,0.232202861,0.232202861
20,it2_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-3.446289062,0.030879720,0,True,0.031366547,0.031366547
21,it2_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-3.900390625,0.019832711,0,True,0.020032019,0.020032019
