idx,label,keras_logit,hls_logit,abs_err,rel_err
0,0,-0.8251953125,-1.09375,0.2685546875,0.3254437869822485
1,0,-0.701171875,-1.1875,0.486328125,0.6935933147632312
2,0,-0.865234375,-1.203125,0.337890625,0.3905191873589165
3,0,-0.623046875,-0.84375,0.220703125,0.3542319749216301
4,0,-0.7763671875,-0.890625,0.1142578125,0.1471698113207547
5,0,-0.6484375,-0.6875,0.0390625,0.060240963855421686
6,0,-0.6142578125,-0.859375,0.2451171875,0.3990461049284579
7,0,-0.18359375,-0.015625,0.16796875,0.9148936170212766
8,0,-0.9072265625,-1.046875,0.1396484375,0.15392895586652314
9,0,-0.7841796875,-1.078125,0.2939453125,0.37484433374844334
10,0,-0.31640625,-0.265625,0.05078125,0.16049382716049382
11,0,-0.4765625,-0.953125,0.4765625,1.0
12,0,-1.140625,-1.359375,0.21875,0.1917808219178082
13,0,-0.369140625,-0.328125,0.041015625,0.1111111111111111
14,0,-0.912109375,-1.21875,0.306640625,0.3361884368308351
15,0,-0.6376953125,-0.796875,0.1591796875,0.24961715160796324
16,0,-0.6533203125,-1.171875,0.5185546875,0.7937219730941704
17,0,-0.6923828125,-0.90625,0.2138671875,0.30888575458392104
18,0,-0.5390625,-0.734375,0.1953125,0.36231884057971014
19,0,-0.6728515625,-0.75,0.0771484375,0.11465892597968069
20,0,-0.7197265625,-1.140625,0.4208984375,0.5848032564450475
21,0,-0.8515625,-1.0625,0.2109375,0.24770642201834864
22,0,-0.9091796875,-1.34375,0.4345703125,0.47798066595059074
23,0,-0.59765625,-0.90625,0.30859375,0.5163398692810458
24,1,-0.4326171875,-0.015625,0.4169921875,0.963882618510158
25,1,-0.330078125,-0.25,0.080078125,0.24260355029585798
26,1,0.017578125,0.109375,0.091796875,5.222222222222222
27,1,-0.458984375,-0.234375,0.224609375,0.48936170212765956
28,1,-0.2294921875,0.0,0.2294921875,1.0
29,1,0.2666015625,0.515625,0.2490234375,0.9340659340659341
30,1,-0.0732421875,0.140625,0.2138671875,2.92
31,1,-0.2041015625,0.0,0.2041015625,1.0
32,1,-0.4404296875,-0.1875,0.2529296875,0.5742793791574279
33,1,0.236328125,0.453125,0.216796875,0.9173553719008265
34,1,0.3203125,0.453125,0.1328125,0.4146341463414634
35,1,-0.486328125,-0.59375,0.107421875,0.22088353413654618
36,1,-0.2392578125,-0.203125,0.0361328125,0.1510204081632653
37,1,-0.53515625,-0.734375,0.19921875,0.3722627737226277
38,1,-0.3017578125,-0.234375,0.0673828125,0.22330097087378642
39,1,0.01171875,0.25,0.23828125,20.333333333333332
40,1,-0.7626953125,-0.9375,0.1748046875,0.22919334186939821
41,1,-0.26171875,-0.3125,0.05078125,0.19402985074626866
42,1,-0.3984375,-0.359375,0.0390625,0.09803921568627451
43,1,-0.23046875,0.0,0.23046875,1.0
44,1,-0.0107421875,0.265625,0.2763671875,25.727272727272727
45,1,-0.609375,-0.625,0.015625,0.02564102564102564
46,1,0.1845703125,0.421875,0.2373046875,1.2857142857142858
47,1,-0.275390625,-0.4375,0.162109375,0.5886524822695035
