sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-2.904479980,0.051932545,0,True,0.053329625,0.053329625
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-3.759582520,0.022763228,0,True,0.023026311,0.023026311
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-2.886779785,0.052810968,0,True,0.054256594,0.054256594
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-2.741943359,0.060543275,0,True,0.062453523,0.062453523
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-2.006164551,0.118557202,0,True,0.126195170,0.126195170
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-1.687011719,0.156169233,0,True,0.169803317,0.169803317
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-2.244934082,0.095787337,0,True,0.100690700,0.100690700
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.086303711,0.478437454,0,True,0.650926078,0.650926078
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-3.079833984,0.043946790,0,True,0.044941709,0.044941709
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-3.112487793,0.042595075,0,True,0.043528858,0.043528858
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-1.064941406,0.256366279,0,True,0.296206675,0.296206675
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-1.493774414,0.183355884,0,True,0.202551878,0.202551878
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-3.745971680,0.023067977,0,True,0.023338207,0.023338207
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.989013672,0.271106940,0,True,0.316228252,0.316228252
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-3.053161621,0.045081173,0,True,0.046128940,0.046128940
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-1.744934082,0.148687298,0,True,0.160975766,0.160975766
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-2.301879883,0.090967390,0,True,0.095374310,0.095374310
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-3.214538574,0.038622261,0,True,0.039387879,0.039387879
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-1.560180664,0.173620724,0,True,0.190701439,0.190701439
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-2.669860840,0.064775398,0,True,0.066968563,0.066968563
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,-1.654113770,0.160553737,0,True,0.175012815,0.175012815
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-2.786987305,0.058031421,0,True,0.059783361,0.059783361
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-3.246704102,0.037445502,0,True,0.038164593,0.038164593
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-1.588134766,0.169646484,0,True,0.185903746,0.185903746
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,-0.546630859,0.366646428,0,False,1.003357307,1.003357307
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,0.077758789,0.519429908,1,True,0.655023399,0.655023399
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,1.294433594,0.784896675,1,True,0.242203193,0.242203193
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,0.883239746,0.707493126,1,True,0.346027365,0.346027365
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,0.518493652,0.626795464,1,True,0.467135005,0.467135005
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,1.808105469,0.859132747,1,True,0.151831832,0.151831832
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,0.807312012,0.691536415,1,True,0.368839469,0.368839469
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,1.430603027,0.806995257,1,True,0.214437488,0.214437488
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,0.369812012,0.591413553,1,True,0.525239755,0.525239755
33,it1_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,2.149658203,0.895636833,1,True,0.110220269,0.110220269
34,it2_S013,ro_21000,1,standalone,21000,config_088/vfpga_c088_0.bin,1.763122559,0.853600307,1,True,0.158292219,0.158292219
35,it2_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,-0.934753418,0.281961345,0,False,1.265985292,1.265985292
36,it2_S020,ro_13000,1,standalone,13000,config_095/vfpga_c095_0.bin,-0.591003418,0.356404657,0,False,1.031688517,1.031688517
37,it2_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,-1.271972656,0.218919753,0,False,1.519050041,1.519050041
38,it2_S036,ro_14000,1,standalone,14000,config_111/vfpga_c111_0.bin,1.473022461,0.813516351,1,True,0.206389253,0.206389253
39,it2_S042,ro_20000,1,standalone,20000,config_117/vfpga_c117_0.bin,1.186096191,0.766042144,1,True,0.266518092,0.266518092
40,it2_S045,ro_8000,1,standalone,8000,config_120/vfpga_c120_0.bin,-1.967651367,0.122641377,0,False,2.098490817,2.098490817
41,it2_S047,ro_10000,1,standalone,10000,config_122/vfpga_c122_0.bin,0.607910156,0.647463933,1,True,0.434692189,0.434692189
42,it2_S049,ro_12000,1,standalone,12000,config_124/vfpga_c124_0.bin,0.246032715,0.561199777,1,True,0.577678328,0.577678328
43,it2_S050,ro_13000,1,standalone,13000,config_125/vfpga_c125_0.bin,-0.054199219,0.486453511,0,False,0.720613939,0.720613939
44,it2_S051,ro_14000,1,standalone,14000,config_126/vfpga_c126_0.bin,0.641845703,0.655170565,1,True,0.422859673,0.422859673
45,it2_S064,ro_12000,1,standalone,12000,config_139/vfpga_c139_0.bin,-1.354736328,0.205097119,0,False,1.584271662,1.584271662
46,it2_S068,ro_16000,1,standalone,16000,config_143/vfpga_c143_0.bin,1.922668457,0.872435706,1,True,0.136466317,0.136466317
47,it2_S071,ro_19000,1,standalone,19000,config_146/vfpga_c146_0.bin,1.257446289,0.778586187,1,True,0.250275584,0.250275584
