layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
output_dense,"(1,)",1,0.2664298117160797,0.2664298117160797,0.5817168653011322,0.5817168653011322,0.5973314940929413,2.345694019561925,0.9999999999951602,1,auto,auto,auto
conv2,"(64, 64, 24)",98304,0.9499503597632838,0.9499503597632838,0.12431046881230316,0.1488897918274135,0.3170520067214966,0.12852225711362586,0.9918026663241403,1,auto,auto,auto
pool2,"(32, 32, 24)",24576,0.9075075264249245,0.9075075264249245,0.11179353326118502,0.14809904160943257,0.31744301319122314,0.12240970360656028,0.9930958527099547,1,auto,auto,
act2,"(64, 64, 24)",98304,0.7466458898342564,0.7466458898342564,0.1017032215363128,0.13917228972249474,0.31749284267425537,0.13042302291105973,0.991845930257887,1,auto,,
gap,"(1, 1, 24)",24,0.9075075444610169,0.9075075444610169,0.10248938024354477,0.1172697341497779,0.17515933513641357,0.11091855619596985,0.9938976004161635,1,auto,auto,
pool1,"(64, 64, 16)",65536,0.5885375844104057,0.5885375844104057,0.028486150668359356,0.037468617195787444,0.08958137035369873,0.03943131287360135,0.9994731061105657,1,auto,auto,
conv1,"(128, 128, 16)",262144,0.8800440333888621,0.8800440333888621,0.03190538413857813,0.03729063590330747,0.09091097116470337,0.030526659836823643,0.9995719388734469,1,auto,auto,auto
pad_conv2,"(66, 66, 16)",69696,0.5534090784538618,0.5534090784538618,0.026785875375941213,0.03633320455349086,0.08958137035369873,0.039431312873601354,0.9994731061105657,1,auto,,
act1,"(128, 128, 16)",262144,0.4984309454015285,0.4984309454015285,0.023229674142576984,0.03358218674350572,0.09143644571304321,0.03853942219471848,0.9994636834057083,1,auto,,
conv0,"(256, 256, 8)",524288,0.6374218484356672,0.6374218484356672,0.012027545485284286,0.012092079435473652,0.015694260597229004,0.012995175053505203,0.9999361345338769,1,auto,auto,auto
pool0,"(128, 128, 8)",131072,0.6663527618186977,0.6663527618186977,0.008893061338594244,0.010391514505498656,0.01586085557937622,0.010132483985868341,0.9999781238280732,1,auto,auto,
pad_conv1,"(130, 130, 8)",135200,0.6460073165466003,0.6460073165466003,0.00862153354861113,0.010231645051567907,0.01586085557937622,0.010132483985868343,0.9999781238280732,1,auto,,
act0,"(256, 256, 8)",524288,0.5591811938921464,0.5591811938921464,0.006256720587844877,0.008758885545562308,0.01597205176949501,0.009527945437037697,0.9999876178178351,1,auto,,
pad_conv0,"(516, 516, 1)",266256,0.8983074584757923,0.8983074584757923,0.000278150568177056,0.00047209380757258593,0.000972747802734375,0.0005111580352788126,0.9999999038617555,1,auto,,
