sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-2.149576902,0.104370767,0,True,0.110228754,0.110228754
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.204093367,0.449153035,0,True,0.596298248,0.596298248
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.312364131,0.422537786,0,True,0.549112270,0.549112270
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,0.258134335,0.564177615,1,False,0.830520492,0.830520492
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.153815061,0.461621871,0,True,0.619194123,0.619194123
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-0.894576848,0.290166231,0,True,0.342724464,0.342724464
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.358296543,0.411371987,0,True,0.529960852,0.529960852
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.336866051,0.416570951,0,True,0.538832430,0.538832430
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.441015571,0.608500994,1,False,0.937772304,0.937772304
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-2.339184523,0.087929292,0,True,0.092037762,0.092037762
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-1.627672434,0.164149464,0,True,0.179305467,0.179305467
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.631963670,0.347065415,0,True,0.426278331,0.426278331
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-2.601145029,0.069064765,0,True,0.071565569,0.071565569
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.793988168,0.311312974,0,True,0.372968356,0.372968356
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-2.148400068,0.104480825,0,True,0.110351645,0.110351645
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.821407974,0.305464868,0,True,0.364512532,0.364512532
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.524114549,0.371890619,0,True,0.465040954,0.465040954
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,0.093280159,0.523303145,1,False,0.740874514,0.740874514
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.626548946,0.348293465,0,True,0.428160918,0.428160918
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,-0.525417626,0.371586287,0,True,0.464556550,0.464556550
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-1.362760782,0.203791969,0,True,0.227894782,0.227894782
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-1.900969744,0.129998758,0,True,0.139260640,0.139260640
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-1.347630978,0.206257948,0,True,0.230996742,0.230996742
23,it2_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.869661391,0.295324764,0,True,0.350018241,0.350018241
24,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,2.660777569,0.934672161,1,True,0.067559441,0.067559441
25,it1_S026,ro_18000,1,standalone,18000,config_101/vfpga_c101_0.bin,1.752434611,0.852259615,1,True,0.159864087,0.159864087
26,it1_S039,ro_14000,1,standalone,14000,config_114/vfpga_c114_0.bin,1.484803796,0.815297069,1,True,0.204202730,0.204202730
27,it1_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,3.290766954,0.964110701,1,True,0.036549156,0.036549156
28,it1_S066,ro_8192,1,standalone,8192,config_141/vfpga_c141_0.bin,0.309828728,0.576843455,1,True,0.550184358,0.550184358
29,it2_S008,ro_16000,1,standalone,16000,config_083/vfpga_c083_0.bin,2.948336840,0.950184824,1,True,0.051098762,0.051098762
30,it2_S009,ro_17000,1,standalone,17000,config_084/vfpga_c084_0.bin,2.768136501,0.940929496,1,True,0.060887067,0.060887067
31,it2_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,3.651443005,0.974702902,1,True,0.025622571,0.025622571
32,it2_S023,ro_16000,1,standalone,16000,config_098/vfpga_c098_0.bin,1.598111510,0.831754277,1,True,0.184218222,0.184218222
33,it2_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,3.084937811,0.956267151,1,True,0.044717958,0.044717958
34,it2_S031,ro_9000,1,standalone,9000,config_106/vfpga_c106_0.bin,0.366513461,0.590616240,1,True,0.526588813,0.526588813
35,it2_S032,ro_10000,1,standalone,10000,config_107/vfpga_c107_0.bin,-0.644117057,0.344316467,0,False,1.066194083,1.066194083
36,it2_S033,ro_11000,1,standalone,11000,config_108/vfpga_c108_0.bin,0.384608835,0.594984215,1,True,0.519220403,0.519220403
37,it2_S041,ro_19000,1,standalone,19000,config_116/vfpga_c116_0.bin,2.179765940,0.898417713,1,True,0.107120160,0.107120160
38,it2_S046,ro_9000,1,standalone,9000,config_121/vfpga_c121_0.bin,1.018391013,0.734659070,1,True,0.308348738,0.308348738
39,it2_S053,ro_16000,1,standalone,16000,config_128/vfpga_c128_0.bin,1.029389381,0.736797498,1,True,0.305442190,0.305442190
40,it2_S056,ro_19000,1,standalone,19000,config_131/vfpga_c131_0.bin,2.184555769,0.898854015,1,True,0.106634643,0.106634643
41,it2_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,3.176512241,0.959940761,1,True,0.040883704,0.040883704
42,it2_S061,ro_9000,1,standalone,9000,config_136/vfpga_c136_0.bin,-0.170048743,0.457589961,0,False,0.781781778,0.781781778
43,it2_S065,ro_13000,1,standalone,13000,config_140/vfpga_c140_0.bin,0.111350618,0.527808927,1,True,0.639020941,0.639020941
44,it2_S066,ro_14000,1,standalone,14000,config_141/vfpga_c141_0.bin,0.830516636,0.696464159,1,True,0.361738946,0.361738946
45,it2_S067,ro_15000,1,standalone,15000,config_142/vfpga_c142_0.bin,1.365265131,0.796614087,1,True,0.227384924,0.227384924
46,it2_S072,ro_20000,1,standalone,20000,config_147/vfpga_c147_0.bin,2.405746937,0.917264488,1,True,0.086359421,0.086359421
47,it2_S073,ro_21000,1,standalone,21000,config_148/vfpga_c148_0.bin,2.506874800,0.924622366,1,True,0.078369878,0.078369878
