sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-3.549565315,0.027934375,0,True,0.028331961,0.028331961
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-3.985348701,0.018246827,0,True,0.018415354,0.018415354
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-4.274239540,0.013731454,0,True,0.013826603,0.013826603
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-3.514034271,0.028915540,0,True,0.029341832,0.029341832
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-3.077634811,0.044039282,0,True,0.045038457,0.045038457
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-2.446121216,0.079722660,0,True,0.083080198,0.083080198
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-3.256832123,0.037082159,0,True,0.037787187,0.037787187
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-2.469565392,0.078019492,0,True,0.081231196,0.081231196
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-2.767711639,0.059094123,0,True,0.060912168,0.060912168
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-4.277098656,0.013692787,0,True,0.013787398,0.013787398
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-2.805323601,0.057037176,0,True,0.058728420,0.058728420
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-3.577390671,0.027188647,0,True,0.027565098,0.027565098
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-4.009827614,0.017813447,0,True,0.017974017,0.017974017
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-2.496349335,0.076114502,0,True,0.079167135,0.079167135
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-2.810515404,0.056758581,0,True,0.058433018,0.058433018
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-2.519326210,0.074514398,0,True,0.077436704,0.077436704
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-3.130961418,0.041848040,0,True,0.042748892,0.042748892
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-3.544579506,0.028070079,0,True,0.028471575,0.028471575
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-3.723829269,0.023572280,0,True,0.023854551,0.023854551
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-2.923612595,0.050998576,0,True,0.052344980,0.052344980
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,-2.747996330,0.060199910,0,True,0.062088096,0.062088096
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-3.280809402,0.036235439,0,True,0.036908246,0.036908246
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-4.190944672,0.014906420,0,True,0.015018637,0.015018637
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-2.986691475,0.048030742,0,True,0.049222537,0.049222537
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,-1.472618103,0.186545001,0,False,1.679082775,1.679082775
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,-1.510533333,0.180859767,0,False,1.710033318,1.710033318
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,-0.106873512,0.473307024,0,False,0.748011001,0.748011001
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,-1.872221947,0.133284834,0,False,2.015266831,2.015266831
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,-1.741827011,0.149081019,0,False,1.903265370,1.903265370
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,-0.705689430,0.330552017,0,False,1.106991243,1.106991243
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,-0.506839752,0.375934653,0,False,0.978339946,0.978339946
