sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-2.229471684,0.097134964,0,True,0.102182199,0.102182199
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-1.969973445,0.122391739,0,True,0.130554957,0.130554957
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-1.865048051,0.134115745,0,True,0.144004034,0.144004034
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-1.407957911,0.196556347,0,True,0.218848223,0.218848223
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-3.141738415,0.041418045,0,True,0.042300216,0.042300216
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-1.987439036,0.120528064,0,True,0.128433624,0.128433624
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-1.935331941,0.126161589,0,True,0.134859804,0.134859804
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-1.920816302,0.127770566,0,True,0.136702777,0.136702777
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.346502185,0.414230888,0,True,0.534829574,0.534829574
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,0.414746404,0.602225429,1,False,0.921869840,0.921869840
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-2.105354309,0.108577499,0,True,0.114936776,0.114936776
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-3.644611597,0.025466089,0,True,0.025795962,0.025795962
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-3.340578318,0.034205048,0,True,0.034803732,0.034803732
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-2.068705797,0.112175867,0,True,0.118981604,0.118981604
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-2.702489614,0.062826609,0,True,0.064886965,0.064886965
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-4.155247688,0.015439781,0,True,0.015560216,0.015560216
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-1.903154731,0.129751838,0,True,0.138976864,0.138976864
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-2.103663445,0.108741263,0,True,0.115120505,0.115120505
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-2.146083117,0.104697809,0,True,0.110593974,0.110593974
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-2.301506758,0.090998249,0,True,0.095408258,0.095408258
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-1.335885882,0.208187438,0,True,0.233430579,0.233430579
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.156410083,0.460977002,0,True,0.617997041,0.617997041
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-2.186422586,0.100976388,0,True,0.106445981,0.106445981
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-3.162089586,0.040617549,0,True,0.041465482,0.041465482
24,it1_S007,ro_10000,1,standalone,10000,config_082/vfpga_c082_0.bin,1.794561505,0.857485620,1,True,0.153750869,0.153750869
25,it1_S010,ro_16000,1,standalone,16000,config_085/vfpga_c085_0.bin,5.416070461,0.995575089,1,True,0.004434730,0.004434730
26,it1_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,9.035115242,0.999880863,1,True,0.000119144,0.000119144
27,it1_S021,ro_8192,1,standalone,8192,config_096/vfpga_c096_0.bin,2.144517660,0.895155361,1,True,0.110757989,0.110757989
28,it1_S041,ro_18000,1,standalone,18000,config_116/vfpga_c116_0.bin,4.857031345,0.992286435,1,True,0.007743468,0.007743468
29,it1_S043,ro_20000,1,standalone,20000,config_118/vfpga_c118_0.bin,7.805960655,0.999592866,1,True,0.000407217,0.000407217
