sample_index,logit_fixed_raw,logit,latency_us
0,3136,3.0625,4254.735
1,2480,2.421875,4260.376
2,2288,2.234375,4280.223
3,2048,2,4258.341
4,2336,2.28125,4303.577
5,3264,3.1875,4296.293
6,2816,2.75,4261.407
7,4032,3.9375,4299.409
8,3696,3.609375,4305.782
9,2576,2.515625,4258.191
10,3712,3.625,4362.569
11,2496,2.4375,4280.213
12,2320,2.265625,4261.538
13,4208,4.109375,4332.803
14,3632,3.546875,4263.711
15,3728,3.640625,4262.008
16,3408,3.328125,4283.229
17,2880,2.8125,4294.93
18,2192,2.140625,4299.189
19,3968,3.875,4280.854
20,3904,3.8125,4297.004
21,2496,2.4375,4348.703
22,1552,1.515625,4317.905
23,3408,3.328125,4266.838
24,4688,4.578125,4273.57
25,4544,4.4375,4306.522
26,6992,6.828125,4314.127
27,4592,4.484375,4254.855
28,5040,4.921875,4295.392
29,6032,5.890625,4296.464
30,5968,5.828125,4262.339
31,6256,6.109375,4330.689
32,4960,4.84375,4281.195
33,6736,6.578125,4282.237
34,7536,7.359375,4264.553
35,4208,4.109375,4322.202
36,5760,5.625,4254.123
37,3792,3.703125,4345.687
38,5184,5.0625,4335.438
39,6336,6.1875,4319.707
40,3840,3.75,4318.966
41,4416,4.3125,4297.746
42,4448,4.34375,4285.793
43,4800,4.6875,4298.708
44,5072,4.953125,4300.05
45,4432,4.328125,4260.476
46,5664,5.53125,4308.837
47,6992,6.828125,4267.149
