sample_index,logit_fixed_raw,logit,latency_us
0,3136,3.0625,4252.31
1,2480,2.421875,4260.325
2,2288,2.234375,4240.197
3,2048,2,4258.362
4,2336,2.28125,4259.594
5,3264,3.1875,4231.682
6,2816,2.75,4256.548
7,4032,3.9375,4254.003
8,3696,3.609375,4271.096
9,2576,2.515625,4260.235
10,3712,3.625,4262.87
11,2496,2.4375,4240.739
12,2320,2.265625,4255.576
13,4208,4.109375,4236.33
14,3632,3.546875,4261.177
15,3728,3.640625,4261.136
16,3408,3.328125,4263.542
17,2880,2.8125,5291.044
18,2192,2.140625,4262.109
19,3968,3.875,4261.317
20,3904,3.8125,4248.342
21,2496,2.4375,4265.075
22,1552,1.515625,4238.595
23,3408,3.328125,4265.405
24,4688,4.578125,4248.062
25,4544,4.4375,4262.369
26,6992,6.828125,4261.177
27,4592,4.484375,4257.34
28,5040,4.921875,5293.448
29,6032,5.890625,4263.862
30,5968,5.828125,4250.607
31,6256,6.109375,4251.028
32,4960,4.84375,4264.623
33,6736,6.578125,4266.166
34,7536,7.359375,4247.832
35,4208,4.109375,4261.357
36,5760,5.625,4269.393
37,3792,3.703125,4248.744
38,5184,5.0625,4265.716
39,6336,6.1875,4257.701
40,3840,3.75,4259.043
41,4416,4.3125,4250.557
42,4448,4.34375,4264.583
43,4800,4.6875,4262.299
44,5072,4.953125,4262.209
45,4432,4.328125,4258.702
46,5664,5.53125,4265.726
47,6992,6.828125,4233.244
