layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
output_dense,"(1,)",1,0.92254638671875,0.92254638671875,0.32220458984375,0.32220458984375,0.595947265625,0.31184071422177884,0.9999999999978665,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool4,"(8, 8, 32)",2048,2.385009765625,2.385009765625,0.03558349609375,0.13334848994395715,0.5,0.04233345579265368,0.9991064525305935,1,auto,auto,
act4,"(16, 16, 32)",8192,1.9305877685546875,1.9305877685546875,0.0350341796875,0.1323426656064831,0.5,0.0493736626897577,0.998783766379307,1,"ufixed<6,5,RND_CONV,SAT,0>",,
gap,"(1, 1, 32)",32,2.385009765625,2.385009765625,0.1136474609375,0.13222536988756867,0.28125,0.04719991524670819,0.9989183966630568,1,auto,auto,
conv4,"(16, 16, 32)",8192,2.45090651512146,2.45090651512146,0.04517173767089844,0.06044178516871041,0.3671875,0.020786174616808976,0.9997849119388503,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool3,"(16, 16, 24)",6144,1.1542561848958333,1.1542561848958333,0.014027913411458334,0.05921706921374523,0.25,0.03949581901021762,0.9992202777191097,1,auto,auto,
act3,"(32, 32, 24)",24576,0.92926025390625,0.92926025390625,0.01312255859375,0.05727251201300515,0.25,0.04435202775415655,0.9990165225275782,1,"ufixed<6,4,RND_CONV,SAT,0>",,
pad_conv4,"(18, 18, 24)",7776,0.9120048868312757,0.9120048868312757,0.011083783436213992,0.052637394856662426,0.25,0.03949581901021762,0.9992202777191097,1,auto,,
conv3,"(32, 32, 24)",24576,1.0971161524454753,1.0971161524454753,0.015530228614807129,0.021906988107998477,0.140625,0.01608483869444299,0.9998707801370186,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool2,"(32, 32, 24)",24576,0.6182886759440104,0.6182886759440104,0.0037282307942708335,0.02158705467585682,0.125,0.027168575796354125,0.9996311050836707,1,auto,auto,
act2,"(64, 64, 24)",98304,0.5202258427937826,0.5202258427937826,0.0035301844278971353,0.02100428569250861,0.125,0.02971544016633076,0.9995586194964626,1,"ufixed<6,3,RND_CONV,SAT,0>",,
pad_conv3,"(34, 34, 24)",27744,0.5476882388985006,0.5476882388985006,0.0033025158592848904,0.02031722793021818,0.125,0.027168575796354125,0.9996311050836707,1,auto,,
conv2,"(64, 64, 24)",98304,0.5717512220144272,0.5717512220144272,0.004018679261207581,0.0071726846480123655,0.076171875,0.00983188253086537,0.999951712849049,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool1,"(64, 64, 16)",65536,0.4441711902618408,0.4441711902618408,0.0008184909820556641,0.007151437483083101,0.0625,0.010008878452553941,0.9999499113120899,1,auto,auto,
pad_conv2,"(66, 66, 16)",69696,0.417659594883494,0.417659594883494,0.0007696370666896235,0.006934727256323007,0.0625,0.010008878452553943,0.9999499113120899,1,auto,,
act1,"(128, 128, 16)",262144,0.37958234548568726,0.37958234548568726,0.0006921887397766113,0.0065772794067508215,0.0625,0.010186434547639737,0.9999481173809233,1,"ufixed<6,2,RND_CONV,SAT,0>",,
pool0,"(128, 128, 8)",131072,0.5438215732574463,0.5438215732574463,0.00021946430206298828,0.003703535565241553,0.0625,0.0043764927478656315,0.9999904339414516,1,auto,auto,
conv1,"(128, 128, 16)",262144,0.6540880296379328,0.6540880296379328,0.0011748410761356354,0.0036904514180418294,0.06640625,0.004395940981101444,0.9999903382469124,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pad_conv1,"(130, 130, 8)",135200,0.5272173169378698,0.5272173169378698,0.00021276349852071005,0.0036465580950070676,0.0625,0.004376492747865633,0.9999904339414516,1,auto,,
act0,"(256, 256, 8)",524288,0.4466233551502228,0.4466233551502228,0.00019475817680358887,0.003488563922228706,0.0625,0.004656546677678553,0.9999891875657584,1,"ufixed<6,2,RND_CONV,SAT,0>",,
pad_conv0,"(516, 516, 1)",266256,0.8983074584757923,0.8983074584757923,0.000278150568177056,0.00047209380757258593,0.000972747802734375,0.0005111580352788126,0.9999999038617555,1,auto,,
conv0,"(256, 256, 8)",524288,0.5460637608242314,0.5460637608242314,0.00031797063698757455,0.00042555023859159273,0.002580881118774414,0.0005533946795829327,0.9999998788210953,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
