sample_index,logit_fixed_raw,logit,latency_us
0,3136,3.0625,4257.53
1,2496,2.4375,4262.179
2,3104,3.03125,4253.172
3,2368,2.3125,4263.973
4,3328,3.25,4232.463
5,3712,3.625,4259.103
6,3856,3.765625,4260.546
7,4608,4.5,4254.905
8,3856,3.765625,4260.526
9,3136,3.0625,4259.484
10,3968,3.875,4264.714
11,3872,3.78125,4252.2
12,3136,3.0625,4263.651
13,4752,4.640625,4268.992
14,3280,3.203125,4259.674
15,3952,3.859375,4263.632
16,3696,3.609375,4257.6
17,3472,3.390625,4244.485
18,2672,2.609375,4260.756
19,3744,3.65625,4263.671
20,4480,4.375,4260.445
21,2816,2.75,4269.573
22,1728,1.6875,4266.517
23,4000,3.90625,4262.861
24,5232,5.109375,4258.763
25,5248,5.125,4270.975
26,6992,6.828125,4255.436
27,5696,5.5625,4254.715
28,5504,5.375,4235.267
29,6384,6.234375,4263.712
30,6752,6.59375,4264.573
31,6320,6.171875,4260.927
32,5792,5.65625,4255.436
33,7264,7.09375,4271.406
34,7536,7.359375,4263.141
35,4144,4.046875,4261.478
36,6704,6.546875,4263.221
37,4368,4.265625,4260.686
38,6176,6.03125,5294.671
39,6592,6.4375,4263.452
40,4016,3.921875,4257.7
41,5104,4.984375,4262.72
42,5232,5.109375,4264.935
43,4992,4.875,4263.15
44,5520,5.390625,4260.586
45,4800,4.6875,5289.762
46,5760,5.625,4255.115
47,6768,6.609375,4263.231
