sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-1.342773438,0.207054338,0,True,0.232000581,0.232000581
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.365478516,0.409634022,0,True,0.527012632,0.527012632
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-0.500244141,0.377483297,0,True,0.473984818,0.473984818
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-1.000976562,0.268749461,0,True,0.312999143,0.312999143
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-0.416015625,0.397470568,0,True,0.506618765,0.506618765
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.434814453,0.392977273,0,True,0.499189046,0.499189046
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.561035156,0.363307978,0,True,0.451469223,0.451469223
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.517333984,0.373475848,0,True,0.467567955,0.467567955
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.034912109,0.508727141,1,False,0.710755584,0.710755584
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.489257812,0.380068424,0,True,0.478146168,0.478146168
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-1.431640625,0.192843185,0,True,0.214237311,0.214237311
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-1.569580078,0.172276263,0,True,0.189075831,0.189075831
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.715820312,0.328314042,0,True,0.397964372,0.397964372
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.105712891,0.473596362,0,True,0.641686987,0.641686987
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.597412109,0.354935985,0,True,0.438405720,0.438405720
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.894775391,0.290125338,0,True,0.342666857,0.342666857
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.707763672,0.330093175,0,True,0.400616644,0.400616644
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.448730469,0.389662651,0,True,0.493743443,0.493743443
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.431396484,0.393792913,0,True,0.500533624,0.500533624
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.892822266,0.290527754,0,True,0.343233901,0.343233901
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.250000000,0.437823499,0,True,0.575939420,0.575939420
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.070068359,0.482490073,0,True,0.658726572,0.658726572
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.265136719,0.434101411,0,True,0.569340388,0.569340388
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-1.608642578,0.166777159,0,True,0.182454156,0.182454156
