layer,shape,n_values_per_sample,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
gap,"(1, 1, 32)",32,2.21954345703125,0.11614990234375,0.13674004253609695,0.265625,0.05404398669822097,0.9985781919904175,1,auto,auto,
pool4,"(8, 8, 32)",2048,2.21954345703125,0.03564453125,0.13333315708403162,0.5,0.0456819066270864,0.9989649715118999,1,auto,auto,
act4,"(16, 16, 32)",8192,1.7624664306640625,0.035308837890625,0.13285355114948647,0.5,0.05434227100481659,0.9985319481357019,1,"ufixed<6,5,RND_CONV,SAT,0>",,
output_dense,"(1,)",1,0.43890380859375,0.13262939453125,0.13262939453125,0.184326171875,0.5745911664152427,0.9999999999882672,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
conv4,"(16, 16, 32)",8192,2.3766658306121826,0.04474663734436035,0.061442792455226054,0.3671875,0.02239938771902873,0.999751229936068,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool3,"(16, 16, 24)",6144,1.004180908203125,0.013509114583333334,0.05809088517841931,0.25,0.04397647911093337,0.9990344110025445,1,auto,auto,
act3,"(32, 32, 24)",24576,0.7629063924153646,0.01206207275390625,0.054908093485769444,0.25,0.049933546942293384,0.9987549849517343,1,"ufixed<6,4,RND_CONV,SAT,0>",,
pad_conv4,"(18, 18, 24)",7776,0.7934268904320988,0.010673868312757202,0.05163634238081717,0.25,0.04397647911093337,0.9990344110025445,1,auto,,
conv3,"(32, 32, 24)",24576,0.9599150816599528,0.015551487604777018,0.02224765416554276,0.16796875,0.018799078425388638,0.9998235915275584,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool2,"(32, 32, 24)",24576,0.5428110758463541,0.00374603271484375,0.02163485151952426,0.125,0.0291086609552589,0.9995764444179551,1,auto,auto,
act2,"(64, 64, 24)",98304,0.44359079996744794,0.0035339991251627603,0.021014795222441998,0.125,0.0320268365596519,0.9994872815435905,1,"ufixed<6,3,RND_CONV,SAT,0>",,
pad_conv3,"(34, 34, 24)",27744,0.4808291882929642,0.0033182850346020762,0.020362213194846362,0.125,0.0291086609552589,0.9995764444179551,1,auto,,
pool1,"(64, 64, 16)",65536,0.40372395515441895,0.0008690357208251953,0.007369401771038524,0.0625,0.011233236190384986,0.9999369080220539,1,auto,auto,
conv2,"(64, 64, 24)",98304,0.5198824753363928,0.004094551006952922,0.007315239100266652,0.07421875,0.010539383937814291,0.9999445196977053,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pad_conv2,"(66, 66, 16)",69696,0.3796265657283058,0.0008171649018595042,0.007146086565855539,0.0625,0.011233236190384983,0.9999369080220539,1,auto,,
act1,"(128, 128, 16)",262144,0.3336535096168518,0.0007177591323852539,0.00669690443801,0.0625,0.011403819559809424,0.9999349613276195,1,"ufixed<6,2,RND_CONV,SAT,0>",,
pool0,"(128, 128, 8)",131072,0.5405193567276001,0.00021374225616455078,0.003654103089128797,0.0625,0.004344072853647036,0.9999905688678407,1,auto,auto,
conv1,"(128, 128, 16)",262144,0.5971333365887403,0.0011583957821130753,0.0036527838087575316,0.048828125,0.00457734498549012,0.9999895194795715,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pad_conv1,"(130, 130, 8)",135200,0.5240159254807693,0.00020721616124260355,0.0035978861185268158,0.0625,0.004344072853647036,0.9999905688678407,1,auto,,
act0,"(256, 256, 8)",524288,0.4456886351108551,0.0001819133758544922,0.0033713827283326984,0.0625,0.004537489744040292,0.9999897305155202,1,"ufixed<6,2,RND_CONV,SAT,0>",,
pad_conv0,"(516, 516, 1)",266256,0.8983074584757923,0.000278150568177056,0.00047209380757258593,0.000972747802734375,0.0005111580352788126,0.9999999038617555,1,auto,,
conv0,"(256, 256, 8)",524288,0.5454707483258241,0.0003180658337729181,0.0004251900105727759,0.002580881118774414,0.000557141157738244,0.999999876177015,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
