sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.640625000,0.345105271,0,True,0.423280775,0.423280775
1,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.718750000,0.327668301,0,True,0.397003460,0.397003460
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-0.750000000,0.320821301,0,True,0.386871006,0.386871006
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-1.015625000,0.265880473,0,True,0.309083420,0.309083420
4,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.796875000,0.310694383,0,True,0.372070541,0.372070541
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.796875000,0.310694383,0,True,0.372070541,0.372070541
6,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.281250000,0.430147349,0,True,0.562377458,0.562377458
7,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.203125000,0.550607366,1,False,0.799858309,0.799858309
8,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-1.296875000,0.214691419,0,True,0.241678542,0.241678542
9,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.843750000,0.300745579,0,True,0.357740624,0.357740624
10,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-0.968750000,0.275129724,0,True,0.321762570,0.321762570
11,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-0.718750000,0.327668301,0,True,0.397003460,0.397003460
12,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.562500000,0.362969206,0,True,0.450937282,0.450937282
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.375000000,0.407333400,0,True,0.523123264,0.523123264
14,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-0.453125000,0.388618027,0,True,0.492033354,0.492033354
15,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,-0.421875000,0.396068166,0,True,0.504293945,0.504293945
16,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,-0.640625000,0.345105271,0,True,0.423280775,0.423280775
17,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-1.937500000,0.125922765,0,True,0.134586537,0.134586537
18,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,1.890625000,0.868826776,1,True,0.140611510,0.140611510
19,it1_S024,ro_14000,1,standalone,14000,config_099/vfpga_c099_0.bin,0.921875000,0.715423996,1,True,0.334879911,0.334879911
20,it1_S039,ro_14000,1,standalone,14000,config_114/vfpga_c114_0.bin,1.421875000,0.805632189,1,True,0.216127982,0.216127982
21,it1_S053,ro_12000,1,standalone,12000,config_128/vfpga_c128_0.bin,-0.375000000,0.407333400,0,False,0.898123264,0.898123264
22,it1_S056,ro_18000,1,standalone,18000,config_131/vfpga_c131_0.bin,1.296875000,0.785308581,1,True,0.241678542,0.241678542
23,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,1.609375000,0.833324595,1,True,0.182332042,0.182332042
24,it2_S005,ro_13000,1,standalone,13000,config_080/vfpga_c080_0.bin,0.765625000,0.682573734,1,True,0.381884722,0.381884722
25,it2_S009,ro_17000,1,standalone,17000,config_084/vfpga_c084_0.bin,1.593750000,0.831143048,1,True,0.184953360,0.184953360
26,it2_S025,ro_18000,1,standalone,18000,config_100/vfpga_c100_0.bin,1.765625000,0.853912753,1,True,0.157926253,0.157926253
27,it2_S026,ro_19000,1,standalone,19000,config_101/vfpga_c101_0.bin,2.140625000,0.894789463,1,True,0.111166825,0.111166825
28,it2_S052,ro_15000,1,standalone,15000,config_127/vfpga_c127_0.bin,0.156250000,0.538983221,1,True,0.618070839,0.618070839
29,it2_S053,ro_16000,1,standalone,16000,config_128/vfpga_c128_0.bin,0.984375000,0.727975449,1,True,0.317487955,0.317487955
30,it2_S056,ro_19000,1,standalone,19000,config_131/vfpga_c131_0.bin,1.234375000,0.774583384,1,True,0.255429963,0.255429963
31,it2_S065,ro_13000,1,standalone,13000,config_140/vfpga_c140_0.bin,0.343750000,0.585101154,1,True,0.535970534,0.535970534
32,it2_S067,ro_15000,1,standalone,15000,config_142/vfpga_c142_0.bin,1.296875000,0.785308581,1,True,0.241678542,0.241678542
33,it2_S068,ro_16000,1,standalone,16000,config_143/vfpga_c143_0.bin,1.109375000,0.752012574,1,True,0.285002235,0.285002235
34,it2_S069,ro_17000,1,standalone,17000,config_144/vfpga_c144_0.bin,1.531250000,0.822189131,1,True,0.195784825,0.195784825
35,it2_S073,ro_21000,1,standalone,21000,config_148/vfpga_c148_0.bin,2.093750000,0.890294226,1,True,0.116203280,0.116203280
