sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-0.592285156,0.356110705,0,True,0.440228470,0.440228470
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.885742188,0.291989271,0,True,0.345296032,0.345296032
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-1.136718750,0.242923312,0,True,0.278290725,0.278290725
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-0.501464844,0.377196487,0,True,0.473524198,0.473524198
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.551269531,0.365569918,0,True,0.455028192,0.455028192
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.112304688,0.471953300,0,True,0.638570552,0.638570552
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.230957031,0.442516037,0,True,0.584321542,0.584321542
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.593750000,0.644225106,1,False,1.033457070,1.033457070
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.155273438,0.538740555,1,False,0.773794607,0.773794607
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-1.088378906,0.251923664,0,True,0.290250252,0.290250252
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,0.220214844,0.554832301,1,False,0.809304216,0.809304216
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.483398438,0.381449955,0,True,0.480377178,0.480377178
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-0.921386719,0.284675425,0,True,0.335018888,0.335018888
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.514648438,0.625895543,1,False,0.983220224,0.983220224
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.174804688,0.543590231,1,False,0.784364256,0.784364256
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.494140625,0.621081372,1,False,0.970433798,0.970433798
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.071289062,0.517814722,1,False,0.729426844,0.729426844
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-0.263671875,0.434461295,0,True,0.569976542,0.569976542
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-0.535156250,0.369315080,0,True,0.460948875,0.460948875
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,0.183593750,0.545769947,1,False,0.789151485,0.789151485
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,0.315917969,0.578329109,1,False,0.863530148,0.863530148
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-0.323242188,0.419885806,0,True,0.544530308,0.544530308
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-1.212402344,0.229276260,0,True,0.260425283,0.260425283
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.167968750,0.458106264,0,True,0.612685355,0.612685355
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,0.870605469,0.704871668,1,True,0.349739524,0.349739524
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,0.858398438,0.702325933,1,True,0.353357690,0.353357690
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,1.504394531,0.818228990,1,True,0.200613042,0.200613042
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,0.916992188,0.714428847,1,True,0.336271871,0.336271871
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,0.930664062,0.717209990,1,True,0.332386608,0.332386608
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,1.651855469,0.839141665,1,True,0.175375737,0.175375737
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,1.563964844,0.826921546,1,True,0.190045454,0.190045454
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,1.747070312,0.851582902,1,True,0.160658424,0.160658424
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,0.752929688,0.679816728,1,True,0.385932035,0.385932035
33,it1_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,1.774414062,0.855005744,1,True,0.156647091,0.156647091
34,it2_S013,ro_21000,1,standalone,21000,config_088/vfpga_c088_0.bin,2.444335938,0.920146261,1,True,0.083222642,0.083222642
35,it2_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,0.721679688,0.672976788,1,True,0.396044440,0.396044440
36,it2_S020,ro_13000,1,standalone,13000,config_095/vfpga_c095_0.bin,1.303710938,0.786458865,1,True,0.240214859,0.240214859
37,it2_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,0.319335938,0.579162407,1,True,0.546172346,0.546172346
38,it2_S036,ro_14000,1,standalone,14000,config_111/vfpga_c111_0.bin,0.711914062,0.670823960,1,True,0.399248532,0.399248532
39,it2_S042,ro_20000,1,standalone,20000,config_117/vfpga_c117_0.bin,1.599121094,0.831895510,1,True,0.184048435,0.184048435
40,it2_S045,ro_8000,1,standalone,8000,config_120/vfpga_c120_0.bin,0.453125000,0.611381973,1,True,0.492033354,0.492033354
41,it2_S047,ro_10000,1,standalone,10000,config_122/vfpga_c122_0.bin,0.654296875,0.657978099,1,True,0.418583632,0.418583632
42,it2_S049,ro_12000,1,standalone,12000,config_124/vfpga_c124_0.bin,0.693359375,0.666713819,1,True,0.405394382,0.405394382
