sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss,fold
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-0.592275620,0.356112892,0,True,0.440231866,0.440231866,0
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.895378113,0.290001222,0,True,0.342492030,0.342492030,0
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-1.201650620,0.231181711,0,True,0.262900632,0.262900632,0
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-0.503452301,0.376729709,0,True,0.472775000,0.472775000,0
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.524005890,0.371916001,0,True,0.465081365,0.465081365,0
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.118663788,0.470368815,0,True,0.635574392,0.635574392,0
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.228578568,0.443102874,0,True,0.585374748,0.585374748,0
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.512689590,0.625436765,1,False,0.981994639,0.981994639,0
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.120080948,0.529984216,1,False,0.754989002,0.754989002,0
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-1.127218246,0.244674829,0,True,0.280606932,0.280606932,0
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,0.169322968,0.542229895,1,False,0.781388175,0.781388175,0
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.491601944,0.379516263,0,True,0.477255885,0.477255885,0
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-0.936637878,0.281579975,0,True,0.330700889,0.330700889,0
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.458740234,0.612715282,1,False,0.948595152,0.948595152,0
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.155469894,0.538789374,1,False,0.773900451,0.773900451,0
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.454877853,0.611798359,1,False,0.946230382,0.946230382,0
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.035425186,0.508855370,1,False,0.711016633,0.711016633,0
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-0.358755112,0.411260952,0,True,0.529772235,0.529772235,0
