sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-1.154363632,0.239692951,0,True,0.274032915,0.274032915
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.410396576,0.398817033,0,True,0.508855954,0.508855954
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.777948380,0.314762226,0,True,0.377989385,0.377989385
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,-0.639991760,0.345248402,0,True,0.423499355,0.423499355
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.977106094,0.273466375,0,True,0.319470514,0.319470514
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-0.922689438,0.284410220,0,True,0.334648209,0.334648209
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.405790329,0.399921950,0,True,0.510695548,0.510695548
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.216993332,0.445963531,0,True,0.590524767,0.590524767
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.023378372,0.494155673,0,True,0.681526311,0.681526311
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-1.230718613,0.226055676,0,True,0.256255341,0.256255341
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-0.944856644,0.279920368,0,True,0.328393473,0.328393473
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.486476898,0.380723871,0,True,0.479204017,0.479204017
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-1.566968918,0.172648926,0,True,0.189526159,0.189526159
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.556531906,0.364350289,0,True,0.453107636,0.453107636
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-1.241451263,0.224183473,0,True,0.253839221,0.253839221
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.538265228,0.368591227,0,True,0.459801808,0.459801808
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.458923340,0.387241269,0,True,0.489784007,0.489784007
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-0.023036957,0.494241015,0,True,0.681695038,0.681695038
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.287572861,0.428598175,0,True,0.559662594,0.559662594
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,-0.363019943,0.410228720,0,True,0.528020478,0.528020478
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.606668472,0.352819538,0,True,0.435130103,0.435130103
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.836622238,0.302246656,0,True,0.359889614,0.359889614
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-0.499387741,0.377684563,0,True,0.474308181,0.474308181
23,it2_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.638631821,0.345555884,0,True,0.423969081,0.423969081
24,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,0.507049561,0.624114568,1,True,0.471421324,0.471421324
25,it1_S026,ro_18000,1,standalone,18000,config_101/vfpga_c101_0.bin,0.005558014,0.501389500,1,True,0.690372035,0.690372035
26,it1_S039,ro_14000,1,standalone,14000,config_114/vfpga_c114_0.bin,0.443180084,0.609016520,1,True,0.495909886,0.495909886
27,it1_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,0.731716156,0.675181758,1,True,0.392773353,0.392773353
28,it1_S066,ro_8192,1,standalone,8192,config_141/vfpga_c141_0.bin,-0.223365784,0.444389573,0,False,0.811053685,0.811053685
29,it2_S008,ro_16000,1,standalone,16000,config_083/vfpga_c083_0.bin,0.996643066,0.730398054,1,True,0.314165614,0.314165614
30,it2_S009,ro_17000,1,standalone,17000,config_084/vfpga_c084_0.bin,1.090400696,0.748457168,1,True,0.289741301,0.289741301
31,it2_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,1.165273666,0.762289646,1,True,0.271428682,0.271428682
32,it2_S023,ro_16000,1,standalone,16000,config_098/vfpga_c098_0.bin,0.523941040,0.628068851,1,True,0.465105484,0.465105484
33,it2_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,1.006530762,0.732340665,1,True,0.311509484,0.311509484
34,it2_S031,ro_9000,1,standalone,9000,config_106/vfpga_c106_0.bin,0.059671402,0.514913426,1,True,0.663756498,0.663756498
35,it2_S032,ro_10000,1,standalone,10000,config_107/vfpga_c107_0.bin,-0.220321655,0.445141318,0,False,0.809363479,0.809363479
36,it2_S033,ro_11000,1,standalone,11000,config_108/vfpga_c108_0.bin,-0.010065079,0.497483752,0,False,0.698192383,0.698192383
37,it2_S041,ro_19000,1,standalone,19000,config_116/vfpga_c116_0.bin,0.709869385,0.670372298,1,True,0.399922052,0.399922052
38,it2_S046,ro_9000,1,standalone,9000,config_121/vfpga_c121_0.bin,0.152429581,0.538033781,1,True,0.619833930,0.619833930
39,it2_S053,ro_16000,1,standalone,16000,config_128/vfpga_c128_0.bin,0.370306015,0.591532920,1,True,0.525037941,0.525037941
40,it2_S056,ro_19000,1,standalone,19000,config_131/vfpga_c131_0.bin,0.560403824,0.636545972,1,True,0.451698637,0.451698637
41,it2_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,0.797855377,0.689515539,1,True,0.371766046,0.371766046
42,it2_S061,ro_9000,1,standalone,9000,config_136/vfpga_c136_0.bin,-0.644756317,0.344172160,0,False,1.066613281,1.066613281
43,it2_S065,ro_13000,1,standalone,13000,config_140/vfpga_c140_0.bin,-0.505336761,0.376287332,0,False,0.977402246,0.977402246
44,it2_S066,ro_14000,1,standalone,14000,config_141/vfpga_c141_0.bin,-0.233987808,0.441768489,0,False,0.816969316,0.816969316
45,it2_S067,ro_15000,1,standalone,15000,config_142/vfpga_c142_0.bin,-0.020454407,0.494886577,0,False,0.703426681,0.703426681
46,it2_S072,ro_20000,1,standalone,20000,config_147/vfpga_c147_0.bin,0.203754425,0.550763105,1,True,0.596450499,0.596450499
47,it2_S073,ro_21000,1,standalone,21000,config_148/vfpga_c148_0.bin,0.417470932,0.602877908,1,True,0.506040577,0.506040577
