sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.175781250,0.456167495,0,True,0.609113974,0.609113974
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.040039062,0.489991571,0,True,0.673328027,0.673328027
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.103515625,0.474144178,0,True,0.642728206,0.642728206
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,-0.001953125,0.499511719,0,True,0.692171095,0.692171095
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.325195312,0.419410135,0,True,0.543710683,0.543710683
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-0.171875000,0.457136717,0,True,0.610897771,0.610897771
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.053710938,0.486575493,0,True,0.666652277,0.666652277
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,0.077148438,0.519277549,1,False,0.732465200,0.732465200
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.011718750,0.502929654,1,False,0.699023722,0.699023722
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.142578125,0.464415730,0,True,0.624397034,0.624397034
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-0.133789062,0.466602536,0,True,0.628488422,0.628488422
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.043945312,0.489015440,0,True,0.671415904,0.671415904
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-0.162109375,0.459561177,0,True,0.615373834,0.615373834
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.080078125,0.479991160,0,True,0.653909467,0.653909467
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-0.175781250,0.456167495,0,True,0.609113974,0.609113974
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.112304688,0.471953300,0,True,0.638570552,0.638570552
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.000976562,0.499755859,0,True,0.692659019,0.692659019
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,0.193359375,0.548189794,1,False,0.794493087,0.794493087
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,0.084960938,0.521227467,1,False,0.736529673,0.736529673
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,0.016601562,0.504150295,1,False,0.701482413,0.701482413
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.035156250,0.491211843,0,True,0.675723543,0.675723543
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.084960938,0.478772533,0,True,0.651568736,0.651568736
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-0.030273438,0.492432219,0,True,0.678125018,0.678125018
23,it2_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.045898438,0.488527405,0,True,0.670461272,0.670461272
24,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,0.234375000,0.558326994,1,True,0.582810477,0.582810477
25,it1_S026,ro_18000,1,standalone,18000,config_101/vfpga_c101_0.bin,0.118164062,0.529506691,1,True,0.635809478,0.635809478
26,it1_S039,ro_14000,1,standalone,14000,config_114/vfpga_c114_0.bin,0.170898438,0.542620927,1,True,0.611344312,0.611344312
27,it1_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,0.221679688,0.555194078,1,True,0.588437536,0.588437536
28,it1_S066,ro_8192,1,standalone,8192,config_141/vfpga_c141_0.bin,-0.009765625,0.497558613,0,False,0.698041914,0.698041914
29,it2_S008,ro_16000,1,standalone,16000,config_083/vfpga_c083_0.bin,0.312500000,0.577495365,1,True,0.549054862,0.549054862
30,it2_S009,ro_17000,1,standalone,17000,config_084/vfpga_c084_0.bin,0.362304688,0.589598219,1,True,0.528313958,0.528313958
31,it2_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,0.240234375,0.559771406,1,True,0.580226781,0.580226781
32,it2_S023,ro_16000,1,standalone,16000,config_098/vfpga_c098_0.bin,0.268554688,0.566738049,1,True,0.567858078,0.567858078
33,it2_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,0.272460938,0.567696961,1,True,0.566167521,0.566167521
34,it2_S031,ro_9000,1,standalone,9000,config_106/vfpga_c106_0.bin,0.095703125,0.523907536,1,True,0.646440067,0.646440067
35,it2_S032,ro_10000,1,standalone,10000,config_107/vfpga_c107_0.bin,0.051757812,0.512936565,1,True,0.667603096,0.667603096
36,it2_S033,ro_11000,1,standalone,11000,config_108/vfpga_c108_0.bin,0.057617188,0.514400313,1,True,0.664753497,0.664753497
37,it2_S041,ro_19000,1,standalone,19000,config_116/vfpga_c116_0.bin,0.270507812,0.567217568,1,True,0.567012331,0.567012331
38,it2_S046,ro_9000,1,standalone,9000,config_121/vfpga_c121_0.bin,0.071289062,0.517814722,1,True,0.658137781,0.658137781
39,it2_S053,ro_16000,1,standalone,16000,config_128/vfpga_c128_0.bin,0.190429688,0.547464074,1,True,0.602458437,0.602458437
40,it2_S056,ro_19000,1,standalone,19000,config_131/vfpga_c131_0.bin,0.150390625,0.537526953,1,True,0.620776375,0.620776375
41,it2_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,0.155273438,0.538740555,1,True,0.618521169,0.618521169
42,it2_S061,ro_9000,1,standalone,9000,config_136/vfpga_c136_0.bin,0.006835938,0.501708978,1,True,0.689735053,0.689735053
43,it2_S065,ro_13000,1,standalone,13000,config_140/vfpga_c140_0.bin,-0.011718750,0.497070346,0,False,0.699023722,0.699023722
44,it2_S066,ro_14000,1,standalone,14000,config_141/vfpga_c141_0.bin,0.045898438,0.511472595,1,True,0.670461272,0.670461272
45,it2_S067,ro_15000,1,standalone,15000,config_142/vfpga_c142_0.bin,-0.009765625,0.497558613,0,False,0.698041914,0.698041914
