sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.033203125,0.508300019,1,False,0.709886543,0.709886543
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,0.041992188,0.510496505,1,False,0.714363676,0.714363676
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,0.045898438,0.511472595,1,False,0.716359710,0.716359710
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,0.092773438,0.523176738,1,False,0.740609378,0.740609378
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,0.080078125,0.520008840,1,False,0.733987592,0.733987592
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,0.033203125,0.508300019,1,False,0.709886543,0.709886543
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,0.026367188,0.506591415,1,False,0.706417675,0.706417675
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,0.050781250,0.512692585,1,False,0.718860113,0.718860113
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,0.036132812,0.509032220,1,False,0.711376775,0.711376775
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,0.030273438,0.507567781,1,False,0.708398455,0.708398455
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,0.055664062,0.513912424,1,False,0.721366473,0.721366473
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,0.049804688,0.512448599,1,False,0.718359556,0.718359556
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,0.023437500,0.505859107,1,False,0.704934594,0.704934594
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,0.047851562,0.511960608,1,False,0.717359156,0.717359156
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,0.038085938,0.509520334,1,False,0.712371456,0.712371456
