sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-0.363769531,0.410047376,0,True,0.527713044,0.527713044
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.444824219,0.390592057,0,True,0.495267378,0.495267378
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.369140625,0.408748693,0,True,0.525514129,0.525514129
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-0.205078125,0.448909403,0,True,0.595856061,0.595856061
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.400878906,0.401101192,0,True,0.512662629,0.512662629
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.431152344,0.393851196,0,True,0.500629772,0.500629772
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.253417969,0.436982400,0,True,0.574444390,0.574444390
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.174316406,0.456530914,0,True,0.609782454,0.609782454
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-0.203613281,0.449271818,0,True,0.596513909,0.596513909
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-0.354003906,0.412411822,0,True,0.531728954,0.531728954
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.201171875,0.449875961,0,True,0.597611501,0.597611501
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.272949219,0.432183210,0,True,0.565956465,0.565956465
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-0.355957031,0.411938606,0,True,0.530923925,0.530923925
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.206542969,0.448547043,0,True,0.595198744,0.595198744
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-0.301757812,0.425127828,0,True,0.553607572,0.553607572
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.156250000,0.461016779,0,True,0.618070839,0.618070839
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-0.195800781,0.451205595,0,True,0.600031397,0.600031397
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-0.285644531,0.429070491,0,True,0.560489528,0.560489528
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-0.349609375,0.413477150,0,True,0.533543651,0.533543651
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.184082031,0.454109008,0,True,0.605335972,0.605335972
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,-0.231933594,0.442275137,0,True,0.583889515,0.583889515
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-0.243652344,0.439386485,0,True,0.578723533,0.578723533
