sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.168457031,0.457985053,0,True,0.612461700,0.612461700
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.181640625,0.454714286,0,True,0.606445376,0.606445376
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.141113281,0.464780105,0,True,0.625077597,0.625077597
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,-0.080078125,0.479991160,0,True,0.653909467,0.653909467
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.113281250,0.528290066,1,False,0.751391029,0.751391029
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-0.076171875,0.480966233,0,True,0.655786337,0.655786337
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.198730469,0.450480253,0,True,0.598710569,0.598710569
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.163574219,0.459197383,0,True,0.614700915,0.614700915
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.136230469,0.465994957,0,True,0.627349997,0.627349997
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.218750000,0.445529535,0,True,0.589741738,0.589741738
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-0.239746094,0.440348923,0,True,0.580441766,0.580441766
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.182128906,0.454593220,0,True,0.606223377,0.606223377
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-0.198730469,0.450480253,0,True,0.598710569,0.598710569
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.214355469,0.446615387,0,True,0.591702017,0.591702017
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-0.230468750,0.442636497,0,True,0.584537644,0.584537644
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.130371094,0.467453312,0,True,0.630084709,0.630084709
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.202148438,0.449634286,0,True,0.597172287,0.597172287
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-0.097656250,0.475605322,0,True,0.645510675,0.645510675
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.139160156,0.465265996,0,True,0.625985845,0.625985845
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,-0.120605469,0.469885127,0,True,0.634661555,0.634661555
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.223632812,0.444323642,0,True,0.587569245,0.587569245
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.305664062,0.424173443,0,True,0.551948780,0.551948780
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-0.189941406,0.452656899,0,True,0.602679432,0.602679432
23,it2_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.172851562,0.456894381,0,True,0.610451467,0.610451467
24,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,-0.033691406,0.491577945,0,False,0.710134766,0.710134766
25,it1_S026,ro_18000,1,standalone,18000,config_101/vfpga_c101_0.bin,-0.088867188,0.477797813,0,False,0.738567622,0.738567622
26,it1_S039,ro_14000,1,standalone,14000,config_114/vfpga_c114_0.bin,0.048828125,0.512204607,1,True,0.669031112,0.669031112
27,it1_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,-0.021972656,0.494507057,0,False,0.704193857,0.704193857
28,it1_S066,ro_8192,1,standalone,8192,config_141/vfpga_c141_0.bin,-0.121093750,0.469763502,0,False,0.755525899,0.755525899
29,it2_S008,ro_16000,1,standalone,16000,config_083/vfpga_c083_0.bin,0.021484375,0.505370887,1,True,0.682462689,0.682462689
30,it2_S009,ro_17000,1,standalone,17000,config_084/vfpga_c084_0.bin,0.000976562,0.500244141,1,True,0.692659019,0.692659019
31,it2_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,0.070312500,0.517570887,1,True,0.658608784,0.658608784
32,it2_S023,ro_16000,1,standalone,16000,config_098/vfpga_c098_0.bin,0.048828125,0.512204607,1,True,0.669031112,0.669031112
33,it2_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,0.052246094,0.513058553,1,True,0.667365302,0.667365302
34,it2_S031,ro_9000,1,standalone,9000,config_106/vfpga_c106_0.bin,-0.086425781,0.478406994,0,False,0.737293458,0.737293458
35,it2_S032,ro_10000,1,standalone,10000,config_107/vfpga_c107_0.bin,-0.153320312,0.461744832,0,False,0.772742853,0.772742853
36,it2_S033,ro_11000,1,standalone,11000,config_108/vfpga_c108_0.bin,-0.055175781,0.486209553,0,False,0.721115569,0.721115569
37,it2_S041,ro_19000,1,standalone,19000,config_116/vfpga_c116_0.bin,-0.003417969,0.499145509,0,False,0.694857625,0.694857625
38,it2_S046,ro_9000,1,standalone,9000,config_121/vfpga_c121_0.bin,-0.166992188,0.458348700,0,False,0.780125030,0.780125030
39,it2_S053,ro_16000,1,standalone,16000,config_128/vfpga_c128_0.bin,-0.086914062,0.478285152,0,False,0.737548172,0.737548172
40,it2_S056,ro_19000,1,standalone,19000,config_131/vfpga_c131_0.bin,-0.054687500,0.486331531,0,False,0.720864724,0.720864724
41,it2_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,-0.005371094,0.498657230,0,False,0.695836334,0.695836334
42,it2_S061,ro_9000,1,standalone,9000,config_136/vfpga_c136_0.bin,-0.179687500,0.455198604,0,False,0.787021462,0.787021462
43,it2_S065,ro_13000,1,standalone,13000,config_140/vfpga_c140_0.bin,-0.134765625,0.466359493,0,False,0.762798499,0.762798499
44,it2_S066,ro_14000,1,standalone,14000,config_141/vfpga_c141_0.bin,-0.099121094,0.475239995,0,False,0.743935349,0.743935349
45,it2_S067,ro_15000,1,standalone,15000,config_142/vfpga_c142_0.bin,-0.044433594,0.488893429,0,False,0.715610750,0.715610750
46,it2_S072,ro_20000,1,standalone,20000,config_147/vfpga_c147_0.bin,-0.026855469,0.493286536,0,False,0.706665064,0.706665064
47,it2_S073,ro_21000,1,standalone,21000,config_148/vfpga_c148_0.bin,0.066894531,0.516717399,1,True,0.660259170,0.660259170
