sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-1.955406189,0.123965064,0,True,0.132349307,0.132349307
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-1.474525452,0.186255742,0,True,0.206109142,0.206109142
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-1.208208084,0.230018263,0,True,0.261388483,0.261388483
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-1.582271576,0.170474012,0,True,0.186900840,0.186900840
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-0.956666946,0.277546024,0,True,0.325101562,0.325101562
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.720649719,0.327249926,0,True,0.396381380,0.396381380
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.829872131,0.303672108,0,True,0.361934620,0.361934620
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.981943130,0.272506394,0,True,0.318150069,0.318150069
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.509464264,0.375319123,0,True,0.470514356,0.470514356
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.783639908,0.313535933,0,True,0.376201398,0.376201398
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-1.914182663,0.128511681,0,True,0.137552817,0.137552817
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-2.368711472,0.085589931,0,True,0.089476155,0.089476155
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-1.280395508,0.217482907,0,True,0.245239513,0.245239513
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.718551636,0.327712002,0,True,0.397068462,0.397068462
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-1.152599335,0.240014624,0,True,0.274456088,0.274456088
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-1.878288269,0.132585610,0,True,0.142238458,0.142238458
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-1.049461365,0.259328547,0,True,0.300198135,0.300198135
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.906356812,0.287745924,0,True,0.339320584,0.339320584
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-1.128608704,0.244417951,0,True,0.280266901,0.280266901
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-1.403495789,0.197261969,0,True,0.219726856,0.219726856
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.766599655,0.317215128,0,True,0.381575444,0.381575444
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.912456512,0.286497422,0,True,0.337569229,0.337569229
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-1.397264481,0.198250556,0,True,0.220959134,0.220959134
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-2.695787430,0.063222388,0,True,0.065309366,0.065309366
24,it1_S007,ro_10000,1,standalone,10000,config_082/vfpga_c082_0.bin,-0.194576263,0.451508827,0,False,0.795160356,0.795160356
25,it1_S010,ro_16000,1,standalone,16000,config_085/vfpga_c085_0.bin,1.351615906,0.794393683,1,True,0.230176118,0.230176118
26,it1_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,2.285850525,0.907698386,1,True,0.096843129,0.096843129
27,it1_S021,ro_8192,1,standalone,8192,config_096/vfpga_c096_0.bin,-0.239414215,0.440430713,0,False,0.820002137,0.820002137
28,it1_S041,ro_18000,1,standalone,18000,config_116/vfpga_c116_0.bin,1.623504639,0.835277895,1,True,0.179990801,0.179990801
29,it1_S043,ro_20000,1,standalone,20000,config_118/vfpga_c118_0.bin,2.091989517,0.890122161,1,True,0.116396566,0.116396566
30,it1_S044,ro_22000,1,standalone,22000,config_119/vfpga_c119_0.bin,2.687429428,0.936280796,1,True,0.065839852,0.065839852
31,it1_S051,ro_8192,1,standalone,8192,config_126/vfpga_c126_0.bin,-0.492240906,0.379365810,0,False,0.969254342,0.969254342
32,it1_S053,ro_12000,1,standalone,12000,config_128/vfpga_c128_0.bin,-0.309368134,0.423268978,0,False,0.859747421,0.859747421
33,it1_S070,ro_16000,1,standalone,16000,config_145/vfpga_c145_0.bin,1.447748184,0.809651635,1,True,0.211151204,0.211151204
34,it2_S001,ro_9000,1,standalone,9000,config_076/vfpga_c076_0.bin,-0.007730484,0.498067389,0,False,0.697019893,0.697019893
35,it2_S010,ro_18000,1,standalone,18000,config_085/vfpga_c085_0.bin,2.816707611,0.943572023,1,True,0.058082581,0.058082581
36,it2_S011,ro_19000,1,standalone,19000,config_086/vfpga_c086_0.bin,2.077188492,0.888666170,1,True,0.118033625,0.118033625
37,it2_S012,ro_20000,1,standalone,20000,config_087/vfpga_c087_0.bin,2.915641785,0.948614272,1,True,0.052753021,0.052753021
38,it2_S021,ro_14000,1,standalone,14000,config_096/vfpga_c096_0.bin,1.409383774,0.803668730,1,True,0.218568122,0.218568122
39,it2_S025,ro_18000,1,standalone,18000,config_100/vfpga_c100_0.bin,2.075162888,0.888465602,1,True,0.118259347,0.118259347
40,it2_S027,ro_20000,1,standalone,20000,config_102/vfpga_c102_0.bin,2.425285339,0.918735227,1,True,0.084757308,0.084757308
41,it2_S028,ro_21000,1,standalone,21000,config_103/vfpga_c103_0.bin,2.041210175,0.885056438,1,True,0.122103864,0.122103864
