sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.066406250,0.483404536,0,True,0.660495178,0.660495178
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.093750000,0.476579651,0,True,0.647370411,0.647370411
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-0.195312500,0.451326506,0,True,0.600251742,0.600251742
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-0.265625000,0.433981465,0,True,0.569128454,0.569128454
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-0.074218750,0.481453825,0,True,0.656726200,0.656726200
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.175781250,0.456167495,0,True,0.609113974,0.609113974
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.062500000,0.484380084,0,True,0.662385382,0.662385382
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.292968750,0.427277224,0,True,0.557353490,0.557353490
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.015625000,0.496093829,0,True,0.685365198,0.685365198
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.085937500,0.478528838,0,True,0.651101303,0.651101303
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.250000000,0.437823499,0,True,0.575939420,0.575939420
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.203125000,0.449392634,0,True,0.596733309,0.596733309
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.171875000,0.457136717,0,True,0.610897771,0.610897771
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.113281250,0.471709934,0,True,0.638109779,0.638109779
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.101562500,0.474631178,0,True,0.643654744,0.643654744
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.082031250,0.479503680,0,True,0.652972461,0.652972461
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.234375000,0.441673006,0,True,0.582810477,0.582810477
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.058593750,0.485355752,0,True,0.664279398,0.664279398
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.046875000,0.488283395,0,True,0.669984314,0.669984314
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.031250000,0.492188136,0,True,0.677644246,0.677644246
