sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.344726562,0.414661797,0,True,0.535565475,0.535565475
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-2.226562500,0.097390398,0,True,0.102465154,0.102465154
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-1.554687500,0.174410278,0,True,0.191657334,0.191657334
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-1.840820312,0.136954305,0,True,0.147287640,0.147287640
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-2.375000000,0.085099045,0,True,0.088939465,0.088939465
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-1.708007812,0.153422290,0,True,0.166553280,0.166553280
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.780273438,0.314260957,0,True,0.377258127,0.377258127
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.593750000,0.355774894,0,True,0.439707070,0.439707070
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-2.292968750,0.091706963,0,True,0.096188224,0.096188224
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-0.114257812,0.471466582,0,True,0.637649243,0.637649243
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-2.079101562,0.111144694,0,True,0.117820817,0.117820817
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-1.588867188,0.169543335,0,True,0.185779531,0.185779531
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-1.120117188,0.245989547,0,True,0.282349048,0.282349048
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-1.462890625,0.188025610,0,True,0.208286478,0.208286478
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.667968750,0.338951821,0,True,0.413928553,0.413928553
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-2.160156250,0.103385967,0,True,0.109129796,0.109129796
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-1.125976562,0.244904376,0,True,0.280910884,0.280910884
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-1.875976562,0.132851698,0,True,0.142545265,0.142545265
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,-1.080078125,0.253491233,0,True,0.292347917,0.292347917
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-0.137695312,0.465630459,0,True,0.626667654,0.626667654
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-1.211914062,0.229362555,0,True,0.260537256,0.260537256
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-1.070312500,0.255343660,0,True,0.294832455,0.294832455
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.926757812,0.283582947,0,True,0.333492805,0.333492805
23,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-3.473632812,0.030071840,0,True,0.030533272,0.030533272
24,it1_S006,ro_8192,1,standalone,8192,config_081/vfpga_c081_0.bin,0.208984375,0.552056769,1,True,0.594104396,0.594104396
25,it1_S011,ro_18000,1,standalone,18000,config_086/vfpga_c086_0.bin,1.231445312,0.774071438,1,True,0.256091113,0.256091113
26,it1_S023,ro_12000,1,standalone,12000,config_098/vfpga_c098_0.bin,0.400390625,0.598781508,1,True,0.512858508,0.512858508
27,it1_S024,ro_14000,1,standalone,14000,config_099/vfpga_c099_0.bin,0.493164062,0.620851521,1,True,0.476663323,0.476663323
28,it1_S038,ro_12000,1,standalone,12000,config_113/vfpga_c113_0.bin,-0.321289062,0.420361626,0,False,0.866639925,0.866639925
29,it1_S054,ro_14000,1,standalone,14000,config_129/vfpga_c129_0.bin,0.204101562,0.550848993,1,True,0.596294567,0.596294567
30,it1_S067,ro_10000,1,standalone,10000,config_142/vfpga_c142_0.bin,-0.488281250,0.380298545,0,False,0.966798691,0.966798691
31,it1_S068,ro_12000,1,standalone,12000,config_143/vfpga_c143_0.bin,0.165039062,0.541166368,1,True,0.614028529,0.614028529
32,it1_S072,ro_19000,1,standalone,19000,config_147/vfpga_c147_0.bin,1.786132812,0.856452493,1,True,0.154956429,0.154956429
33,it1_S073,ro_20000,1,standalone,20000,config_148/vfpga_c148_0.bin,1.701171875,0.845687727,1,True,0.167605105,0.167605105
34,it2_S000,ro_8000,1,standalone,8000,config_075/vfpga_c075_0.bin,0.409179688,0.600891167,1,True,0.509341447,0.509341447
35,it2_S004,ro_12000,1,standalone,12000,config_079/vfpga_c079_0.bin,0.997070312,0.730482177,1,True,0.314050446,0.314050446
