sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss,fold
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-1.562500000,0.173288206,0,True,0.190299140,0.190299140,0
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-1.735351562,0.149904335,0,True,0.162406389,0.162406389,0
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-1.699218750,0.154567328,0,True,0.167906745,0.167906745,0
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-1.014648438,0.266071130,0,True,0.309343162,0.309343162,0
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-1.389648438,0.199463888,0,True,0.222473635,0.222473635,0
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.615234375,0.350866093,0,True,0.432116255,0.432116255,0
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-1.627929688,0.164114171,0,True,0.179263243,0.179263243,0
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.729492188,0.325306173,0,True,0.393496281,0.393496281,0
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-1.388671875,0.199619869,0,True,0.222668501,0.222668501,0
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-1.894531250,0.130728682,0,True,0.140099984,0.140099984,0
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.316406250,0.421551821,0,True,0.547406315,0.547406315,0
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.755859375,0.319545915,0,True,0.384994932,0.384994932,0
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-1.686523438,0.156233589,0,True,0.169879587,0.169879587,0
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.469726562,0.384680965,0,True,0.485614389,0.485614389,0
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-1.216796875,0.228500632,0,True,0.259419427,0.259419427,0
