sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-2.523437500,0.074231370,0,True,0.077130936,0.077130936
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-2.347167969,0.087291141,0,True,0.091338333,0.091338333
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-3.226562500,0.038178274,0,True,0.038926162,0.038926162
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-2.229492188,0.097133166,0,True,0.102180207,0.102180207
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-1.554931641,0.174375127,0,True,0.191614758,0.191614758
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-1.832031250,0.137996471,0,True,0.148495915,0.148495915
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-3.062011719,0.044701717,0,True,0.045731649,0.045731649
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.324951172,0.419469586,0,True,0.543813086,0.543813086
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-2.277587891,0.092996210,0,True,0.097608650,0.097608650
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-3.539306641,0.028214292,0,True,0.028619964,0.028619964
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-1.424560547,0.193947629,0,True,0.215606562,0.215606562
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-2.199707031,0.099776801,0,True,0.105112547,0.105112547
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-2.570556641,0.071057552,0,True,0.073708493,0.073708493
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.229980469,0.442756964,0,True,0.584753804,0.584753804
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-2.269042969,0.093719467,0,True,0.098406382,0.098406382
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.637451172,0.345822933,0,True,0.424377219,0.424377219
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-1.691894531,0.155526853,0,True,0.169042341,0.169042341
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-3.409179688,0.032009805,0,True,0.032533321,0.032533321
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-2.554443359,0.072128543,0,True,0.074862072,0.074862072
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-1.460205078,0.188435961,0,True,0.208791981,0.208791981
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,-0.684082031,0.335350845,0,True,0.408495964,0.408495964
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-2.823486328,0.056068136,0,True,0.057701293,0.057701293
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-3.598632812,0.026632412,0,True,0.026993480,0.026993480
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-1.010009766,0.266977940,0,True,0.310579482,0.310579482
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,0.798828125,0.689723750,1,True,0.371464124,0.371464124
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,1.430664062,0.807004763,1,True,0.214425708,0.214425708
