sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-2.838912964,0.055257258,0,True,0.056842619,0.056842619
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-2.952026367,0.049640827,0,True,0.050915289,0.050915289
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-3.631912231,0.025783163,0,True,0.026121375,0.026121375
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-2.032272339,0.115855956,0,True,0.123135283,0.123135283
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-2.045989990,0.114458198,0,True,0.121555616,0.121555616
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-2.049087524,0.114144614,0,True,0.121201563,0.121201563
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-3.589675903,0.026865591,0,True,0.027233067,0.027233067
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.457748413,0.387520099,0,True,0.490239151,0.490239151
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-2.898437500,0.052230857,0,True,0.053644327,0.053644327
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-4.153610229,0.015464693,0,True,0.015585518,0.015585518
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-1.583312988,0.170326794,0,True,0.186723383,0.186723383
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-3.061645508,0.044717358,0,True,0.045748022,0.045748022
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-3.545288086,0.028050754,0,True,0.028451692,0.028451692
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.600158691,0.354307389,0,True,0.437431722,0.437431722
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-2.827163696,0.055873830,0,True,0.057495467,0.057495467
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-1.126373291,0.244831018,0,True,0.280813738,0.280813738
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-2.675170898,0.064454460,0,True,0.066625454,0.066625454
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-4.379348755,0.012378374,0,True,0.012455624,0.012455624
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-3.157302856,0.040804488,0,True,0.041660354,0.041660354
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-1.418457031,0.194903586,0,True,0.216793240,0.216793240
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,-1.004394531,0.268078282,0,True,0.312081713,0.312081713
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-3.155792236,0.040863654,0,True,0.041722039,0.041722039
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-4.290618896,0.013511388,0,True,0.013603497,0.013603497
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-1.359222412,0.204366710,0,True,0.228616890,0.228616890
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,1.814758301,0.859935975,1,True,0.150897340,0.150897340
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,1.836105347,0.862487442,1,True,0.147934690,0.147934690
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,3.784408569,0.977782534,1,True,0.022467991,0.022467991
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,0.608505249,0.647599754,1,True,0.434482437,0.434482437
