epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_ece,val_roc_auc,val_pr_auc,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,val_benign_mean_score,val_standalone_mean_score,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_roc_auc,aug_val_pr_auc,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1,aug_val_benign_mean_score,aug_val_standalone_mean_score
1,0.6979056000709534,0.6964281189491276,0.6964281145347453,0.6417677333561164,0.7510884957133741,0.25163646755788754,0.5,0.5,0.0,0.0,0.0,0.0,0.0272524356842041,0.3046875,0.40952337287132556,0.4772495925426483,0.5,0.07692307692307693,0.47363483905792236,0.4718603193759918,0.696655941263343,0.696655942499787,0.638913730795665,0.7543981542039092,0.2517499064968278,0.5,0.5,0.0,0.0,0.0,0.0,0.02878585457801819,0.3055555555555556,0.4273067264395036,0.4772495925426483,0.5208333333333334,0.08,0.47212663292884827,0.4703015983104706
2,0.6959711909294128,0.6939688010423368,0.6939688019189054,0.6645450711509485,0.7233925326868623,0.2504104167351349,0.5,0.5,0.0,0.0,0.0,0.0,0.014699608087539673,0.4487847222222222,0.5520600511152768,0.48944249749183655,0.5625,0.27586206896551724,0.4854857623577118,0.4851149618625641,0.6946674808428198,0.6946674877855105,0.6658705446773975,0.7234644308936234,0.25075943567672265,0.5,0.5,0.0,0.0,0.0,0.0,0.014375567436218262,0.3784722222222222,0.5022987415020551,0.4908457398414612,0.5416666666666666,0.21428571428571427,0.4861668050289154,0.48508206009864807
3,0.6943671703338623,0.6929229316916783,0.6929229272286902,0.6943941456513291,0.6914517088060514,0.2498878743446904,0.5208333333333334,0.5208333333333334,0.5172413793103449,0.625,0.5660377358490566,0.0426014322842305,0.018332185223698616,0.546875,0.6209533066877608,0.502197265625,0.625,0.5714285714285714,0.5006179809570312,0.5008595585823059,0.6929230400846906,0.6929230406706569,0.6960700266522117,0.6897760546891017,0.24988792711884797,0.5208333333333334,0.5208333333333334,0.5142857142857142,0.75,0.6101694915254238,0.04688072309384954,0.018239378929138184,0.5347222222222222,0.5369397896456171,0.5030516982078552,0.5833333333333334,0.5,0.5014520883560181,0.5016962885856628
4,0.6938565969467163,0.6935449685735432,0.6935449694822381,0.7046607255222429,0.6824292134422332,0.2501988814065908,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.005556344985961914,0.4722222222222222,0.5170403602535942,0.5061032176017761,0.5833333333333334,0.5652173913043478,0.5057165622711182,0.5053961277008057,0.6939977588793352,0.6939977631882291,0.7071110213592818,0.6808845050171763,0.2504252273092169,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.006551861763000488,0.4296875,0.4632163528580394,0.5075677633285522,0.5208333333333334,0.43902439024390244,0.5069294571876526,0.5061743259429932
5,0.6935633420944214,0.6938590736222338,0.6938590704099322,0.7085079594860711,0.6792101813337933,0.25035590666205804,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.007320821285247803,0.4435763888888889,0.5168554739737714,0.5101914405822754,0.5208333333333334,0.30303030303030304,0.5076133012771606,0.5070284008979797,0.6948790869249506,0.6948790895878201,0.7108205208020381,0.6789376583736022,0.2508657693936673,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.007959067821502686,0.3645833333333333,0.45546583836418897,0.5139124393463135,0.5208333333333334,0.08,0.5087523460388184,0.5071657299995422
6,0.6943238377571106,0.6955266418843556,0.6955266431066328,0.7150455863751551,0.6760076998381103,0.25118934887151845,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.009738624095916748,0.2717013888888889,0.4405607124889394,0.5135464668273926,0.5208333333333334,0.20689655172413793,0.5108241438865662,0.5086529850959778,0.6946481476092649,0.6946481592662779,0.7134024150959122,0.6758939034366435,0.2507501599174218,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.009362339973449707,0.3993055555555555,0.44359657222073096,0.5037230849266052,0.5,0.6666666666666666,0.5100156664848328,0.5087090134620667
7,0.6940762400627136,0.6949450247834944,0.6949450207791207,0.7190333414931939,0.6708567000650473,0.250898356113849,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.012022554874420166,0.3611111111111111,0.4141617889182757,0.5090322494506836,0.5208333333333334,0.6461538461538462,0.5127683877944946,0.5112766027450562,0.6934376776702952,0.6934376773454645,0.7157311886979012,0.6711441659930281,0.2501451268009059,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.011142969131469727,0.5277777777777777,0.5151805493707613,0.5123875737190247,0.5833333333333334,0.5652173913043478,0.5111517310142517,0.5111340880393982
8,0.6951506733894348,0.6936819816889864,0.693681976336827,0.6912158574170869,0.6961480952565667,0.2502673981982419,0.4583333333333333,0.4583333333333333,0.42857142857142855,0.25,0.3157894736842105,-0.09166984970282113,0.04380165909727415,0.42013888888888884,0.48828948541551326,0.4965210556983948,0.5416666666666666,0.6666666666666666,0.4990285336971283,0.49850717186927795,0.6939690466470912,0.6939690439482149,0.6916113738503871,0.6963267140460427,0.25041093373250106,0.3958333333333333,0.3958333333333333,0.2727272727272727,0.125,0.17142857142857143,-0.24784079854830485,0.10651521322627863,0.44097222222222227,0.4412612609862263,0.4967041611671448,0.5625,0.6666666666666666,0.4992218017578125,0.49841561913490295
9,0.6941532492637634,0.691635182702551,0.6916351858114531,0.6863995946813382,0.696870776941568,0.24924403235235568,0.5625,0.5625,0.6666666666666666,0.25,0.36363636363636365,0.16012815380508713,0.05928937345743179,0.6840277777777778,0.7093070293544372,0.4965820908546448,0.7083333333333334,0.7407407407407407,0.4966101348400116,0.498148649930954,0.6930516319504995,0.693051629009485,0.6879889802718169,0.6981142777471531,0.24995221564979145,0.5208333333333334,0.5208333333333334,0.5555555555555556,0.20833333333333334,0.30303030303030304,0.05337605126836238,0.01775112748146057,0.5121527777777779,0.5609412081409967,0.4967041611671448,0.5625,0.6037735849056604,0.4974086284637451,0.4975306987762451
10,0.6930713057518005,0.692104908195614,0.6921049116489245,0.6880571365898138,0.6961526867080353,0.24947888145088903,0.5833333333333334,0.5833333333333333,0.75,0.25,0.375,0.22360679774997896,0.0807966391245524,0.6293402777777778,0.665812687216096,0.4972534477710724,0.625,0.6538461538461539,0.4974442422389984,0.498504638671875,0.6916318028414294,0.6916317983643864,0.6883062510924449,0.6949573456363279,0.24924232753559683,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.19245008972987526,0.08086275309324265,0.6770833333333333,0.718565198483462,0.4989013671875,0.6458333333333334,0.6222222222222222,0.49756884574890137,0.49910226464271545
11,0.6936627626419067,0.6941586570428994,0.6941586529696315,0.6852186283499958,0.7030986775892675,0.2505056620111736,0.5,0.5,0.5,0.041666666666666664,0.07692307692307693,0.0,0.004474413891633351,0.39322916666666663,0.485959326863087,0.4993896484375,0.5208333333333334,0.20689655172413793,0.4960150718688965,0.49505648016929626,0.6936550070830446,0.6936550071448567,0.6851342551010946,0.7021757591886187,0.2502538589527615,0.5,0.5,0.5,0.08333333333333333,0.14285714285714285,0.0,0.0043917397658030195,0.4522569444444444,0.4928552006284948,0.4973755180835724,0.5416666666666666,0.3888888888888889,0.49597182869911194,0.4955141842365265
12,0.691779613494873,0.6920864151937013,0.6920864126335505,0.7059829003919269,0.6781899248751743,0.24946970811788738,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.006954848766326904,0.640625,0.6202541928261434,0.5079949498176575,0.6458333333333334,0.5853658536585366,0.5063700079917908,0.507539689540863,0.6939878757238711,0.6939878749074917,0.7074209934684186,0.6805547563465649,0.2504202715174129,0.5208333333333334,0.5208333333333334,0.5106382978723404,1.0,0.676056338028169,0.14586499149789456,0.014112429072459538,0.39496527777777773,0.49872262384553606,0.5104964971542358,0.5416666666666666,0.26666666666666666,0.5070767998695374,0.5063445568084717
13,0.6924313306808472,0.6919111650988988,0.6919111541083122,0.7242655568091664,0.659556751407458,0.24938271726933045,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.016198694705963135,0.6666666666666667,0.6546353800510898,0.5153760313987732,0.6875,0.7272727272727273,0.5153120160102844,0.5170853734016418,0.6934450844363864,0.6934450802329111,0.7228689977501176,0.6640211627157044,0.2501490549502323,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.014712214469909668,0.5225694444444444,0.5642504653965544,0.5139734148979187,0.5625,0.6037735849056604,0.5146335959434509,0.5147908329963684
14,0.6915318369865417,0.6916459901599165,0.6916459894884174,0.7440144641992052,0.6392775147776294,0.24925265375608943,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.02623724937438965,0.7039930555555555,0.7209352733210237,0.5274990797042847,0.7083333333333334,0.631578947368421,0.5247868895530701,0.5276876091957092,0.6903012306035446,0.6903012372128211,0.7384576310452622,0.6421448433803799,0.24858172450353985,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.02416163682937622,0.724826388888889,0.7661734935758495,0.5228112936019897,0.7083333333333334,0.7307692307692307,0.5221377015113831,0.5261854529380798
15,0.6959241628646851,0.6910650272480762,0.6910650228145029,0.6787666571655038,0.7033633884635021,0.24895918016514562,0.5208333333333334,0.5208333333333334,1.0,0.041666666666666664,0.08,0.14586499149789456,0.014649154618382454,0.6536458333333333,0.6601920028801064,0.49371370673179626,0.6875,0.7169811320754716,0.4927428662776947,0.4949294626712799,0.6927060450851329,0.6927060397408766,0.6773020866639684,0.7081099928177848,0.2497795129545544,0.5208333333333334,0.5208333333333334,1.0,0.041666666666666664,0.08,0.14586499149789456,0.01310849127670129,0.5269097222222222,0.6038941443774292,0.4938967823982239,0.5833333333333334,0.5,0.4919980466365814,0.4925929307937622
