sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-1.606445312,0.167082720,0,True,0.182820946,0.182820946
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.606933594,0.352759004,0,True,0.435036571,0.435036571
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-1.100830078,0.249584395,0,True,0.287128086,0.287128086
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-1.350830078,0.205734697,0,True,0.230337739,0.230337739
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-0.638427734,0.345602039,0,True,0.424039609,0.424039609
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.741210938,0.322739402,0,True,0.389699149,0.389699149
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.844238281,0.300642905,0,True,0.357593801,0.357593801
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.843994141,0.300694239,0,True,0.357667206,0.357667206
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.163330078,0.459258012,0,True,0.614813031,0.614813031
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.841552734,0.301207861,0,True,0.358401950,0.358401950
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-1.703613281,0.153993939,0,True,0.167228755,0.167228755
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-1.880615234,0.132318222,0,True,0.141930247,0.141930247
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-1.121826172,0.245672705,0,True,0.281928926,0.281928926
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.476074219,0.383179569,0,True,0.483177333,0.483177333
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.884521484,0.292241693,0,True,0.345652618,0.345652618
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.997314453,0.269469759,0,True,0.313984652,0.313984652
