sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.446289062,0.390243436,0,True,0.494695477,0.494695477
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-1.545410156,0.175750173,0,True,0.193281607,0.193281607
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-1.321044922,0.210644498,0,True,0.236538487,0.236538487
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-1.340332031,0.207455461,0,True,0.232506575,0.232506575
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-1.708984375,0.153295493,0,True,0.166403516,0.166403516
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-1.186767578,0.233837550,0,True,0.266361056,0.266361056
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.560791016,0.363364454,0,True,0.451557928,0.451557928
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.992187500,0.270480222,0,True,0.315368800,0.315368800
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-1.810546875,0.140572044,0,True,0.151488278,0.151488278
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-0.538574219,0.368519318,0,True,0.459687928,0.459687928
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-1.408691406,0.196440538,0,True,0.218704093,0.218704093
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-1.367431641,0.203035120,0,True,0.226944667,0.226944667
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.872070312,0.294823696,0,True,0.349307430,0.349307430
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.966064453,0.275665635,0,True,0.322502163,0.322502163
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.373291016,0.407746036,0,True,0.523819743,0.523819743
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-1.138916016,0.242519437,0,True,0.277757402,0.277757402
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.786865234,0.312842160,0,True,0.375191261,0.375191261
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-1.278808594,0.217753096,0,True,0.245584854,0.245584854
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,-0.950439453,0.278796453,0,True,0.326833869,0.326833869
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-0.554931641,0.364720989,0,True,0.453690990,0.453690990
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-1.262939453,0.220468297,0,True,0.249061920,0.249061920
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-1.220214844,0.227898644,0,True,0.258639448,0.258639448
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-1.022705078,0.264500819,0,True,0.307205853,0.307205853
23,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-2.273193359,0.093367543,0,True,0.098018140,0.098018140
24,it1_S006,ro_8192,1,standalone,8192,config_081/vfpga_c081_0.bin,-0.245849609,0.438845314,0,False,0.823608288,0.823608288
25,it1_S011,ro_18000,1,standalone,18000,config_086/vfpga_c086_0.bin,0.343505859,0.585041886,1,True,0.536071834,0.536071834
26,it1_S023,ro_12000,1,standalone,12000,config_098/vfpga_c098_0.bin,-0.252685547,0.437162605,0,False,0.827450059,0.827450059
27,it1_S024,ro_14000,1,standalone,14000,config_099/vfpga_c099_0.bin,-0.019042969,0.495239402,0,False,0.702713994,0.702713994
28,it1_S038,ro_12000,1,standalone,12000,config_113/vfpga_c113_0.bin,-0.452636719,0.388734046,0,False,0.944859856,0.944859856
29,it1_S054,ro_14000,1,standalone,14000,config_129/vfpga_c129_0.bin,-0.078613281,0.480356795,0,False,0.733226128,0.733226128
30,it1_S067,ro_10000,1,standalone,10000,config_142/vfpga_c142_0.bin,-0.718017578,0.327829675,0,False,1.115261089,1.115261089
31,it1_S068,ro_12000,1,standalone,12000,config_143/vfpga_c143_0.bin,-0.075683594,0.481088128,0,False,0.731704807,0.731704807
32,it1_S072,ro_19000,1,standalone,19000,config_147/vfpga_c147_0.bin,1.092041016,0.748765863,1,True,0.289328943,0.289328943
33,it1_S073,ro_20000,1,standalone,20000,config_148/vfpga_c148_0.bin,1.032714844,0.737441886,1,True,0.304567992,0.304567992
34,it2_S000,ro_8000,1,standalone,8000,config_075/vfpga_c075_0.bin,-0.103759766,0.474083306,0,False,0.746372221,0.746372221
35,it2_S004,ro_12000,1,standalone,12000,config_079/vfpga_c079_0.bin,0.253417969,0.563017600,1,True,0.574444390,0.574444390
36,it2_S006,ro_14000,1,standalone,14000,config_081/vfpga_c081_0.bin,0.419921875,0.603464555,1,True,0.505067972,0.505067972
37,it2_S016,ro_9000,1,standalone,9000,config_091/vfpga_c091_0.bin,-0.061035156,0.484745946,0,False,0.724130348,0.724130348
38,it2_S024,ro_17000,1,standalone,17000,config_099/vfpga_c099_0.bin,0.620117188,0.650245201,1,True,0.430405756,0.430405756
39,it2_S040,ro_18000,1,standalone,18000,config_115/vfpga_c115_0.bin,0.194824219,0.548552578,1,True,0.600472146,0.600472146
40,it2_S043,ro_21000,1,standalone,21000,config_118/vfpga_c118_0.bin,0.222412109,0.555374945,1,True,0.588111816,0.588111816
41,it2_S048,ro_11000,1,standalone,11000,config_123/vfpga_c123_0.bin,-0.059814453,0.485050844,0,False,0.723501562,0.723501562
42,it2_S052,ro_15000,1,standalone,15000,config_127/vfpga_c127_0.bin,-0.060546875,0.484867904,0,False,0.723878789,0.723878789
43,it2_S057,ro_20000,1,standalone,20000,config_132/vfpga_c132_0.bin,0.653076172,0.657703336,1,True,0.419001307,0.419001307
44,it2_S058,ro_21000,1,standalone,21000,config_133/vfpga_c133_0.bin,0.632080078,0.652960964,1,True,0.426237931,0.426237931
45,it2_S062,ro_10000,1,standalone,10000,config_137/vfpga_c137_0.bin,-0.533447266,0.369713228,0,False,0.995027634,0.995027634
46,it2_S070,ro_18000,1,standalone,18000,config_145/vfpga_c145_0.bin,0.616943359,0.649523045,1,True,0.431516963,0.431516963
