index,sample_id,class_label,class_name,ro_count,bitstream_path,blob_path
0,it1_B002,0,benign,0,config_002/vfpga_c002_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_3/sample_blobs/000_it1_B002.bin
1,it1_B009,0,benign,0,config_009/vfpga_c009_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_3/sample_blobs/001_it1_B009.bin
2,it1_B010,0,benign,0,config_010/vfpga_c010_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_3/sample_blobs/002_it1_B010.bin
3,it1_B018,0,benign,0,config_018/vfpga_c018_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_3/sample_blobs/003_it1_B018.bin
4,it1_B026,0,benign,0,config_026/vfpga_c026_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_3/sample_blobs/004_it1_B026.bin
5,it1_B039,0,benign,0,config_039/vfpga_c039_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_3/sample_blobs/005_it1_B039.bin
6,it1_B043,0,benign,0,config_043/vfpga_c043_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_3/sample_blobs/006_it1_B043.bin
7,it1_B051,0,benign,0,config_051/vfpga_c051_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_3/sample_blobs/007_it1_B051.bin
8,it1_B054,0,benign,0,config_054/vfpga_c054_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_3/sample_blobs/008_it1_B054.bin
9,it1_B065,0,benign,0,config_065/vfpga_c065_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_3/sample_blobs/009_it1_B065.bin
10,it1_B069,0,benign,0,config_069/vfpga_c069_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_3/sample_blobs/010_it1_B069.bin
11,it1_B073,0,benign,0,config_073/vfpga_c073_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_3/sample_blobs/011_it1_B073.bin
12,it2_B004,0,benign,0,config_004/vfpga_c004_0.bin,artifacts/cnn_small_hls_opt_img512/exports/fold_3/sample_blobs/012_it2_B004.bin
