layer,alignment,shape_pt,shape_hls,pt_min,pt_max,pt_mean,hls_min,hls_max,hls_mean,mae,max_abs,mae_over_pt_range,sign_mismatch_frac,n
features_0,hwc_to_chw,"[8, 256, 256]","[256, 256, 8]",-1.021552562713623,1.6919916868209839,0.054049402475357056,-3.75,-0.4375,-2.7665340900421143,2.8205835819244385,3.6313281059265137,1.0394462734471854,0.24115943908691406,524288
features_1,hwc_to_chw,"[8, 256, 256]","[256, 256, 8]",0.0,1.6919916868209839,0.1591397523880005,0.0,0.0,0.0,0.1591397523880005,1.6919916868209839,0.09405468929164887,0.0,524288
features_2,hwc_to_chw,"[8, 128, 128]","[128, 128, 8]",0.0,1.6919916868209839,0.19127357006072998,0.0,0.0,0.0,0.19127357006072998,1.6919916868209839,0.11304640061211312,0.0,131072
features_3,hwc_to_chw,"[16, 128, 128]","[128, 128, 16]",-0.30591195821762085,0.9142597913742065,0.14730313420295715,-0.25,0.0,-0.15625,0.31495681405067444,0.9573357701301575,0.25812499719116,0.5845108032226562,262144
features_4,hwc_to_chw,"[16, 128, 128]","[128, 128, 16]",0.0,0.9142597913742065,0.15960802137851715,0.0,0.0,0.0,0.15960802137851715,0.9142597913742065,0.1745762231746114,0.0,262144
features_5,hwc_to_chw,"[16, 64, 64]","[64, 64, 16]",0.0,0.9142597913742065,0.19409817457199097,0.0,0.0,0.0,0.19409817457199097,0.9142597913742065,0.21230089784463307,0.0,65536
features_6,hwc_to_chw,"[24, 64, 64]","[64, 64, 24]",-0.5560184121131897,2.8875701427459717,0.3368598222732544,-0.25,0.0,-0.09375,0.4585935175418854,2.8875701427459717,0.13317314719045448,0.24527994791666666,98304
features_7,hwc_to_chw,"[24, 64, 64]","[64, 64, 24]",0.0,2.8875701427459717,0.38793766498565674,0.0,0.0,0.0,0.38793766498565674,2.8875701427459717,0.13434744293925358,0.0,98304
features_8,hwc_to_chw,"[24, 32, 32]","[32, 32, 24]",0.0,2.8875701427459717,0.4459218978881836,0.0,0.0,0.0,0.4459218978881836,2.8875701427459717,0.15442807476327777,0.0,24576
features_9,hwc_to_chw,"[24, 32, 32]","[32, 32, 24]",-1.6809762716293335,12.142308235168457,1.2157434225082397,-0.25,0.0,-0.1354166716337204,1.6346131563186646,12.142308235168457,0.11825070935960047,0.3621826171875,24576
features_10,hwc_to_chw,"[24, 32, 32]","[32, 32, 24]",0.0,12.142308235168457,1.4139918088912964,0.0,0.0,0.0,1.4139918088912964,12.142308235168457,0.11645164836088344,0.0,24576
features_11,hwc_to_chw,"[24, 16, 16]","[16, 16, 24]",0.0,12.142308235168457,1.6361894607543945,0.0,0.0,0.0,1.6361894607543945,12.142308235168457,0.13475110572596125,0.0,6144
features_12,hwc_to_chw,"[32, 16, 16]","[16, 16, 32]",-17.35725212097168,22.8873233795166,1.346420407295227,-0.25,0.0,-0.09375,6.650894641876221,22.8873233795166,0.16526189080552053,0.2711181640625,8192
features_13,hwc_to_chw,"[32, 16, 16]","[16, 16, 32]",0.0,22.8873233795166,4.025821685791016,0.0,0.0,0.0,4.025821685791016,22.8873233795166,0.17589744414560915,0.0,8192
features_14,hwc_to_chw,"[32, 8, 8]","[8, 8, 32]",0.0,22.8873233795166,5.079429626464844,0.0,0.0,0.0,5.079429626464844,22.8873233795166,0.22193200761128606,0.0,2048
gap,hwc_to_chw,"[32, 1, 1]","[1, 1, 32]",0.0,9.870162963867188,5.079429626464844,0.0,0.0,0.0,5.079429626464844,9.870162963867188,0.5146246971868328,0.0,32
classifier,same,[1],[1],3.866668939590454,3.866668939590454,3.866668939590454,0.1142578125,0.1142578125,0.1142578125,3.752411127090454,3.752411127090454,3752411127.090454,0.0,1
