sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-1.354865,0.205076,0,True,0.229509,0.229509
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-3.616997,0.026160,0,True,0.026509,0.026509
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-2.556486,0.071992,0,True,0.074715,0.074715
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-2.058848,0.113161,0,True,0.120092,0.120092
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-1.088897,0.251826,0,True,0.290120,0.290120
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-3.450399,0.030757,0,True,0.031240,0.031240
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.812783,0.307298,0,True,0.367155,0.367155
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,0.869792,0.704702,1,False,1.219772,1.219772
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-5.202148,0.005475,0,True,0.005490,0.005490
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-0.910466,0.286905,0,True,0.338140,0.338140
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-3.174104,0.040152,0,True,0.040980,0.040980
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-2.844708,0.054955,0,True,0.056523,0.056523
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-3.402644,0.032213,0,True,0.032743,0.032743
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-2.531849,0.073655,0,True,0.076509,0.076509
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,0.026744,0.506686,1,False,0.706609,0.706609
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-1.449484,0.190081,0,True,0.210821,0.210821
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-2.158512,0.103539,0,True,0.109300,0.109300
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-3.880120,0.020231,0,True,0.020438,0.020438
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,-2.795121,0.057588,0,True,0.059313,0.059313
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-1.492983,0.183474,0,True,0.202697,0.202697
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.914648,0.286050,0,True,0.336942,0.336942
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-1.949934,0.124561,0,True,0.133029,0.133029
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-1.497808,0.182753,0,True,0.201813,0.201813
23,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-4.509425,0.010885,0,True,0.010945,0.010945
24,it1_S006,ro_8192,1,standalone,8192,config_081/vfpga_c081_0.bin,1.441533,0.808692,1,True,0.212337,0.212337
25,it1_S011,ro_18000,1,standalone,18000,config_086/vfpga_c086_0.bin,8.728606,0.999838,1,True,0.000162,0.000162
26,it1_S023,ro_12000,1,standalone,12000,config_098/vfpga_c098_0.bin,3.682312,0.975453,1,True,0.024853,0.024853
27,it1_S024,ro_14000,1,standalone,14000,config_099/vfpga_c099_0.bin,5.062202,0.993708,1,True,0.006312,0.006312
28,it1_S038,ro_12000,1,standalone,12000,config_113/vfpga_c113_0.bin,2.750526,0.939943,1,True,0.061936,0.061936
29,it1_S054,ro_14000,1,standalone,14000,config_129/vfpga_c129_0.bin,5.178788,0.994397,1,True,0.005619,0.005619
30,it1_S067,ro_10000,1,standalone,10000,config_142/vfpga_c142_0.bin,6.309654,0.998185,1,True,0.001817,0.001817
