sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-3.224046,0.038271,0,True,0.039022,0.039022
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-3.700586,0.024113,0,True,0.024409,0.024409
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-4.161771,0.015341,0,True,0.015460,0.015460
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-2.157381,0.103643,0,True,0.109417,0.109417
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-2.625232,0.067532,0,True,0.069921,0.069921
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-1.483691,0.184871,0,True,0.204408,0.204408
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-3.215212,0.038597,0,True,0.039362,0.039362
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.069980,0.482512,0,True,0.658769,0.658769
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-2.715644,0.062057,0,True,0.064066,0.064066
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-3.894257,0.019952,0,True,0.020154,0.020154
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.270220,0.432853,0,True,0.567137,0.567137
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-2.036608,0.115413,0,True,0.122634,0.122634
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-3.888655,0.020062,0,True,0.020266,0.020266
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.029076,0.492732,0,True,0.678715,0.678715
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-2.913154,0.051507,0,True,0.052881,0.052881
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-1.499028,0.182571,0,True,0.201591,0.201591
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-1.703702,0.153982,0,True,0.167215,0.167215
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-3.273442,0.036494,0,True,0.037176,0.037176
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-3.354875,0.033736,0,True,0.034318,0.034318
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-2.378345,0.084839,0,True,0.088655,0.088655
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,-1.073962,0.254650,0,True,0.293902,0.293902
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-2.411940,0.082267,0,True,0.085849,0.085848
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-4.910600,0.007314,0,True,0.007341,0.007341
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-1.078269,0.253834,0,True,0.292807,0.292807
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,3.866670,0.979501,1,True,0.020712,0.020712
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,3.531182,0.971562,1,True,0.028850,0.028850
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,6.175644,0.997925,1,True,0.002077,0.002077
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,1.910878,0.871118,1,True,0.137978,0.137978
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,3.681135,0.975425,1,True,0.024882,0.024882
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,5.829806,0.997070,1,True,0.002934,0.002934
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,4.634688,0.990384,1,True,0.009662,0.009662
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,5.111696,0.994010,1,True,0.006008,0.006008
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,4.822104,0.992014,1,True,0.008018,0.008018
33,it1_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,5.880146,0.997213,1,True,0.002790,0.002790
34,it2_S013,ro_21000,1,standalone,21000,config_088/vfpga_c088_0.bin,8.069656,0.999687,1,True,0.000313,0.000313
35,it2_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,0.899166,0.710778,1,True,0.341395,0.341395
36,it2_S020,ro_13000,1,standalone,13000,config_095/vfpga_c095_0.bin,2.805012,0.942946,1,True,0.058746,0.058746
37,it2_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,-0.350280,0.413314,0,False,0.883547,0.883546
38,it2_S036,ro_14000,1,standalone,14000,config_111/vfpga_c111_0.bin,3.835545,0.978867,1,True,0.021360,0.021360
39,it2_S042,ro_20000,1,standalone,20000,config_117/vfpga_c117_0.bin,5.672516,0.996573,1,True,0.003433,0.003433
40,it2_S045,ro_8000,1,standalone,8000,config_120/vfpga_c120_0.bin,0.233029,0.557995,1,True,0.583405,0.583405
41,it2_S047,ro_10000,1,standalone,10000,config_122/vfpga_c122_0.bin,2.630345,0.932789,1,True,0.069576,0.069576
42,it2_S049,ro_12000,1,standalone,12000,config_124/vfpga_c124_0.bin,1.335260,0.791709,1,True,0.233561,0.233561
43,it2_S050,ro_13000,1,standalone,13000,config_125/vfpga_c125_0.bin,2.416169,0.918052,1,True,0.085501,0.085501
44,it2_S051,ro_14000,1,standalone,14000,config_126/vfpga_c126_0.bin,2.033582,0.884278,1,True,0.122984,0.122984
45,it2_S064,ro_12000,1,standalone,12000,config_139/vfpga_c139_0.bin,2.993348,0.952273,1,True,0.048904,0.048904
46,it2_S068,ro_16000,1,standalone,16000,config_143/vfpga_c143_0.bin,4.448105,0.988435,1,True,0.011633,0.011633
47,it2_S071,ro_19000,1,standalone,19000,config_146/vfpga_c146_0.bin,6.003019,0.997535,1,True,0.002468,0.002468
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-4.231778,0.014319,0,True,0.014422,0.014422
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.355037,0.412161,0,True,0.531303,0.531303
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,1.627600,0.835841,1,False,1.806918,1.806918
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,1.754330,0.852498,1,False,1.913915,1.913914
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.131573,0.532846,1,False,0.761096,0.761096
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-0.553923,0.364955,0,True,0.454059,0.454059
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-2.368719,0.085589,0,True,0.089476,0.089476
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-2.682026,0.064042,0,True,0.066185,0.066185
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.134059,0.466535,0,True,0.628362,0.628362
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-3.615735,0.026193,0,True,0.026542,0.026542
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-3.747317,0.023038,0,True,0.023307,0.023307
