sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-4.279785,0.013657,0,True,0.013751,0.013751
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.494873,0.378746,0,True,0.476016,0.476016
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.929688,0.282988,0,True,0.332663,0.332663
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,2.158203,0.896433,1,False,2.267535,2.267535
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.144531,0.536070,1,False,0.768022,0.768022
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-2.437744,0.080339,0,True,0.083751,0.083751
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-4.331055,0.012983,0,True,0.013068,0.013068
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-3.032959,0.045959,0,True,0.047049,0.047049
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-1.689453,0.155848,0,True,0.169422,0.169422
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-3.824951,0.021354,0,True,0.021585,0.021585
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-3.760254,0.022748,0,True,0.023011,0.023011
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-1.461670,0.188212,0,True,0.208516,0.208516
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-5.036377,0.006455,0,True,0.006476,0.006476
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-1.388184,0.199698,0,True,0.222766,0.222766
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-4.272705,0.013752,0,True,0.013848,0.013848
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.789307,0.312318,0,True,0.374428,0.374428
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.376221,0.407039,0,True,0.522626,0.522626
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-1.651123,0.160957,0,True,0.175494,0.175494
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-2.795166,0.057586,0,True,0.059311,0.059311
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,-2.347900,0.087233,0,True,0.091274,0.091274
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-3.267090,0.036718,0,True,0.037409,0.037409
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-4.423584,0.011849,0,True,0.011920,0.011920
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-2.810547,0.056757,0,True,0.058431,0.058431
23,it2_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.656738,0.341473,0,True,0.417749,0.417749
24,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,3.830322,0.978758,1,True,0.021471,0.021471
25,it1_S026,ro_18000,1,standalone,18000,config_101/vfpga_c101_0.bin,3.694824,0.975751,1,True,0.024548,0.024548
26,it1_S039,ro_14000,1,standalone,14000,config_114/vfpga_c114_0.bin,2.445312,0.920218,1,True,0.083145,0.083145
27,it1_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,3.494385,0.970528,1,True,0.029915,0.029915
28,it1_S066,ro_8192,1,standalone,8192,config_141/vfpga_c141_0.bin,1.818359,0.860369,1,True,0.150394,0.150394
29,it2_S008,ro_16000,1,standalone,16000,config_083/vfpga_c083_0.bin,5.547363,0.996117,1,True,0.003890,0.003890
30,it2_S009,ro_17000,1,standalone,17000,config_084/vfpga_c084_0.bin,5.328369,0.995171,1,True,0.004840,0.004840
31,it2_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,4.497070,0.988981,1,True,0.011080,0.011080
32,it2_S023,ro_16000,1,standalone,16000,config_098/vfpga_c098_0.bin,5.528076,0.996042,1,True,0.003966,0.003966
33,it2_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,7.010254,0.999098,1,True,0.000902,0.000902
34,it2_S031,ro_9000,1,standalone,9000,config_106/vfpga_c106_0.bin,-0.239502,0.440409,0,False,0.820051,0.820051
35,it2_S032,ro_10000,1,standalone,10000,config_107/vfpga_c107_0.bin,0.422119,0.603990,1,True,0.504197,0.504197
36,it2_S033,ro_11000,1,standalone,11000,config_108/vfpga_c108_0.bin,1.251709,0.777596,1,True,0.251549,0.251549
37,it2_S041,ro_19000,1,standalone,19000,config_116/vfpga_c116_0.bin,3.910889,0.980370,1,True,0.019825,0.019825
38,it2_S046,ro_9000,1,standalone,9000,config_121/vfpga_c121_0.bin,2.960449,0.950755,1,True,0.050499,0.050499
39,it2_S053,ro_16000,1,standalone,16000,config_128/vfpga_c128_0.bin,2.511475,0.924942,1,True,0.078024,0.078024
40,it2_S056,ro_19000,1,standalone,19000,config_131/vfpga_c131_0.bin,2.739990,0.939345,1,True,0.062572,0.062572
41,it2_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,3.358643,0.966387,1,True,0.034191,0.034191
42,it2_S061,ro_9000,1,standalone,9000,config_136/vfpga_c136_0.bin,1.423096,0.805823,1,True,0.215891,0.215891
43,it2_S065,ro_13000,1,standalone,13000,config_140/vfpga_c140_0.bin,2.987061,0.951986,1,True,0.049205,0.049205
44,it2_S066,ro_14000,1,standalone,14000,config_141/vfpga_c141_0.bin,1.082764,0.747017,1,True,0.291668,0.291668
45,it2_S067,ro_15000,1,standalone,15000,config_142/vfpga_c142_0.bin,5.064453,0.993722,1,True,0.006298,0.006298
46,it2_S072,ro_20000,1,standalone,20000,config_147/vfpga_c147_0.bin,5.419434,0.995590,1,True,0.004420,0.004420
47,it2_S073,ro_21000,1,standalone,21000,config_148/vfpga_c148_0.bin,2.256592,0.905218,1,True,0.099580,0.099580
