sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-3.103271,0.042973,0,True,0.043923,0.043923
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-1.366211,0.203233,0,True,0.227193,0.227193
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-1.768799,0.145692,0,True,0.157463,0.157463
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-6.844971,0.001064,0,True,0.001064,0.001064
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-3.319824,0.034897,0,True,0.035521,0.035521
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-4.254150,0.014006,0,True,0.014105,0.014105
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-4.560791,0.010346,0,True,0.010400,0.010400
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-4.734375,0.008711,0,True,0.008750,0.008750
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.436768,0.607489,1,False,0.935189,0.935189
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.321045,0.420421,0,True,0.545453,0.545453
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-2.097412,0.109349,0,True,0.115802,0.115802
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-3.885742,0.020119,0,True,0.020325,0.020325
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-3.789795,0.022101,0,True,0.022349,0.022349
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-4.101318,0.016281,0,True,0.016415,0.016415
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-3.695801,0.024226,0,True,0.024524,0.024524
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-2.802002,0.057216,0,True,0.058918,0.058918
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-2.672607,0.064609,0,True,0.066791,0.066791
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-1.234619,0.225374,0,True,0.255375,0.255375
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.425537,0.604807,1,False,0.928382,0.928382
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-3.601807,0.026550,0,True,0.026909,0.026909
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.969971,0.274886,0,True,0.321427,0.321427
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-1.573975,0.171651,0,True,0.188320,0.188320
