sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.000200247,0.499949938,0,True,0.693047062,0.693047062
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.005150052,0.501287510,1,False,0.695725522,0.695725522
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.010256192,0.497435975,0,True,0.688032233,0.688032233
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,0.005005231,0.501251305,1,False,0.695652928,0.695652928
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.005530858,0.501382711,1,False,0.695916434,0.695916434
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,0.012836928,0.503209188,1,False,0.699586243,0.699586243
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.013127191,0.496718249,0,True,0.686605125,0.686605125
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,0.021994570,0.505498421,1,False,0.704204935,0.704204935
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.007978195,0.501994538,1,False,0.697144235,0.697144235
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.002532942,0.499366765,0,True,0.691881511,0.691881511
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-0.003212607,0.499196849,0,True,0.691542167,0.691542167
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,0.010693351,0.502673312,1,False,0.698508149,0.698508149
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-0.009006148,0.497748478,0,True,0.688654245,0.688654245
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.004267698,0.498933077,0,True,0.691015608,0.691015608
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,0.017805720,0.504451312,1,False,0.702089670,0.702089670
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,0.026263410,0.506565475,1,False,0.706365104,0.706365104
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,0.011296736,0.502824154,1,False,0.698811501,0.698811501
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,0.008606391,0.502151584,1,False,0.697459635,0.697459635
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,0.003873521,0.500968379,1,False,0.695085817,0.695085817
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,0.006784888,0.501696215,1,False,0.696545379,0.696545379
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,0.017653136,0.504413169,1,False,0.702012702,0.702012702
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.016334211,0.495916538,0,True,0.685013425,0.685013425
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.025405983,0.506351154,1,False,0.705930853,0.705930853
23,it2_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,0.017224317,0.504305973,1,False,0.701796423,0.701796423
24,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,0.025168164,0.506291709,1,True,0.680642276,0.680642276
25,it1_S026,ro_18000,1,standalone,18000,config_101/vfpga_c101_0.bin,0.033921733,0.508479620,1,True,0.676330142,0.676330142
26,it1_S039,ro_14000,1,standalone,14000,config_114/vfpga_c114_0.bin,0.034092359,0.508522264,1,True,0.676246280,0.676246280
27,it1_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,0.037947133,0.509485645,1,True,0.674353601,0.674353601
28,it1_S066,ro_8192,1,standalone,8192,config_141/vfpga_c141_0.bin,0.000215778,0.500053945,1,True,0.693039297,0.693039297
29,it2_S008,ro_16000,1,standalone,16000,config_083/vfpga_c083_0.bin,0.061064489,0.515261380,1,True,0.663080973,0.663080973
30,it2_S009,ro_17000,1,standalone,17000,config_084/vfpga_c084_0.bin,0.031360716,0.507839536,1,True,0.677589755,0.677589755
31,it2_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,0.051710933,0.512924853,1,True,0.667625929,0.667625929
32,it2_S023,ro_16000,1,standalone,16000,config_098/vfpga_c098_0.bin,0.051701717,0.512922551,1,True,0.667630418,0.667630418
33,it2_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,0.032344766,0.508085487,1,True,0.677105565,0.677105565
34,it2_S031,ro_9000,1,standalone,9000,config_106/vfpga_c106_0.bin,0.029072555,0.507267627,1,True,0.678716551,0.678716551
35,it2_S032,ro_10000,1,standalone,10000,config_107/vfpga_c107_0.bin,0.030976256,0.507743445,1,True,0.677778989,0.677778989
