sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-0.049423426,0.487646658,0,True,0.668740771,0.668740771
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.019822195,0.495044613,0,True,0.683285197,0.683285197
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.012407185,0.496898244,0,True,0.686962830,0.686962830
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,0.020665869,0.505166283,1,False,0.703533499,0.703533499
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.012053163,0.496986746,0,True,0.687138759,0.687138759
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,0.082630530,0.520645887,1,False,0.735315678,0.735315678
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.022436514,0.494391107,0,True,0.681991847,0.681991847
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.024409756,0.493897864,0,True,0.681016780,0.681016780
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.010881542,0.502720359,1,False,0.698602753,0.698602753
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-0.002814413,0.499296397,0,True,0.691740964,0.691740964
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.000724793,0.499818802,0,True,0.692784850,0.692784850
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,0.009928345,0.502482066,1,False,0.698123674,0.698123674
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,0.018232912,0.504558102,1,False,0.702305191,0.702305191
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.034006521,0.508500811,1,False,0.710294990,0.710294990
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.010888099,0.502721998,1,False,0.698606049,0.698606049
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.010190577,0.497452378,0,True,0.688064873,0.688064873
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.012242942,0.503060697,1,False,0.699287388,0.699287388
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,0.016565546,0.504141292,1,False,0.701464256,0.701464256
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-0.013966591,0.496508409,0,True,0.686188268,0.686188268
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.031053267,0.492237307,0,True,0.677741080,0.677741080
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,0.070260763,0.517557968,1,False,0.728894507,0.728894507
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-0.009417475,0.497645649,0,True,0.688449529,0.688449529
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,0.006833284,0.501708314,1,False,0.696569659,0.696569659
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.018530771,0.495367440,0,True,0.683924718,0.683924718
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,0.056546107,0.514132761,1,True,0.665273757,0.665273757
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,0.002792715,0.500698178,1,True,0.691751798,0.691751798
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,0.113883272,0.528440087,1,True,0.637825844,0.637825844
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,0.046677582,0.511667277,1,True,0.670080714,0.670080714
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,0.020849794,0.505212260,1,True,0.682776622,0.682776622
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,0.025249749,0.506312102,1,True,0.680601997,0.680601997
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,-0.005866052,0.498533491,0,False,0.696084508,0.696084508
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,0.008008569,0.502002131,1,True,0.689150913,0.689150913
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,-0.010452316,0.497386945,0,False,0.698386995,0.698386995
33,it1_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,0.049446851,0.512359195,1,True,0.668729348,0.668729348
34,it2_S013,ro_21000,1,standalone,21000,config_088/vfpga_c088_0.bin,0.042336524,0.510582550,1,True,0.672202950,0.672202950
35,it2_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,0.009830668,0.502457647,1,True,0.688243927,0.688243927
36,it2_S020,ro_13000,1,standalone,13000,config_095/vfpga_c095_0.bin,0.096805975,0.524182611,1,True,0.645915161,0.645915161
37,it2_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,0.044924423,0.511229217,1,True,0.670937223,0.670937223
38,it2_S036,ro_14000,1,standalone,14000,config_111/vfpga_c111_0.bin,0.079303265,0.519815432,1,True,0.654281468,0.654281468
39,it2_S042,ro_20000,1,standalone,20000,config_117/vfpga_c117_0.bin,0.040079638,0.510018568,1,True,0.673308145,0.673308145
40,it2_S045,ro_8000,1,standalone,8000,config_120/vfpga_c120_0.bin,0.035834014,0.508957545,1,True,0.675390674,0.675390674
41,it2_S047,ro_10000,1,standalone,10000,config_122/vfpga_c122_0.bin,-0.023035809,0.494241302,0,False,0.704731415,0.704731415
42,it2_S049,ro_12000,1,standalone,12000,config_124/vfpga_c124_0.bin,0.049995244,0.512496208,1,True,0.668461967,0.668461967
43,it2_S050,ro_13000,1,standalone,13000,config_125/vfpga_c125_0.bin,0.019830823,0.504957543,1,True,0.683280926,0.683280926
44,it2_S051,ro_14000,1,standalone,14000,config_126/vfpga_c126_0.bin,0.049703896,0.512423416,1,True,0.668604010,0.668604010
45,it2_S064,ro_12000,1,standalone,12000,config_139/vfpga_c139_0.bin,0.022022530,0.505505410,1,True,0.682196538,0.682196538
46,it2_S068,ro_16000,1,standalone,16000,config_143/vfpga_c143_0.bin,-0.001428739,0.499642815,0,False,0.693861805,0.693861805
47,it2_S071,ro_19000,1,standalone,19000,config_146/vfpga_c146_0.bin,0.018885076,0.504721129,1,True,0.683749223,0.683749223
