sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.284793288,0.429279032,0,True,0.560854861,0.560854861
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.211189076,0.447398093,0,True,0.593117416,0.593117416
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-0.444570899,0.390652356,0,True,0.495366330,0.495366330
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-0.295112520,0.426752701,0,True,0.556438068,0.556438068
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,0.659721792,0.659197890,1,False,1.076453293,1.076453293
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,0.095110580,0.523759737,1,False,0.741832798,0.741832798
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.383709490,0.405232526,0,True,0.519584749,0.519584749
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.328925461,0.418502098,0,True,0.542147915,0.542147915
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.043635588,0.489092834,0,True,0.671567376,0.671567376
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.316158801,0.421612162,0,True,0.547510635,0.547510635
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.343984306,0.414841967,0,True,0.535873327,0.535873327
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.878664792,0.293454543,0,True,0.347367738,0.347367738
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.005203289,0.498699181,0,True,0.690548920,0.690548920
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.513769507,0.374310282,0,True,0.468900688,0.468900688
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.520630777,0.372704749,0,True,0.466337954,0.466337954
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,0.028238852,0.507059244,1,False,0.707366282,0.707366282
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.324753284,0.419517775,0,True,0.543896098,0.543896098
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,0.132987544,0.533197973,1,False,0.761850036,0.761850036
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.262845188,0.434664427,0,True,0.570335790,0.570335790
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,0.200589612,0.549979932,1,False,0.798463101,0.798463101
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,0.299323171,0.574277052,1,False,0.853966501,0.853966501
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.256959945,0.436111167,0,True,0.572898152,0.572898152
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,0.171670124,0.542812440,1,False,0.782661557,0.782661557
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-0.241936609,0.439809159,0,True,0.579477766,0.579477766
24,it1_S007,ro_10000,1,standalone,10000,config_082/vfpga_c082_0.bin,0.415366024,0.602373850,1,True,0.506877013,0.506877013
25,it1_S010,ro_16000,1,standalone,16000,config_085/vfpga_c085_0.bin,-0.034154098,0.491462305,0,False,0.710370036,0.710370036
26,it1_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,0.277730346,0.568989700,1,True,0.563892946,0.563892946
27,it1_S021,ro_8192,1,standalone,8192,config_096/vfpga_c096_0.bin,0.024442960,0.506110436,1,True,0.681000381,0.681000381
28,it1_S041,ro_18000,1,standalone,18000,config_116/vfpga_c116_0.bin,0.325353205,0.580628312,1,True,0.543644465,0.543644465
29,it1_S043,ro_20000,1,standalone,20000,config_118/vfpga_c118_0.bin,0.630923688,0.652698876,1,True,0.426639395,0.426639395
30,it1_S044,ro_22000,1,standalone,22000,config_119/vfpga_c119_0.bin,0.589016378,0.643139425,1,True,0.441393743,0.441393743
31,it1_S051,ro_8192,1,standalone,8192,config_126/vfpga_c126_0.bin,0.533818781,0.630373341,1,True,0.461443031,0.461443031
32,it1_S053,ro_12000,1,standalone,12000,config_128/vfpga_c128_0.bin,-0.016555350,0.495861257,0,False,0.701459115,0.701459115
33,it1_S070,ro_16000,1,standalone,16000,config_145/vfpga_c145_0.bin,0.599017918,0.645431589,1,True,0.437836055,0.437836055
34,it2_S001,ro_9000,1,standalone,9000,config_076/vfpga_c076_0.bin,0.219516113,0.554659712,1,True,0.589400484,0.589400484
35,it2_S010,ro_18000,1,standalone,18000,config_085/vfpga_c085_0.bin,0.772427678,0.684045815,1,True,0.379730382,0.379730382
36,it2_S011,ro_19000,1,standalone,19000,config_086/vfpga_c086_0.bin,0.430819333,0.606069301,1,True,0.500760942,0.500760942
37,it2_S012,ro_20000,1,standalone,20000,config_087/vfpga_c087_0.bin,0.744986117,0.678085219,1,True,0.388482307,0.388482307
38,it2_S021,ro_14000,1,standalone,14000,config_096/vfpga_c096_0.bin,0.084754899,0.521176050,1,True,0.651667386,0.651667386
39,it2_S025,ro_18000,1,standalone,18000,config_100/vfpga_c100_0.bin,0.939741731,0.719047485,1,True,0.329827880,0.329827880
40,it2_S027,ro_20000,1,standalone,20000,config_102/vfpga_c102_0.bin,-0.457178175,0.387655452,0,False,0.947638344,0.947638344
41,it2_S028,ro_21000,1,standalone,21000,config_103/vfpga_c103_0.bin,0.191416040,0.547708429,1,True,0.602012198,0.602012198
42,it2_S037,ro_15000,1,standalone,15000,config_112/vfpga_c112_0.bin,0.563326061,0.637221777,1,True,0.450637526,0.450637526
43,it2_S038,ro_16000,1,standalone,16000,config_113/vfpga_c113_0.bin,0.466933578,0.614657719,1,True,0.486689720,0.486689720
44,it2_S039,ro_17000,1,standalone,17000,config_114/vfpga_c114_0.bin,0.564675987,0.637533782,1,True,0.450148013,0.450148013
45,it2_S055,ro_18000,1,standalone,18000,config_130/vfpga_c130_0.bin,-0.099064395,0.475254135,0,False,0.743905596,0.743905596
46,it2_S063,ro_11000,1,standalone,11000,config_138/vfpga_c138_0.bin,-0.091483340,0.477145103,0,False,0.739934636,0.739934636
47,it2_S069,ro_17000,1,standalone,17000,config_144/vfpga_c144_0.bin,0.084720120,0.521167371,1,True,0.651684040,0.651684040
