layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
output_dense,"(1,)",1,0.09858542680740356,0.09858542680740356,0.23991447128355503,0.23991447128355503,0.25620462372899055,3.7437748886651425,0.49999999999915945,1,auto,auto,auto
pool2,"(4, 4, 24)",384,0.4433718639934341,0.4433718639934341,0.04816650022636774,0.06469763773942971,0.15224063396453857,0.11748720310244978,0.9941365529535798,1,auto,auto,
gap,"(1, 1, 24)",24,0.44337186543270946,0.44337186543270946,0.04756253973270456,0.05976560520724575,0.11935204267501831,0.11612370520137712,0.9941672503302158,1,auto,auto,
conv2,"(8, 8, 24)",1536,0.3956453407683398,0.3956453407683398,0.04620750635234572,0.05920591697776631,0.15195834636688232,0.11889834693286615,0.9931196202045175,1,auto,auto,auto
act2,"(8, 8, 24)",1536,0.29686638283394967,0.29686638283394967,0.034957273721734815,0.0525352547552022,0.15224063396453857,0.12508508967365678,0.9929833725764631,1,auto,,
pool1,"(8, 8, 16)",1024,0.4211661339398205,0.4211661339398205,0.018976402341920107,0.024754219050627357,0.05677056312561035,0.03951560731386952,0.9996225520464506,1,auto,auto,
conv1,"(16, 16, 16)",4096,0.7090273593203826,0.7090273593203826,0.019320077147690018,0.023414594008429657,0.055907487869262695,0.02592359428247088,0.9996956222666299,1,auto,auto,auto
act1,"(16, 16, 16)",4096,0.31930191970399724,0.31930191970399724,0.014825045130913761,0.021472322876401453,0.05677056312561035,0.04061562408061535,0.9995678890733929,1,auto,,
pad_conv2,"(10, 10, 16)",1600,0.2695463257214851,0.2695463257214851,0.012144897498828869,0.019803375240501887,0.05677056312561035,0.03951560731386952,0.9996225520464506,1,auto,,
conv0,"(32, 32, 8)",8192,0.7923715424805051,0.7923715424805051,0.011358492622645322,0.011517355353852756,0.016377002000808716,0.01141824155174831,0.9999348150788279,1,auto,auto,auto
pool0,"(16, 16, 8)",2048,0.5222521546947974,0.5222521546947974,0.007508707391025382,0.009435282446188197,0.016307257115840912,0.011582192108071475,0.999972083303092,1,auto,auto,
pad_conv1,"(18, 18, 8)",2592,0.4126436777835436,0.4126436777835436,0.005932805839822524,0.008386917729945063,0.016307257115840912,0.011582192108071475,0.9999720833030918,1,auto,,
act0,"(32, 32, 8)",8192,0.40364100908697154,0.40364100908697154,0.005551600212459817,0.00808767770124545,0.016524337232112885,0.011710693467987022,0.9999773113130203,1,auto,,
pad_conv0,"(68, 68, 1)",4624,0.8086301670840003,0.8086301670840003,0.00024930095078224627,0.0004472775458810507,0.000972747802734375,0.0005102496080823423,0.9999999041554913,1,auto,,
