sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.797037065,0.310659676,0,True,0.372020191,0.372020191
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.487259686,0.380539328,0,True,0.478906063,0.478906063
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-1.156580806,0.239289126,0,True,0.273501922,0.273501922
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,-0.326775253,0.419025460,0,True,0.543048344,0.543048344
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.478109896,0.382698545,0,True,0.482397792,0.482397792
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-0.582210064,0.358424217,0,True,0.443827967,0.443827967
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-1.565704703,0.172829583,0,True,0.189744538,0.189744538
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.362384737,0.410382411,0,True,0.528281107,0.528281107
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.601894498,0.353910382,0,True,0.436817058,0.436817058
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.595326185,0.355413715,0,True,0.439146587,0.439146587
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-1.402008176,0.197497638,0,True,0.220020480,0.220020480
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.502849698,0.376871213,0,True,0.473002061,0.473002061
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-1.401375651,0.197597907,0,True,0.220145434,0.220145434
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.793116450,0.311499899,0,True,0.373239814,0.373239814
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-0.611046672,0.351820475,0,True,0.433587576,0.433587576
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.160925314,0.459855270,0,True,0.615918156,0.615918156
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.349850476,0.413418681,0,True,0.533443969,0.533443969
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-0.976049662,0.273676320,0,True,0.319759523,0.319759523
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.859609067,0.297421029,0,True,0.352997470,0.352997470
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,-0.807976663,0.308321824,0,True,0.368634495,0.368634495
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.444943219,0.390563731,0,True,0.495220899,0.495220899
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.912230074,0.286543712,0,True,0.337634108,0.337634108
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-0.065656655,0.483591730,0,True,0.660857606,0.660857606
23,it2_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.226362810,0.443649709,0,True,0.586357163,0.586357163
24,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,0.217141405,0.554073054,1,True,0.590458734,0.590458734
25,it1_S026,ro_18000,1,standalone,18000,config_101/vfpga_c101_0.bin,0.376860917,0.593115772,1,True,0.522365669,0.522365669
