sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-0.249486640,0.437949859,0,True,0.576164213,0.576164213
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-0.385600030,0.404776951,0,True,0.518819071,0.518819071
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-0.629661977,0.347587187,0,True,0.427077769,0.427077769
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.454340547,0.388329259,0,True,0.491561146,0.491561146
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.762578368,0.318086737,0,True,0.382852809,0.382852809
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,0.900939405,0.711142512,1,False,1.241821835,1.241821835
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-1.381530285,0.200763342,0,True,0.224098184,0.224098184
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-1.231273293,0.225958647,0,True,0.256129980,0.256129980
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,0.452522039,0.611238704,1,False,0.944789758,0.944789758
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-1.228056788,0.226521714,0,True,0.256857682,0.256857682
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-0.440521508,0.391616711,0,True,0.496950187,0.496950187
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.396462232,0.597837377,1,False,0.910898738,0.910898738
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.607254863,0.352685655,0,True,0.434923252,0.434923252
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.649641335,0.656929634,1,False,1.069819704,1.069819704
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,0.508295715,0.624406865,1,False,0.979248810,0.979248810
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.618294656,0.350169405,0,True,0.431043572,0.431043572
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.127374426,0.468199377,0,True,0.631486629,0.631486629
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,0.044187620,0.511045108,1,False,0.715485039,0.715485039
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,0.068890497,0.517215816,1,False,0.728185549,0.728185549
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,0.502402604,0.623023786,1,False,0.975573185,0.975573185
20,it2_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.938300908,0.281243679,0,True,0.330232893,0.330232893
21,it2_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-0.813818693,0.307077353,0,True,0.366836906,0.366836906
22,it2_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.967119038,0.275455111,0,True,0.322211561,0.322211561
23,it1_S012,ro_19000,1,standalone,19000,config_087/vfpga_c087_0.bin,0.731848776,0.675210843,1,True,0.392730277,0.392730277
24,it1_S022,ro_10000,1,standalone,10000,config_097/vfpga_c097_0.bin,0.858569801,0.702361758,1,True,0.353306683,0.353306683
25,it1_S025,ro_16000,1,standalone,16000,config_100/vfpga_c100_0.bin,0.770537019,0.683637050,1,True,0.380328131,0.380328131
26,it1_S028,ro_20000,1,standalone,20000,config_103/vfpga_c103_0.bin,0.553288758,0.634898271,1,True,0.454290496,0.454290496
27,it1_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,-0.488393545,0.380272080,0,False,0.966868282,0.966868282
28,it1_S042,ro_19000,1,standalone,19000,config_117/vfpga_c117_0.bin,0.938148260,0.718725463,1,True,0.330275826,0.330275826
29,it1_S052,ro_10000,1,standalone,10000,config_127/vfpga_c127_0.bin,-0.258196920,0.435806997,0,False,0.830555802,0.830555802
30,it1_S056,ro_18000,1,standalone,18000,config_131/vfpga_c131_0.bin,0.787856758,0.687370950,1,True,0.374881177,0.374881177
