sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,0.470875174,0.615590877,1,False,0.956047870,0.956047870
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.782830715,0.313710123,0,True,0.376455179,0.376455179
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-0.721271455,0.327113061,0,True,0.396177959,0.396177959
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-0.083811492,0.479059384,0,True,0.652119224,0.652119224
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,0.273433119,0.567935536,1,False,0.839180479,0.839180479
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-1.134006739,0.243422430,0,True,0.278950213,0.278950213
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.393998057,0.402755222,0,True,0.515428236,0.515428236
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-1.735058665,0.149941664,0,True,0.162450301,0.162450301
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.201299936,0.550155732,1,False,0.798853827,0.798853827
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-1.589186192,0.169498425,0,True,0.185725453,0.185725453
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.047438767,0.488142532,0,True,0.669709075,0.669709075
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.789268374,0.312325785,0,True,0.374440078,0.374440078
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.419122130,0.396726836,0,True,0.505385176,0.505385176
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-1.389474154,0.199491719,0,True,0.222508401,0.222508401
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,0.022204552,0.505550910,1,False,0.704311085,0.704311085
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-1.227084637,0.226692090,0,True,0.257077978,0.257077978
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.567753851,0.361755273,0,True,0.449033485,0.449033485
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,0.837421954,0.697921972,1,False,1.197069924,1.197069924
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.066793054,0.483307942,0,True,0.660308214,0.660308214
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,1.167694449,0.762728024,1,False,1.438548217,1.438548217
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.553983390,0.364940727,0,True,0.454036941,0.454036941
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,1.269612193,0.780676355,1,False,1.517206807,1.517206807
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,1.014087558,0.733819329,1,False,1.323579985,1.323579985
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-0.336215347,0.416729106,0,True,0.539103546,0.539103546
24,it1_S007,ro_10000,1,standalone,10000,config_082/vfpga_c082_0.bin,0.082024783,0.520494706,1,True,0.652975562,0.652975562
25,it1_S010,ro_16000,1,standalone,16000,config_085/vfpga_c085_0.bin,0.862189293,0.703117857,1,True,0.352230752,0.352230752
26,it1_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,0.759222329,0.681184869,1,True,0.383921543,0.383921543
27,it1_S021,ro_8192,1,standalone,8192,config_096/vfpga_c096_0.bin,0.187366992,0.546705190,1,True,0.603845579,0.603845579
28,it1_S041,ro_18000,1,standalone,18000,config_116/vfpga_c116_0.bin,0.873712838,0.705517675,1,True,0.348823455,0.348823455
29,it1_S043,ro_20000,1,standalone,20000,config_118/vfpga_c118_0.bin,1.510778427,0.819176541,1,True,0.199455662,0.199455662
30,it1_S044,ro_22000,1,standalone,22000,config_119/vfpga_c119_0.bin,2.009692192,0.881810946,1,True,0.125777593,0.125777593
31,it1_S051,ro_8192,1,standalone,8192,config_126/vfpga_c126_0.bin,2.227440596,0.902686764,1,True,0.102379670,0.102379670
32,it1_S053,ro_12000,1,standalone,12000,config_128/vfpga_c128_0.bin,0.804914176,0.691024689,1,True,0.369579727,0.369579727
33,it1_S070,ro_16000,1,standalone,16000,config_145/vfpga_c145_0.bin,2.773252249,0.941213195,1,True,0.060585603,0.060585603
34,it2_S001,ro_9000,1,standalone,9000,config_076/vfpga_c076_0.bin,-0.210839480,0.447484526,0,False,0.804113320,0.804113320
35,it2_S010,ro_18000,1,standalone,18000,config_085/vfpga_c085_0.bin,1.282453895,0.782867194,1,True,0.244792209,0.244792209
36,it2_S011,ro_19000,1,standalone,19000,config_086/vfpga_c086_0.bin,2.564891577,0.928567596,1,True,0.074112099,0.074112099
37,it2_S012,ro_20000,1,standalone,20000,config_087/vfpga_c087_0.bin,1.337123156,0.792016447,1,True,0.233173121,0.233173121
38,it2_S021,ro_14000,1,standalone,14000,config_096/vfpga_c096_0.bin,0.786731124,0.687129009,1,True,0.375233219,0.375233219
39,it2_S025,ro_18000,1,standalone,18000,config_100/vfpga_c100_0.bin,4.052519321,0.982918317,1,True,0.017229258,0.017229258
40,it2_S027,ro_20000,1,standalone,20000,config_102/vfpga_c102_0.bin,-0.266076118,0.433870655,0,False,0.835008820,0.835008820
41,it2_S028,ro_21000,1,standalone,21000,config_103/vfpga_c103_0.bin,1.010532737,0.733124394,1,True,0.310439887,0.310439887
42,it2_S037,ro_15000,1,standalone,15000,config_112/vfpga_c112_0.bin,0.443423837,0.609074560,1,True,0.495814589,0.495814589
43,it2_S038,ro_16000,1,standalone,16000,config_113/vfpga_c113_0.bin,1.475996017,0.813967041,1,True,0.205835404,0.205835404
44,it2_S039,ro_17000,1,standalone,17000,config_114/vfpga_c114_0.bin,0.636081398,0.653867119,1,True,0.424851130,0.424851130
45,it2_S055,ro_18000,1,standalone,18000,config_130/vfpga_c130_0.bin,1.687522173,0.843898024,1,True,0.169723617,0.169723617
46,it2_S063,ro_11000,1,standalone,11000,config_138/vfpga_c138_0.bin,1.655640483,0.839651921,1,True,0.174767852,0.174767852
47,it2_S069,ro_17000,1,standalone,17000,config_144/vfpga_c144_0.bin,0.391990870,0.596761869,1,True,0.516237125,0.516237125
