sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.041015625,0.489747531,0,True,0.672849639,0.672849639
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.009765625,0.502441387,1,False,0.698041914,0.698041914
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.005859375,0.498535160,0,True,0.690221785,0.690221785
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,-0.021484375,0.494629113,0,True,0.682462689,0.682462689
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.029296875,0.492676305,0,True,0.678606028,0.678606028
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-0.031250000,0.492188136,0,True,0.677644246,0.677644246
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,0.003906250,0.500976561,1,False,0.695102213,0.695102213
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.029296875,0.492676305,0,True,0.678606028,0.678606028
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.015625000,0.496093829,0,True,0.685365198,0.685365198
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.005859375,0.498535160,0,True,0.690221785,0.690221785
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-0.037109375,0.490723721,0,True,0.674764621,0.674764621
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.009765625,0.497558613,0,True,0.688276289,0.688276289
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-0.011718750,0.497070346,0,True,0.687304972,0.687304972
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.064453125,0.483892295,0,True,0.661439804,0.661439804
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-0.031250000,0.492188136,0,True,0.677644246,0.677644246
