sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.058105469,0.485477718,0,True,0.664516418,0.664516418
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.045898438,0.488527405,0,True,0.670461272,0.670461272
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.057128906,0.485721657,0,True,0.664990636,0.664990636
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,-0.042968750,0.489259465,0,True,0.671893577,0.671893577
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.060058594,0.484989863,0,True,0.663568695,0.663568695
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-0.032226562,0.491944057,0,True,0.677163713,0.677163713
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.073730469,0.481575729,0,True,0.656961315,0.656961315
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.029785156,0.492554261,0,True,0.678365493,0.678365493
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.050292969,0.487429407,0,True,0.668316836,0.668316836
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.057128906,0.485721657,0,True,0.664990636,0.664990636
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-0.047851562,0.488039392,0,True,0.669507594,0.669507594
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.020996094,0.494751169,0,True,0.682704237,0.682704237
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-0.046875000,0.488283395,0,True,0.669984314,0.669984314
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.051757812,0.487063435,0,True,0.667603096,0.667603096
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-0.033203125,0.491699981,0,True,0.676683418,0.676683418
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.025390625,0.493652685,0,True,0.680532451,0.680532451
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.034179688,0.491455910,0,True,0.676203361,0.676203361
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-0.036621094,0.490845750,0,True,0.675004262,0.675004262
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.055664062,0.486087576,0,True,0.665702410,0.665702410
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,-0.059570312,0.485111824,0,True,0.663805537,0.663805537
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.049316406,0.487673397,0,True,0.668792960,0.668792960
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.074707031,0.481331924,0,True,0.656491145,0.656491145
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-0.022949219,0.494262947,0,True,0.681738403,0.681738403
23,it2_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.038574219,0.490357641,0,True,0.674046056,0.674046056
24,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,-0.041015625,0.489747531,0,False,0.713865264,0.713865264
25,it1_S026,ro_18000,1,standalone,18000,config_101/vfpga_c101_0.bin,-0.019042969,0.495239402,0,False,0.702713994,0.702713994
26,it1_S039,ro_14000,1,standalone,14000,config_114/vfpga_c114_0.bin,-0.033691406,0.491577945,0,False,0.710134766,0.710134766
27,it1_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,-0.015136719,0.496215893,0,False,0.700744180,0.700744180
28,it1_S066,ro_8192,1,standalone,8192,config_141/vfpga_c141_0.bin,-0.022949219,0.494262947,0,False,0.704687622,0.704687622
29,it2_S008,ro_16000,1,standalone,16000,config_083/vfpga_c083_0.bin,0.014160156,0.503539980,1,True,0.686092166,0.686092166
30,it2_S009,ro_17000,1,standalone,17000,config_084/vfpga_c084_0.bin,-0.050781250,0.487307415,0,False,0.718860113,0.718860113
31,it2_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,-0.024902344,0.493774736,0,False,0.705675866,0.705675866
32,it2_S023,ro_16000,1,standalone,16000,config_098/vfpga_c098_0.bin,-0.038085938,0.490479666,0,False,0.712371456,0.712371456
33,it2_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,-0.024414062,0.493896788,0,False,0.705428716,0.705428716
34,it2_S031,ro_9000,1,standalone,9000,config_106/vfpga_c106_0.bin,-0.013671875,0.496582084,0,False,0.700006483,0.700006483
35,it2_S032,ro_10000,1,standalone,10000,config_107/vfpga_c107_0.bin,-0.024902344,0.493774736,0,False,0.705675866,0.705675866
36,it2_S033,ro_11000,1,standalone,11000,config_108/vfpga_c108_0.bin,-0.041992188,0.489503495,0,False,0.714363676,0.714363676
37,it2_S041,ro_19000,1,standalone,19000,config_116/vfpga_c116_0.bin,-0.026855469,0.493286536,0,False,0.706665064,0.706665064
38,it2_S046,ro_9000,1,standalone,9000,config_121/vfpga_c121_0.bin,-0.062500000,0.484380084,0,False,0.724885382,0.724885382
39,it2_S053,ro_16000,1,standalone,16000,config_128/vfpga_c128_0.bin,-0.022460938,0.494385002,0,False,0.704440710,0.704440710
40,it2_S056,ro_19000,1,standalone,19000,config_131/vfpga_c131_0.bin,-0.011718750,0.497070346,0,False,0.699023722,0.699023722
