sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.043548584,0.489114574,0,True,0.671609930,0.671609930
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.007202148,0.498199471,0,True,0.689552590,0.689552590
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-0.023620605,0.494095123,0,True,0.681406618,0.681406618
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-0.045959473,0.488512154,0,True,0.670431455,0.670431455
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,0.106750488,0.526662307,1,False,0.747946207,0.747946207
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,0.008087158,0.502021779,1,False,0.697198935,0.697198935
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.043457031,0.489137452,0,True,0.671654711,0.671654711
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.013946533,0.496513423,0,True,0.686198227,0.686198227
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.010101318,0.502525308,1,False,0.698210594,0.698210594
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.041595459,0.489602634,0,True,0.672565708,0.672565708
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.043395996,0.489152703,0,True,0.671684566,0.671684566
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.094390869,0.476419788,0,True,0.647065037,0.647065037
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.007110596,0.498222359,0,True,0.689598203,0.689598203
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.075378418,0.481164313,0,True,0.656168042,0.656168042
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.046813965,0.488298646,0,True,0.670014117,0.670014117
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,0.020507812,0.505126773,1,False,0.703453657,0.703453657
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.032806396,0.491799136,0,True,0.676878509,0.676878509
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,0.020355225,0.505088630,1,False,0.703376584,0.703376584
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.031433105,0.492142371,0,True,0.677554128,0.677554128
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,0.065155029,0.516282997,1,False,0.726255249,0.726255249
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,0.055267334,0.513813318,1,False,0.721162609,0.721162609
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.001159668,0.499710083,0,True,0.692567515,0.692567515
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,0.032928467,0.508231373,1,False,0.709746943,0.709746943
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-0.020660400,0.494835084,0,True,0.682870336,0.682870336
