layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
gap,"(1, 1, 16)",16,0.340362548828125,0.340362548828125,0.010467529296875,0.014237358290846052,0.0341796875,0.03151881096985887,0.9995727859127534,1,auto,auto,
output_dense,"(1,)",1,0.0624847412109375,0.0624847412109375,0.0123291015625,0.0123291015625,0.019805908203125,0.28176701238535995,0.9999999990098487,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool1,"(8, 8, 16)",1024,0.340362548828125,0.340362548828125,0.001007080078125,0.007855140359243687,0.0625,0.016632781559144938,0.9998589003099192,1,auto,auto,
act1,"(16, 16, 16)",4096,0.24057769775390625,0.24057769775390625,0.0009765625,0.0077727604498913595,0.0625,0.021037123707405996,0.9997763976327703,1,"ufixed<6,2,RND_CONV,SAT,0>",,
conv1,"(16, 16, 16)",4096,0.618859052658081,0.618859052658081,0.0016241073608398438,0.004096459569546117,0.029296875,0.005283711502592997,0.9999860292376254,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool0,"(16, 16, 8)",2048,0.47320556640625,0.47320556640625,0.00025177001953125,0.0039616549709503195,0.0625,0.005297756435044331,0.9999859467389857,1,auto,auto,
pad_conv1,"(18, 18, 8)",2592,0.3738908179012346,0.3738908179012346,0.00019892939814814814,0.0035214710852891733,0.0625,0.005297756435044332,0.9999859467389857,1,auto,,
act0,"(32, 32, 8)",8192,0.35073280334472656,0.35073280334472656,0.000171661376953125,0.003273610658796729,0.0625,0.005202755766300797,0.9999864716038049,1,"ufixed<6,2,RND_CONV,SAT,0>",,
conv0,"(32, 32, 8)",8192,0.6463605528749383,0.6463605528749383,0.00035318504953352203,0.00045729723451300966,0.0023638010025024414,0.0005456417469326825,0.9999998841286607,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pad_conv0,"(68, 68, 1)",4624,0.8086301670840003,0.8086301670840003,0.00024930095078224627,0.0004472775458810507,0.000972747802734375,0.0005102496080823423,0.9999999041554913,1,auto,,
