sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-0.050048828,0.487490404,0,True,0.668435844,0.668435844
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.018310547,0.495422491,0,True,0.684033816,0.684033816
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.007934570,0.498016368,0,True,0.689187765,0.689187765
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,0.017089844,0.504272357,1,False,0.701728610,0.701728610
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.006225586,0.498443609,0,True,0.690039232,0.690039232
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,0.081176758,0.520283052,1,False,0.734559042,0.734559042
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.012817383,0.496795698,0,True,0.686759025,0.686759025
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.023193359,0.494201920,0,True,0.681617741,0.681617741
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.016845703,0.504211326,1,False,0.701605504,0.701605504
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.004882812,0.501220701,1,False,0.695591567,0.695591567
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,0.000244141,0.500061035,1,False,0.693269258,0.693269258
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,0.017822266,0.504455448,1,False,0.702098017,0.702098017
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,0.016967773,0.504241842,1,False,0.701667055,0.701667055
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.034301758,0.508574599,1,False,0.710445129,0.710445129
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.010498047,0.502624488,1,False,0.698409980,0.698409980
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.009765625,0.497558613,0,True,0.688276289,0.688276289
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.008056641,0.502014149,1,False,0.697183615,0.697183615
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,0.020263672,0.505065745,1,False,0.703330343,0.703330343
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-0.008544922,0.497863783,0,True,0.688883847,0.688883847
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.027221680,0.493195000,0,True,0.679628965,0.679628965
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,0.066528320,0.516625948,1,False,0.726964491,0.726964491
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-0.014160156,0.496460020,0,True,0.686092166,0.686092166
