sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss,fold
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.062500000,0.515619916,1,False,0.724885382,0.724885382,0
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,0.007812500,0.501953115,1,False,0.697061060,0.697061060,0
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,0.109375000,0.527316523,1,False,0.749329297,0.749329297,0
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,0.125000000,0.531209373,1,False,0.757599035,0.757599035,0
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,0.039062500,0.509764383,1,False,0.712869153,0.712869153,0
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,0.101562500,0.525368822,1,False,0.745217244,0.745217244,0
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,0.109375000,0.527316523,1,False,0.749329297,0.749329297,0
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.179687500,0.544801396,1,False,0.787021462,0.787021462,0
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.132812500,0.533154405,1,False,0.761756707,0.761756707,0
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.054687500,0.513668469,1,False,0.720864724,0.720864724,0
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,0.062500000,0.515619916,1,False,0.724885382,0.724885382,0
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,0.070312500,0.517570887,1,False,0.728921284,0.728921284,0
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,0.046875000,0.511716605,1,False,0.716859314,0.716859314,0
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.007812500,0.501953115,1,False,0.697061060,0.697061060,0
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.039062500,0.509764383,1,False,0.712869153,0.712869153,0
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.164062500,0.540923872,1,False,0.778539227,0.778539227,0
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.140625000,0.535098429,1,False,0.765929570,0.765929570,0
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,0.156250000,0.538983221,1,False,0.774320839,0.774320839,0
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,0.140625000,0.535098429,1,False,0.765929570,0.765929570,0
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.015625000,0.496093829,0,True,0.685365198,0.685365198,0
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,0.187500000,0.546738152,1,False,0.791285290,0.791285290,0
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.156250000,0.538983221,1,False,0.774320839,0.774320839,0
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,0.125000000,0.531209373,1,False,0.757599035,0.757599035,0
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,0.132812500,0.533154405,1,False,0.761756707,0.761756707,0
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,0.101562500,0.525368822,1,True,0.643654744,0.643654744,0
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,0.117187500,0.529263393,1,True,0.636269063,0.636269063,0
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,0.226562500,0.556399579,1,True,0.586268575,0.586268575,0
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,0.125000000,0.531209373,1,True,0.632599035,0.632599035,0
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,0.210937500,0.552539708,1,True,0.593229978,0.593229978,0
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,0.179687500,0.544801396,1,True,0.607333962,0.607333962,0
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,0.140625000,0.535098429,1,True,0.625304570,0.625304570,0
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,0.109375000,0.527316523,1,True,0.639954297,0.639954297,0
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,0.187500000,0.546738152,1,True,0.603785290,0.603785290,0
33,it1_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,0.156250000,0.538983221,1,True,0.618070839,0.618070839,0
34,it2_S013,ro_21000,1,standalone,21000,config_088/vfpga_c088_0.bin,0.117187500,0.529263393,1,True,0.636269063,0.636269063,0
35,it2_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,0.031250000,0.507811864,1,True,0.677644246,0.677644246,0
36,it2_S020,ro_13000,1,standalone,13000,config_095/vfpga_c095_0.bin,0.234375000,0.558326994,1,True,0.582810477,0.582810477,0
37,it2_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,0.179687500,0.544801396,1,True,0.607333962,0.607333962,0
38,it2_S036,ro_14000,1,standalone,14000,config_111/vfpga_c111_0.bin,0.218750000,0.554470465,1,True,0.589741738,0.589741738,0
39,it2_S042,ro_20000,1,standalone,20000,config_117/vfpga_c117_0.bin,0.101562500,0.525368822,1,True,0.643654744,0.643654744,0
40,it2_S045,ro_8000,1,standalone,8000,config_120/vfpga_c120_0.bin,0.125000000,0.531209373,1,True,0.632599035,0.632599035,0
41,it2_S047,ro_10000,1,standalone,10000,config_122/vfpga_c122_0.bin,0.031250000,0.507811864,1,True,0.677644246,0.677644246,0
42,it2_S049,ro_12000,1,standalone,12000,config_124/vfpga_c124_0.bin,0.109375000,0.527316523,1,True,0.639954297,0.639954297,0
43,it2_S050,ro_13000,1,standalone,13000,config_125/vfpga_c125_0.bin,0.085937500,0.521471162,1,True,0.651101303,0.651101303,0
44,it2_S051,ro_14000,1,standalone,14000,config_126/vfpga_c126_0.bin,0.164062500,0.540923872,1,True,0.614476727,0.614476727,0
