epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_ece,val_roc_auc,val_pr_auc,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,val_benign_mean_score,val_standalone_mean_score,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_roc_auc,aug_val_pr_auc,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1,aug_val_benign_mean_score,aug_val_standalone_mean_score
1,0.7103851437568665,0.7081561914645231,0.708156194119821,0.873733853762153,0.542578534477489,0.25739136183899464,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.0819212794303894,0.44097222222222227,0.4644888509372093,0.5860491394996643,0.5208333333333334,0.41025641025641024,0.5825547575950623,0.5812878012657166,0.7089210201820514,0.7089210285376497,0.8764909476485775,0.5413511094267219,0.2577623109573632,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.0828508734703064,0.4079861111111111,0.4753467089217772,0.5746334791183472,0.5208333333333334,0.6666666666666666,0.5837011337280273,0.5820004940032959
2,0.701008141040802,0.69615443265578,0.6961544338588282,0.7495155081534041,0.6427933595642524,0.25149910297930433,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.026602089405059814,0.4270833333333333,0.4602625091111934,0.5214711427688599,0.5625,0.6557377049180327,0.5273516774177551,0.5258524417877197,0.6958335043420251,0.6958335093557148,0.7500266507651991,0.6416403679462305,0.25133921227464956,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.027027904987335205,0.46267361111111116,0.46459976735607267,0.5253688097000122,0.5208333333333334,0.5490196078431373,0.5275951027870178,0.5264608263969421
3,0.6927019357681274,0.6926258096560328,0.6926258016739784,0.7252396437521463,0.6600119595958104,0.24973921681996858,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.016308248043060303,0.5416666666666667,0.5332217370954951,0.5156199336051941,0.5833333333333334,0.6153846153846154,0.5157387256622314,0.5168777108192444,0.6938057299333235,0.6938057275574078,0.7282416256491094,0.6593698294657063,0.25032854982894864,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.01720285415649414,0.509548611111111,0.49458391823975745,0.5156199336051941,0.5625,0.631578947368421,0.5172023773193359,0.5172032713890076
4,0.6933843493461609,0.6926544374282955,0.6926544330706516,0.7177946293575391,0.667514236783764,0.2497534573190654,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.012568473815917969,0.5364583333333333,0.538419268739782,0.5058591365814209,0.5833333333333334,0.6875,0.5121208429336548,0.5130160450935364,0.6941286593387835,0.6941286540382642,0.7200415562215717,0.6682157518549569,0.2504898897272723,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.012934625148773193,0.4652777777777778,0.46970484217337766,0.5068355202674866,0.5833333333333334,0.6875,0.5132187008857727,0.5126505494117737
5,0.6947571039199829,0.6923496077165595,0.6923496083170263,0.7207361210548112,0.6639630955792414,0.24960096709067328,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.014194190502166748,0.5590277777777778,0.5275325538541524,0.5156199336051941,0.5625,0.5333333333333333,0.5135430693626404,0.5148452520370483,0.6948840217181349,0.6948840217758606,0.7266662041797739,0.6631018393719471,0.2508670137365445,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.01586073637008667,0.47048611111111105,0.4935221545735783,0.5204963088035583,0.5416666666666666,0.42105263157894735,0.5164291858673096,0.5152921676635742
6,0.6943110227584839,0.6925520808906641,0.6925520820525469,0.7111532908551531,0.6739508732499405,0.2497021033671117,0.5416666666666666,0.5416666666666667,0.5227272727272727,0.9583333333333334,0.6764705882352942,0.15075567228888181,0.031964726746082306,0.5520833333333333,0.5225313652396986,0.5087881684303284,0.6041666666666666,0.6122448979591837,0.5088674426078796,0.5097225308418274,0.6930635881636791,0.693063586162244,0.7141476412720005,0.6719795310524873,0.24995776710393156,0.5208333333333334,0.5208333333333333,0.5116279069767442,0.9166666666666666,0.6567164179104478,0.06819943394704735,0.010535136486093203,0.5355902777777778,0.5129869665404501,0.5097643733024597,0.6041666666666666,0.6415094339622641,0.5103313326835632,0.5107389092445374
7,0.6949966549873352,0.692305224280973,0.6923052221766904,0.7205663689119021,0.6640440754414788,0.24957885184705342,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.014133214950561523,0.5607638888888888,0.5357505747196063,0.5156199336051941,0.5625,0.5333333333333333,0.5134618878364563,0.5148045420646667,0.6948444042486696,0.694844403361175,0.7266662041797739,0.663022602542576,0.25084721830068196,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.015881001949310303,0.47482638888888884,0.49626101951610707,0.5204963088035583,0.5416666666666666,0.42105263157894735,0.5164291858673096,0.5153327584266663
8,0.6959075331687927,0.6919766901118082,0.6919766890683348,0.7007643146110377,0.6831890635256318,0.24941476148502476,0.5208333333333334,0.5208333333333334,0.5142857142857142,0.75,0.6101694915254238,0.04688072309384954,0.013998408491412798,0.5720486111111112,0.5548512033978286,0.5068355202674866,0.625,0.5909090909090909,0.5037426352500916,0.5050446391105652,0.6948380221728437,0.6948380209999602,0.7061694086485822,0.6835066333513381,0.25084494280094,0.4166666666666667,0.4166666666666667,0.45,0.75,0.5625,-0.22360679774997896,0.09024932980537415,0.46614583333333337,0.49110388136896405,0.5068355202674866,0.5416666666666666,0.5,0.5064272880554199,0.5048819184303284
9,0.695674479007721,0.6919766901118082,0.6919766890683348,0.7007643146110377,0.6831890635256318,0.24941476148502476,0.5208333333333334,0.5208333333333334,0.5142857142857142,0.75,0.6101694915254238,0.04688072309384954,0.013998408491412798,0.5720486111111112,0.5548512033978286,0.5068355202674866,0.625,0.5909090909090909,0.5037426352500916,0.5050446391105652,0.6947975307491842,0.6947975310688413,0.7061694086485822,0.6834256534891008,0.25082469832441884,0.4166666666666667,0.4166666666666667,0.45,0.75,0.5625,-0.22360679774997896,0.0902696947256724,0.4696180555555556,0.4928259982226598,0.5068355202674866,0.5416666666666666,0.5,0.5064272880554199,0.50492262840271
10,0.6933514475822449,0.6924119257165744,0.6924119257510556,0.7004372153569923,0.6843866361451184,0.24963224955819707,0.5416666666666666,0.5416666666666666,0.5294117647058824,0.75,0.6206896551724138,0.09166984970282113,0.03513678784171741,0.5659722222222221,0.5388205130246259,0.5048826336860657,0.625,0.64,0.50357985496521,0.5044345855712891,0.6943750544382429,0.6943750563847729,0.7046901061807676,0.6840600065887785,0.25061343310470496,0.5208333333333334,0.5208333333333334,0.5128205128205128,0.8333333333333334,0.6349206349206349,0.05337605126836238,0.014547958970069885,0.48784722222222227,0.49379440423323395,0.5068355202674866,0.5416666666666666,0.45,0.5056949257850647,0.5045972466468811
