sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-0.027343750,0.493164488,0,True,0.679568763,0.679568763
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-0.019531250,0.495117343,0,True,0.683429239,0.683429239
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-0.226562500,0.443600421,0,True,0.586268575,0.586268575
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,0.039062500,0.509764383,1,False,0.712869153,0.712869153
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.175781250,0.456167495,0,True,0.609113974,0.609113974
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,0.070312500,0.517570887,1,False,0.728921284,0.728921284
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-0.207031250,0.448426269,0,True,0.594979757,0.594979757
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-0.183593750,0.454230053,0,True,0.605557735,0.605557735
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,0.058593750,0.514644248,1,False,0.722873148,0.722873148
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.058593750,0.485355752,0,True,0.664279398,0.664279398
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,0.050781250,0.512692585,1,False,0.718860113,0.718860113
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.117187500,0.470736607,0,True,0.636269063,0.636269063
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,0.074218750,0.518546175,1,False,0.730944950,0.730944950
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.007812500,0.498046885,0,True,0.689248560,0.689248560
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.089843750,0.477554159,0,True,0.649233954,0.649233954
