sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-0.252426147,0.437226432,0,True,0.574877920,0.574877920
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,0.050994873,0.512745956,1,False,0.718969642,0.718969642
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-0.517440796,0.373450856,0,True,0.467528065,0.467528065
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,0.000411987,0.500102997,1,False,0.693353195,0.693353195
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.542358398,0.367639129,0,True,0.458295050,0.458295050
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,0.116455078,0.529080911,1,False,0.753068986,0.753068986
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-0.988693237,0.271170265,0,True,0.316315134,0.316315134
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-0.518569946,0.373186689,0,True,0.467106532,0.467106532
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,0.024291992,0.506072699,1,False,0.705366937,0.705366937
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.679916382,0.336279966,0,True,0.409894853,0.409894853
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-0.196517944,0.451028018,0,True,0.599707873,0.599707873
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.280975342,0.430214674,0,True,0.562495611,0.562495611
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.341583252,0.415424938,0,True,0.536870085,0.536870085
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.053298950,0.486678416,0,True,0.666852761,0.666852761
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.068679810,0.482836794,0,True,0.659396774,0.659396774
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.470230103,0.384561783,0,True,0.485420717,0.485420717
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.129425049,0.467688828,0,True,0.630527052,0.630527052
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-0.205276489,0.448860331,0,True,0.595767018,0.595767018
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,-0.424224854,0.395506223,0,True,0.503363904,0.503363904
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,-0.162933350,0.459356537,0,True,0.614995251,0.614995251
