layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
gap,"(1, 1, 24)",24,0.3072916666666667,0.3072916666666667,0.11197916666666667,0.15053809708263544,0.375,0.3819516237479134,0.9317902735938269,1,auto,auto,
output_dense,"(1,)",1,0.109375,0.109375,0.09375,0.09375,0.125,31250000000.47222,0.49999999996622224,1,auto,auto,"fixed<4,1,TRN,WRAP,0>"
pool3,"(2, 2, 24)",96,0.3072916666666667,0.3072916666666667,0.009114583333333334,0.047612605066071054,0.5,0.10951297260897451,0.9881232469515695,1,auto,auto,
act3,"(4, 4, 24)",384,0.15559895833333334,0.15559895833333334,0.007486979166666667,0.04325343692415243,0.5,0.14237719410407268,0.9795715236494098,1,"ufixed<4,3,RND_CONV,SAT,0>",,
pool2,"(4, 4, 24)",384,0.19498697916666666,0.19498697916666666,0.0016276041666666667,0.020069641412127706,0.5,0.05857200981820569,0.9965265058385233,1,auto,auto,
conv3,"(4, 4, 24)",384,0.2707926432291667,0.2707926432291667,0.0087890625,0.018964918673056982,0.1875,0.0558391339984287,0.9968678901479912,1,auto,auto,"fixed<4,1,TRN,WRAP,0>"
act2,"(8, 8, 24)",1536,0.09806315104166667,0.09806315104166667,0.0008951822916666666,0.014944304134181852,0.5,0.06350665156954413,0.995959740279144,1,"ufixed<4,3,RND_CONV,SAT,0>",,
pad_conv3,"(6, 6, 24)",864,0.08666087962962964,0.08666087962962964,0.0007233796296296296,0.013379760941418472,0.5,0.058572009818205685,0.9965265058385233,1,auto,,
act0,"(32, 32, 8)",8192,0.2303009033203125,0.2303009033203125,0.00014495849609375,0.005997672619530525,0.25,0.014465480551874656,0.9998946139656271,1,"ufixed<4,2,RND_CONV,SAT,0>",,
act1,"(16, 16, 16)",4096,0.1713409423828125,0.1713409423828125,0.000274658203125,0.005850297641518135,0.25,0.01820164439109353,0.9996676373255319,1,"ufixed<4,2,RND_CONV,SAT,0>",,
conv2,"(8, 8, 24)",1536,0.2507476806640625,0.2507476806640625,0.0014190673828125,0.005033651021686725,0.0625,0.01602904330834344,0.999740391252419,1,auto,auto,"fixed<4,1,TRN,WRAP,0>"
pool1,"(8, 8, 16)",1024,0.23907470703125,0.23907470703125,0.00018310546875,0.004715260864009951,0.25,0.011792924412005275,0.9998571607014588,1,auto,auto,
pad_conv2,"(10, 10, 16)",1600,0.1530078125,0.1530078125,0.0001171875,0.003772208691207961,0.25,0.011792924412005275,0.9998571607014588,1,auto,,
conv1,"(16, 16, 16)",4096,0.5178184509277344,0.5178184509277344,0.0006561279296875,0.003499625529499068,0.0625,0.005436354885017121,0.9999688396114637,1,auto,auto,"fixed<4,1,TRN,WRAP,0>"
pool0,"(16, 16, 8)",2048,0.331817626953125,0.331817626953125,9.1552734375e-05,0.0033341929320049755,0.25,0.006332688865087388,0.9999587077846361,1,auto,auto,
pad_conv1,"(18, 18, 8)",2592,0.26217689043209874,0.26217689043209874,7.233796296296296e-05,0.002963727050671089,0.25,0.006332688865087388,0.9999587077846361,1,auto,,
pad_conv0,"(68, 68, 1)",4624,0.8086301670840003,0.8086301670840003,0.00024930095078224627,0.0004472775458810507,0.000972747802734375,0.0005102496080823423,0.9999999041554913,1,auto,,
conv0,"(32, 32, 8)",8192,0.6160098540196799,0.6160098540196799,0.0003413736333044426,0.00043708123536560187,0.0019502639770507812,0.0005926872715373694,0.9999998524681655,1,auto,auto,"fixed<4,1,TRN,WRAP,0>"
