idx,label,keras_logit,hls_logit,abs_err,rel_err
0,0,-0.109375,0.0,0.109375,1.0
1,0,-0.1875,-0.25,0.0625,0.3333333333333333
2,0,0.140625,0.0625,0.078125,0.5555555555555556
3,0,0.0,-0.125,0.125,125000.0
4,0,0.046875,-0.0625,0.109375,2.3333333333333335
5,0,0.0,0.125,0.125,125000.0
6,0,0.046875,0.0,0.046875,1.0
7,0,0.046875,0.375,0.328125,7.0
8,0,-0.140625,-0.25,0.109375,0.7777777777777778
9,0,-0.03125,0.0,0.03125,1.0
10,0,-0.03125,0.0,0.03125,1.0
11,0,0.0,0.0625,0.0625,62500.0
12,0,-0.015625,-0.125,0.109375,7.0
13,0,-0.078125,0.0625,0.140625,1.8
14,0,-0.171875,0.0625,0.234375,1.3636363636363635
15,0,0.078125,-0.125,0.203125,2.6
16,0,0.03125,-0.0625,0.09375,3.0
17,0,0.15625,0.1875,0.03125,0.2
18,0,-0.046875,0.3125,0.359375,7.666666666666667
19,0,0.25,0.1875,0.0625,0.25
20,0,0.078125,0.375,0.296875,3.8
21,0,-0.015625,0.25,0.265625,17.0
22,0,-0.046875,0.125,0.171875,3.6666666666666665
23,0,-0.15625,0.125,0.28125,1.8
24,1,0.15625,0.25,0.09375,0.6
25,1,0.046875,0.25,0.203125,4.333333333333333
26,1,0.125,0.1875,0.0625,0.5
27,1,-0.125,-0.125,0.0,0.0
28,1,-0.015625,0.0625,0.078125,5.0
29,1,-0.0625,-0.1875,0.125,2.0
30,1,0.140625,-0.0625,0.203125,1.4444444444444444
31,1,0.015625,-0.125,0.140625,9.0
32,1,0.03125,-0.0625,0.09375,3.0
33,1,-0.109375,-0.1875,0.078125,0.7142857142857143
34,1,0.109375,0.1875,0.078125,0.7142857142857143
35,1,0.078125,0.0,0.078125,1.0
36,1,-0.09375,0.0625,0.15625,1.6666666666666667
37,1,0.171875,0.0625,0.109375,0.6363636363636364
38,1,0.1875,0.0625,0.125,0.6666666666666666
39,1,-0.0625,0.0,0.0625,1.0
40,1,-0.109375,0.0,0.109375,1.0
41,1,0.03125,-0.125,0.15625,5.0
42,1,0.109375,0.0625,0.046875,0.42857142857142855
43,1,0.078125,0.0,0.078125,1.0
44,1,0.34375,0.375,0.03125,0.09090909090909091
45,1,0.09375,0.375,0.28125,3.0
46,1,0.09375,0.125,0.03125,0.3333333333333333
47,1,0.09375,0.0,0.09375,1.0
