sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-0.373535156,0.407687080,0,True,0.523720203,0.523720203
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.442871094,0.391057058,0,True,0.496030707,0.496030707
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.154785156,0.461380785,0,True,0.618746423,0.618746423
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-0.011230469,0.497192412,0,True,0.687547712,0.687547712
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.115722656,0.471101579,0,True,0.636958886,0.636958886
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,0.116699219,0.529141739,1,False,0.753198163,0.753198163
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.259277344,0.435541361,0,True,0.571888169,0.571888169
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.283203125,0.429668663,0,True,0.561537794,0.561537794
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-0.102050781,0.474509423,0,True,0.643423021,0.643423021
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-0.172851562,0.456894381,0,True,0.610451467,0.610451467
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.126464844,0.468425859,0,True,0.631912597,0.631912597
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.088867188,0.477797813,0,True,0.649700434,0.649700434
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-0.137695312,0.465630459,0,True,0.626667654,0.626667654
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.005371094,0.501342770,1,False,0.695836334,0.695836334
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-0.085937500,0.478528838,0,True,0.651101303,0.651101303
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.056640625,0.485843628,0,True,0.665227835,0.665227835
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.076171875,0.519033767,1,False,0.731958212,0.731958212
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,0.205566406,0.551211389,1,False,0.801203303,0.801203303
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-0.213867188,0.446736069,0,True,0.591920120,0.591920120
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.306152344,0.424054185,0,True,0.551741694,0.551741694
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,0.430175781,0.605915643,1,False,0.931190287,0.931190287
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-0.041503906,0.489625513,0,True,0.672610534,0.672610534
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-0.136230469,0.465994957,0,True,0.627349997,0.627349997
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.248535156,0.438184080,0,True,0.576581027,0.576581027
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,0.290527344,0.572125231,1,True,0.558397377,0.558397377
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,-0.276367188,0.431344633,0,False,0.840847897,0.840847897
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,0.461425781,0.613352357,1,True,0.488815701,0.488815701
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,0.080078125,0.520008840,1,True,0.653909467,0.653909467
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,0.149414062,0.537284179,1,True,0.621228128,0.621228128
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,0.095214844,0.523785744,1,True,0.646672564,0.646672564
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,-0.087402344,0.478163313,0,False,0.737802945,0.737802945
