layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
conv4,"(2, 2, 32)",128,5.13232421875,5.13232421875,0.0615234375,0.07674563556401758,0.75,0.012731695160253208,0.9996768383221938,1,auto,auto,"fixed<3,1,TRN,WRAP,0>"
conv3,"(4, 4, 24)",384,3.9139811197916665,3.9139811197916665,0.029215494791666668,0.04293914699958633,0.625,0.00885067665191649,0.9998476285394191,1,auto,auto,"fixed<3,1,TRN,WRAP,0>"
act4,"(2, 2, 32)",128,1.5458984375,1.5458984375,0.013671875,0.04133986423538423,0.5,0.01829579286954586,0.9993368938758442,1,"ufixed<3,2,RND_CONV,SAT,0>",,
pool4,"(1, 1, 32)",32,2.703125,2.703125,0.01171875,0.038273277230987154,0.5,0.012578865135665689,0.999689140964088,1,auto,auto,
gap,"(1, 1, 32)",32,2.703125,2.703125,0.01171875,0.038273277230987154,0.5,0.012578865135665689,0.999689140964088,1,auto,auto,
act3,"(4, 4, 24)",384,1.2268880208333333,1.2268880208333333,0.006510416666666667,0.028527216536727403,0.5,0.014485757362281942,0.9995805685304888,1,"ufixed<3,2,RND_CONV,SAT,0>",,
pool3,"(2, 2, 24)",96,1.8971354166666667,1.8971354166666667,0.005208333333333333,0.02551551815399144,0.5,0.010301070542879116,0.9997876857366468,1,auto,auto,
act2,"(8, 8, 24)",1536,0.5958658854166666,0.5958658854166666,0.0011393229166666667,0.015559092434083757,0.5,0.015434278296606686,0.9997215356591445,1,"ufixed<3,2,RND_CONV,SAT,0>",,
pad_conv4,"(4, 4, 24)",384,0.4742838541666667,0.4742838541666667,0.0013020833333333333,0.01275775907699572,0.5,0.010301070542879116,0.9997876857366468,1,auto,,
conv2,"(8, 8, 24)",1536,1.1006673177083333,1.1006673177083333,0.0025227864583333335,0.012576643323839754,0.25,0.00916625803902612,0.999908706231125,1,auto,auto,"fixed<3,1,TRN,WRAP,0>"
pool2,"(4, 4, 24)",384,0.8697916666666666,0.8697916666666666,0.0009765625,0.011048543456039806,0.5,0.008411582311380665,0.9998593195751111,1,auto,auto,
act1,"(16, 16, 16)",4096,0.35223388671875,0.35223388671875,0.0003662109375,0.009568319307746789,0.5,0.014591508541473279,0.9997872423737983,1,"ufixed<3,2,RND_CONV,SAT,0>",,
pool1,"(8, 8, 16)",1024,0.4603271484375,0.4603271484375,0.0003662109375,0.009430521728019902,0.5,0.0119369268352989,0.9998536209711069,1,auto,auto,
act0,"(32, 32, 8)",8192,0.27093505859375,0.27093505859375,0.0001373291015625,0.00811835258587837,0.5,0.015544251525334715,0.9998740558623254,1,"ufixed<3,2,RND_CONV,SAT,0>",,
conv1,"(16, 16, 16)",4096,0.9186325073242188,0.9186325073242188,0.00096893310546875,0.0077228504138628406,0.125,0.006966301907940802,0.9999508258875722,1,auto,auto,"fixed<3,1,TRN,WRAP,0>"
pad_conv2,"(10, 10, 16)",1600,0.294609375,0.294609375,0.000234375,0.007544417382415922,0.5,0.011936926835298897,0.9998536209711069,1,auto,,
pad_conv3,"(6, 6, 24)",864,0.38657407407407407,0.38657407407407407,0.00043402777777777775,0.00736569563735987,0.5,0.008411582311380663,0.9998593195751111,1,auto,,
pool0,"(16, 16, 8)",2048,0.3646240234375,0.3646240234375,0.0001220703125,0.005524271728019903,0.5,0.008596571528246251,0.9999261921812186,1,auto,auto,
pad_conv1,"(18, 18, 8)",2592,0.2880979938271605,0.2880979938271605,9.645061728395061e-05,0.004910463758239913,0.5,0.00859657152824625,0.9999261921812186,1,auto,,
conv0,"(32, 32, 8)",8192,0.8580102109562517,0.8580102109562517,0.00038020961909523976,0.0004869062560404062,0.002091050148010254,0.0004976707582939002,0.9999999116523546,1,auto,auto,"fixed<3,1,TRN,WRAP,0>"
pad_conv0,"(68, 68, 1)",4624,0.8086301670840003,0.8086301670840003,0.00024930095078224627,0.0004472775458810507,0.000972747802734375,0.0005102496080823423,0.9999999041554913,1,auto,,
output_dense,"(1,)",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,auto,auto,"fixed<3,1,TRN,WRAP,0>"
