sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.125000000,0.468790627,0,True,0.632599035,0.632599035
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.031250000,0.492188136,0,True,0.677644246,0.677644246
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,0.390625000,0.596433146,1,False,0.907413120,0.907413120
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,-0.140625000,0.464901571,0,True,0.625304570,0.625304570
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.687500000,0.665410559,1,False,1.094851047,1.094851047
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,0.031250000,0.507811864,1,False,0.708894246,0.708894246
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.453125000,0.388618027,0,True,0.492033354,0.492033354
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,0.140625000,0.535098429,1,False,0.765929570,0.765929570
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.500000000,0.622459331,1,False,0.974076984,0.974076984
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,0.218750000,0.554470465,1,False,0.808491738,0.808491738
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,0.203125000,0.550607366,1,False,0.799858309,0.799858309
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,0.234375000,0.558326994,1,False,0.817185477,0.817185477
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-0.125000000,0.468790627,0,True,0.632599035,0.632599035
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.187500000,0.453261848,0,True,0.603785290,0.603785290
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,0.250000000,0.562176501,1,False,0.825939420,0.825939420
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,0.171875000,0.542863283,1,False,0.782772771,0.782772771
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,0.359375000,0.588889131,1,False,0.888892346,0.888892346
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-0.015625000,0.496093829,0,True,0.685365198,0.685365198
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,0.250000000,0.562176501,1,False,0.825939420,0.825939420
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,0.093750000,0.523420349,1,False,0.741120411,0.741120411
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,0.015625000,0.503906171,1,False,0.700990198,0.700990198
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,0.500000000,0.622459331,1,False,0.974076984,0.974076984
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,1.546875000,0.824461926,1,False,1.739899316,1.739899316
23,it2_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,1.046875000,0.740174362,1,False,1.347744496,1.347744496
24,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,0.890625000,0.709019134,1,True,0.343872766,0.343872766
25,it1_S026,ro_18000,1,standalone,18000,config_101/vfpga_c101_0.bin,0.000000000,0.500000000,1,True,0.693147181,0.693147181
26,it1_S039,ro_14000,1,standalone,14000,config_114/vfpga_c114_0.bin,1.562500000,0.826711794,1,True,0.190299140,0.190299140
27,it1_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,0.609375000,0.647798218,1,True,0.434176023,0.434176023
28,it1_S066,ro_8192,1,standalone,8192,config_141/vfpga_c141_0.bin,0.140625000,0.535098429,1,True,0.625304570,0.625304570
29,it2_S008,ro_16000,1,standalone,16000,config_083/vfpga_c083_0.bin,1.625000000,0.835483537,1,True,0.179744635,0.179744635
30,it2_S009,ro_17000,1,standalone,17000,config_084/vfpga_c084_0.bin,1.640625000,0.837619963,1,True,0.177190786,0.177190786
31,it2_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,1.281250000,0.782662479,1,True,0.245053737,0.245053737
32,it2_S023,ro_16000,1,standalone,16000,config_098/vfpga_c098_0.bin,1.750000000,0.851952802,1,True,0.160224150,0.160224150
33,it2_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,1.437500000,0.808067214,1,True,0.213110039,0.213110039
34,it2_S031,ro_9000,1,standalone,9000,config_106/vfpga_c106_0.bin,0.390625000,0.596433146,1,True,0.516788120,0.516788120
35,it2_S032,ro_10000,1,standalone,10000,config_107/vfpga_c107_0.bin,1.250000000,0.777299861,1,True,0.251929081,0.251929081
36,it2_S033,ro_11000,1,standalone,11000,config_108/vfpga_c108_0.bin,0.375000000,0.592666600,1,True,0.523123264,0.523123264
37,it2_S041,ro_19000,1,standalone,19000,config_116/vfpga_c116_0.bin,0.656250000,0.658417501,1,True,0.417916050,0.417916050
38,it2_S046,ro_9000,1,standalone,9000,config_121/vfpga_c121_0.bin,0.250000000,0.562176501,1,True,0.575939420,0.575939420
39,it2_S053,ro_16000,1,standalone,16000,config_128/vfpga_c128_0.bin,0.437500000,0.607663170,1,True,0.498134548,0.498134548
40,it2_S056,ro_19000,1,standalone,19000,config_131/vfpga_c131_0.bin,0.671875000,0.661922876,1,True,0.412606232,0.412606232
41,it2_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,0.421875000,0.603931834,1,True,0.504293945,0.504293945
42,it2_S061,ro_9000,1,standalone,9000,config_136/vfpga_c136_0.bin,0.109375000,0.527316523,1,True,0.639954297,0.639954297
43,it2_S065,ro_13000,1,standalone,13000,config_140/vfpga_c140_0.bin,0.765625000,0.682573734,1,True,0.381884722,0.381884722
44,it2_S066,ro_14000,1,standalone,14000,config_141/vfpga_c141_0.bin,0.375000000,0.592666600,1,True,0.523123264,0.523123264
45,it2_S067,ro_15000,1,standalone,15000,config_142/vfpga_c142_0.bin,0.843750000,0.699254421,1,True,0.357740624,0.357740624
46,it2_S072,ro_20000,1,standalone,20000,config_147/vfpga_c147_0.bin,1.406250000,0.803173796,1,True,0.219184155,0.219184155
47,it2_S073,ro_21000,1,standalone,21000,config_148/vfpga_c148_0.bin,0.093750000,0.523420349,1,True,0.647370411,0.647370411
