sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,1.576171875,0.828661679,1,False,1.764115190,1.764115190
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.877929688,0.293606982,0,True,0.347583514,0.347583514
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-1.638671875,0.162645862,0,True,0.177508194,0.177508194
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,0.629882812,0.652462890,1,False,1.056883828,1.056883828
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,1.227539062,0.773387562,1,False,1.484514044,1.484514044
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,1.198242188,0.768211931,1,False,1.461931820,1.461931820
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,0.064453125,0.516107705,1,False,0.725892929,0.725892929
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,0.241210938,0.560012044,1,False,0.821007926,0.821007926
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.101562500,0.525368822,1,False,0.745217244,0.745217244
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-2.090820312,0.109992245,0,True,0.116525103,0.116525103
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,0.604492188,0.646683374,1,False,1.040390667,1.040390667
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.082031250,0.479503680,0,True,0.652972461,0.652972461
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.240234375,0.440228594,0,True,0.580226781,0.580226781
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-1.182617188,0.234581945,0,True,0.267333118,0.267333118
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,0.318359375,0.578924367,1,False,0.864942811,0.864942811
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,0.904296875,0.711831711,1,False,1.244210632,1.244210632
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.311523438,0.422742929,0,True,0.549467581,0.549467581
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.110351562,0.472440071,0,True,0.639492811,0.639492811
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.860351562,0.702734101,1,False,1.213128257,1.213128257
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,0.112304688,0.528046700,1,False,0.750875239,0.750875239
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.341796875,0.415373061,0,True,0.536781346,0.536781346
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,1.875000000,0.867035760,1,False,2.017675058,2.017675058
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,1.474609375,0.813756978,1,False,1.680702886,1.680702886
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,0.416015625,0.602529432,1,False,0.922634390,0.922634390
