run_order,sample_index,sample_id,hls_logit
0,21,it2_B053,-2.815429688
1,44,it2_S051,1.331054688
2,13,it2_B002,-0.928710938
3,47,it2_S071,-0.150390625
4,12,it1_B072,-3.655273438
5,22,it2_B064,-2.939453125
6,27,it1_S036,-0.159179688
7,16,it2_B006,-2.174804688
8,26,it1_S027,1.004882812
9,19,it2_B051,-1.720703125
10,25,it1_S009,-0.108398438
11,9,it1_B053,-2.561523438
12,10,it1_B062,-0.865234375
13,4,it1_B019,-1.997070312
14,30,it1_S055,0.842773438
15,20,it2_B052,-1.899414062
16,6,it1_B030,-1.783203125
17,28,it1_S037,0.624023438
18,40,it2_S045,-2.029296875
19,18,it2_B048,-1.584960938
20,11,it1_B066,-1.254882812
21,14,it2_B003,-2.658203125
22,29,it1_S040,2.21875
23,39,it2_S042,1.615234375
24,43,it2_S050,0.1171875
25,34,it2_S013,2.490234375
26,5,it1_B029,-1.991210938
27,17,it2_B009,-2.196289062
28,2,it1_B011,-2.744140625
29,46,it2_S068,1.98046875
30,24,it1_S008,-0.555664062
31,42,it2_S049,-0.944335938
32,15,it2_B005,-2.416015625
33,1,it1_B008,-2.028320312
34,32,it1_S069,-0.206054688
35,45,it2_S064,-1.299804688
36,38,it2_S036,0.084960938
37,35,it2_S015,-0.41796875
38,36,it2_S020,-0.4453125
39,8,it1_B044,-2.842773438
40,3,it1_B013,-1.295898438
41,0,it1_B003,-2.404296875
42,41,it2_S047,0.046875
43,31,it1_S057,1.049804688
44,7,it1_B035,-0.403320312
45,23,it2_B070,-1.573242188
46,33,it1_S074,2.293945312
47,37,it2_S030,-1.666992188
