sample_index,magic,frame_counter,input_beats,tlast_count,first_tlast_beat,last_tlast_beat,early_tlast,missing_tlast,keep_error_count,full_sum_raw,weighted_sum_raw,first_lane0_raw,last_lane0_raw,delay_acc_raw,latency_us
0,18481,0,2048,1,2047,2047,0,0,0,62179,35286,0,1024,0,1068.91
1,18481,1,2048,1,2047,2047,0,0,0,50724,38676,0,895,0,1065.22
2,18481,2,2048,1,2047,2047,0,0,0,4960,43642,0,1024,0,1065.07
3,18481,3,2048,1,2047,2047,0,0,0,54604,59430,0,1024,0,1064.85
4,18481,4,2048,1,2047,2047,0,0,0,56699,5949,0,1024,0,1064.85
5,18481,5,2048,1,2047,2047,0,0,0,19121,20446,0,1024,0,1065.12
6,18481,6,2048,1,2047,2047,0,0,0,17470,3454,0,1024,0,1064.92
7,18481,7,2048,1,2047,2047,0,0,0,20821,33814,0,1024,0,1067.13
8,18481,8,2048,1,2047,2047,0,0,0,59751,28730,0,1024,0,1071.48
9,18481,9,2048,1,2047,2047,0,0,0,28418,23750,0,1024,0,1074.16
10,18481,10,2048,1,2047,2047,0,0,0,6615,195,0,971,0,1091.44
11,18481,11,2048,1,2047,2047,0,0,0,13129,46848,0,1024,0,1065.01
12,18481,12,2048,1,2047,2047,0,0,0,20425,6345,0,895,0,1091.21
13,18481,13,2048,1,2047,2047,0,0,0,57511,34895,0,1024,0,1097.76
14,18481,14,2048,1,2047,2047,0,0,0,27042,17153,0,1024,0,1065.81
15,18481,15,2048,1,2047,2047,0,0,0,46870,55366,0,1024,0,1064.31
16,18481,16,2048,1,2047,2047,0,0,0,20383,20031,0,1024,0,1091.33
17,18481,17,2048,1,2047,2047,0,0,0,49738,49538,0,1024,0,1057.79
18,18481,18,2048,1,2047,2047,0,0,0,7397,34834,0,1024,0,1069.99
19,18481,19,2048,1,2047,2047,0,0,0,2450,15095,0,1024,0,1066.36
20,18481,20,2048,1,2047,2047,0,0,0,52470,63045,0,895,0,1064.32
21,18481,21,2048,1,2047,2047,0,0,0,30364,16260,0,1024,0,1099.36
22,18481,22,2048,1,2047,2047,0,0,0,42916,7361,0,1024,0,1066.34
23,18481,23,2048,1,2047,2047,0,0,0,14667,49655,0,1024,0,1092.17
24,18481,24,2048,1,2047,2047,0,0,0,36474,21957,0,1024,0,1070.49
25,18481,25,2048,1,2047,2047,0,0,0,52337,7218,0,1024,0,1064.92
26,18481,26,2048,1,2047,2047,0,0,0,28868,52880,0,1024,0,1064.41
27,18481,27,2048,1,2047,2047,0,0,0,60156,29362,0,1024,0,1064.96
28,18481,28,2048,1,2047,2047,0,0,0,41702,38976,0,1024,0,1070.48
29,18481,29,2048,1,2047,2047,0,0,0,57212,30389,0,1024,0,1065.34
30,18481,30,2048,1,2047,2047,0,0,0,16130,38087,0,1024,0,1077.34
31,18481,31,2048,1,2047,2047,0,0,0,18134,28798,0,899,0,1064.49
32,18481,32,2048,1,2047,2047,0,0,0,41122,53956,0,1024,0,1064.25
33,18481,33,2048,1,2047,2047,0,0,0,38298,21777,0,1024,0,1064.86
34,18481,34,2048,1,2047,2047,0,0,0,5051,36471,0,1024,0,1064.49
35,18481,35,2048,1,2047,2047,0,0,0,3261,2129,0,1024,0,1064.27
36,18481,36,2048,1,2047,2047,0,0,0,24306,59792,0,1024,0,1064.94
37,18481,37,2048,1,2047,2047,0,0,0,65111,2260,0,1024,0,1070.57
38,18481,38,2048,1,2047,2047,0,0,0,5246,30483,0,1024,0,1064.46
39,18481,39,2048,1,2047,2047,0,0,0,18488,18377,0,1024,0,1064.59
40,18481,40,2048,1,2047,2047,0,0,0,43932,52544,0,1024,0,1064.96
41,18481,41,2048,1,2047,2047,0,0,0,3042,16079,0,1024,0,1070.81
42,18481,42,2048,1,2047,2047,0,0,0,39359,38659,0,1024,0,1065.08
43,18481,43,2048,1,2047,2047,0,0,0,29535,24751,0,895,0,1073.01
44,18481,44,2048,1,2047,2047,0,0,0,12485,36959,0,1024,0,1072.57
45,18481,45,2048,1,2047,2047,0,0,0,32651,62463,0,1024,0,1090.79
46,18481,46,2048,1,2047,2047,0,0,0,26928,39677,0,895,0,1095.79
47,18481,47,2048,1,2047,2047,0,0,0,1495,47601,0,1024,0,1087.02
