sample_index,logit_fixed_raw,logit,lane_mismatch_count,magic,frame_counter,input_beats,tlast_count,first_tlast_beat,last_tlast_beat,early_tlast,missing_tlast,keep_error_count,full_sum_raw,weighted_sum_raw,first_lane0_raw,last_lane0_raw,debug_output_raw,debug_version,latency_us
0,7106,6.939453125,0,21042,4,2048,1,2047,2047,0,0,0,62179,35286,0,1024,7106,1,3190.773
1,6647,6.4912109375,0,21042,7,2048,1,2047,2047,0,0,0,50724,38676,0,895,6647,1,3194.771
2,6638,6.482421875,0,21042,10,2048,1,2047,2047,0,0,0,4960,43642,0,1024,6638,1,3237.372
3,5295,5.1708984375,0,21042,13,2048,1,2047,2047,0,0,0,54604,59430,0,1024,5295,1,3222.634
4,8955,8.7451171875,0,21042,16,2048,1,2047,2047,0,0,0,56699,5949,0,1024,8955,1,3244.705
5,7907,7.7216796875,0,21042,19,2048,1,2047,2047,0,0,0,19121,20446,0,1024,7907,1,3240.317
6,8610,8.408203125,0,21042,22,2048,1,2047,2047,0,0,0,17470,3454,0,1024,8610,1,3176.887
7,7477,7.3017578125,0,21042,25,2048,1,2047,2047,0,0,0,20821,33814,0,1024,7477,1,3224.898
8,3785,3.6962890625,0,21042,28,2048,1,2047,2047,0,0,0,59751,28730,0,1024,3785,1,3195.743
9,6562,6.408203125,0,21042,31,2048,1,2047,2047,0,0,0,28418,23750,0,1024,6562,1,3246.379
10,10413,10.1689453125,0,21042,34,2048,1,2047,2047,0,0,0,6615,195,0,971,10413,1,3195.242
11,5618,5.486328125,0,21042,37,2048,1,2047,2047,0,0,0,13129,46848,0,1024,5618,1,3245.648
12,5760,5.625,0,21042,40,2048,1,2047,2047,0,0,0,20425,6345,0,895,5760,1,3198.968
13,7638,7.458984375,0,21042,43,2048,1,2047,2047,0,0,0,57511,34895,0,1024,7638,1,3193.96
14,4843,4.7294921875,0,21042,46,2048,1,2047,2047,0,0,0,27042,17153,0,1024,4843,1,3228.004
15,6540,6.38671875,0,21042,49,2048,1,2047,2047,0,0,0,46870,55366,0,1024,6540,1,3216.722
16,11840,11.5625,0,21042,52,2048,1,2047,2047,0,0,0,20383,20031,0,1024,11840,1,3194.24
17,4724,4.61328125,0,21042,55,2048,1,2047,2047,0,0,0,49738,49538,0,1024,4724,1,3197.456
18,6462,6.310546875,0,21042,58,2048,1,2047,2047,0,0,0,7397,34834,0,1024,6462,1,3198.878
19,8652,8.44921875,0,21042,61,2048,1,2047,2047,0,0,0,2450,15095,0,1024,8652,1,3232.492
20,7620,7.44140625,0,21042,64,2048,1,2047,2047,0,0,0,52470,63045,0,895,7620,1,3188.499
21,6831,6.6708984375,0,21042,67,2048,1,2047,2047,0,0,0,30364,16260,0,1024,6831,1,3224.407
22,6912,6.75,0,21042,70,2048,1,2047,2047,0,0,0,42916,7361,0,1024,6912,1,3236.65
23,8194,8.001953125,0,21042,73,2048,1,2047,2047,0,0,0,14667,49655,0,1024,8194,1,3216.382
24,10908,10.65234375,0,21042,76,2048,1,2047,2047,0,0,0,36474,21957,0,1024,10908,1,3233.173
25,13218,12.908203125,0,21042,79,2048,1,2047,2047,0,0,0,52337,7218,0,1024,13218,1,3193.288
26,13093,12.7861328125,0,21042,82,2048,1,2047,2047,0,0,0,28868,52880,0,1024,13093,1,3196.134
27,9160,8.9453125,0,21042,85,2048,1,2047,2047,0,0,0,60156,29362,0,1024,9160,1,3292.466
28,13870,13.544921875,0,21042,88,2048,1,2047,2047,0,0,0,41702,38976,0,1024,13870,1,3196.293
29,15190,14.833984375,0,21042,91,2048,1,2047,2047,0,0,0,57212,30389,0,1024,15190,1,3225.158
30,11359,11.0927734375,0,21042,94,2048,1,2047,2047,0,0,0,16130,38087,0,1024,11359,1,3196.905
31,14406,14.068359375,0,21042,97,2048,1,2047,2047,0,0,0,18134,28798,0,899,14406,1,3197.456
32,10553,10.3056640625,0,21042,100,2048,1,2047,2047,0,0,0,41122,53956,0,1024,10553,1,3231.06
33,12021,11.7392578125,0,21042,103,2048,1,2047,2047,0,0,0,38298,21777,0,1024,12021,1,3201.394
34,12565,12.2705078125,0,21042,106,2048,1,2047,2047,0,0,0,5051,36471,0,1024,12565,1,3198.017
35,10202,9.962890625,0,21042,109,2048,1,2047,2047,0,0,0,3261,2129,0,1024,10202,1,3226.511
36,7917,7.7314453125,0,21042,112,2048,1,2047,2047,0,0,0,24306,59792,0,1024,7917,1,3216.803
37,6272,6.125,0,21042,115,2048,1,2047,2047,0,0,0,65111,2260,0,1024,6272,1,3217.854
38,15825,15.4541015625,0,21042,118,2048,1,2047,2047,0,0,0,5246,30483,0,1024,15825,1,3231.119
39,11666,11.392578125,0,21042,121,2048,1,2047,2047,0,0,0,18488,18377,0,1024,11666,1,3196.785
40,4797,4.6845703125,0,21042,124,2048,1,2047,2047,0,0,0,43932,52544,0,1024,4797,1,3292.106
41,11865,11.5869140625,0,21042,127,2048,1,2047,2047,0,0,0,3042,16079,0,1024,11865,1,3230.92
42,11119,10.8583984375,0,21042,130,2048,1,2047,2047,0,0,0,39359,38659,0,1024,11119,1,3190.653
43,11780,11.50390625,0,21042,133,2048,1,2047,2047,0,0,0,29535,24751,0,895,11780,1,3237.803
44,9310,9.091796875,0,21042,136,2048,1,2047,2047,0,0,0,12485,36959,0,1024,9310,1,3223.054
45,11422,11.154296875,0,21042,139,2048,1,2047,2047,0,0,0,32651,62463,0,1024,11422,1,3190.173
46,16535,16.1474609375,0,21042,142,2048,1,2047,2047,0,0,0,26928,39677,0,895,16535,1,3233.053
47,9740,9.51171875,0,21042,145,2048,1,2047,2047,0,0,0,1495,47601,0,1024,9740,1,3200.772
