sample_index,logit_fixed_raw,logit,magic,frame_counter,input_beats,tlast_count,first_tlast_beat,last_tlast_beat,early_tlast,missing_tlast,keep_error_count,full_sum_raw,weighted_sum_raw,first_lane0_raw,last_lane0_raw,latency_us
0,7106,6.939453125,21069,0,2048,1,2047,2047,0,0,0,62179,35286,0,1024,3193.618
1,7106,6.939453125,21069,1,2048,1,2047,2047,0,0,0,50724,38676,0,895,3192.557
2,7106,6.939453125,21069,2,2048,1,2047,2047,0,0,0,4960,43642,0,1024,3191.766
3,7106,6.939453125,21069,3,2048,1,2047,2047,0,0,0,54604,59430,0,1024,3260.435
4,7106,6.939453125,21069,4,2048,1,2047,2047,0,0,0,56699,5949,0,1024,3191.685
5,7106,6.939453125,21069,5,2048,1,2047,2047,0,0,0,19121,20446,0,1024,3245.276
6,7106,6.939453125,21069,6,2048,1,2047,2047,0,0,0,17470,3454,0,1024,3205.381
7,7106,6.939453125,21069,7,2048,1,2047,2047,0,0,0,20821,33814,0,1024,3266.196
8,7106,6.939453125,21069,8,2048,1,2047,2047,0,0,0,59751,28730,0,1024,3223.325
9,7106,6.939453125,21069,9,2048,1,2047,2047,0,0,0,28418,23750,0,1024,3216.121
10,7106,6.939453125,21069,10,2048,1,2047,2047,0,0,0,6615,195,0,971,3234.225
11,7106,6.939453125,21069,11,2048,1,2047,2047,0,0,0,13129,46848,0,1024,3197.285
12,7106,6.939453125,21069,12,2048,1,2047,2047,0,0,0,20425,6345,0,895,3237.943
13,7106,6.939453125,21069,13,2048,1,2047,2047,0,0,0,57511,34895,0,1024,3208.607
14,7106,6.939453125,21069,14,2048,1,2047,2047,0,0,0,27042,17153,0,1024,3205.932
15,7106,6.939453125,21069,15,2048,1,2047,2047,0,0,0,46870,55366,0,1024,3198.107
16,7106,6.939453125,21069,16,2048,1,2047,2047,0,0,0,20383,20031,0,1024,3196.805
17,7106,6.939453125,21069,17,2048,1,2047,2047,0,0,0,49738,49538,0,1024,3192.627
18,7106,6.939453125,21069,18,2048,1,2047,2047,0,0,0,7397,34834,0,1024,3196.154
19,7106,6.939453125,21069,19,2048,1,2047,2047,0,0,0,2450,15095,0,1024,3199.76
20,7106,6.939453125,21069,20,2048,1,2047,2047,0,0,0,52470,63045,0,895,3221.431
21,7106,6.939453125,21069,21,2048,1,2047,2047,0,0,0,30364,16260,0,1024,3193.789
22,7106,6.939453125,21069,22,2048,1,2047,2047,0,0,0,42916,7361,0,1024,3197.256
23,7106,6.939453125,21069,23,2048,1,2047,2047,0,0,0,14667,49655,0,1024,3228.254
24,7106,6.939453125,21069,24,2048,1,2047,2047,0,0,0,36474,21957,0,1024,3263.942
25,7106,6.939453125,21069,25,2048,1,2047,2047,0,0,0,52337,7218,0,1024,3195.823
26,7106,6.939453125,21069,26,2048,1,2047,2047,0,0,0,28868,52880,0,1024,3226.211
27,7106,6.939453125,21069,27,2048,1,2047,2047,0,0,0,60156,29362,0,1024,3222.262
28,7106,6.939453125,21069,28,2048,1,2047,2047,0,0,0,41702,38976,0,1024,3226.531
29,7106,6.939453125,21069,29,2048,1,2047,2047,0,0,0,57212,30389,0,1024,3253.402
30,7106,6.939453125,21069,30,2048,1,2047,2047,0,0,0,16130,38087,0,1024,3226.782
31,7106,6.939453125,21069,31,2048,1,2047,2047,0,0,0,18134,28798,0,899,3213.566
32,7106,6.939453125,21069,32,2048,1,2047,2047,0,0,0,41122,53956,0,1024,3211.132
33,7106,6.939453125,21069,33,2048,1,2047,2047,0,0,0,38298,21777,0,1024,3228.876
34,7106,6.939453125,21069,34,2048,1,2047,2047,0,0,0,5051,36471,0,1024,3198.798
35,7106,6.939453125,21069,35,2048,1,2047,2047,0,0,0,3261,2129,0,1024,3208.958
36,7106,6.939453125,21069,36,2048,1,2047,2047,0,0,0,24306,59792,0,1024,3204.84
37,7106,6.939453125,21069,37,2048,1,2047,2047,0,0,0,65111,2260,0,1024,3199.139
38,7106,6.939453125,21069,38,2048,1,2047,2047,0,0,0,5246,30483,0,1024,3171.347
39,7106,6.939453125,21069,39,2048,1,2047,2047,0,0,0,18488,18377,0,1024,3200.401
40,7106,6.939453125,21069,40,2048,1,2047,2047,0,0,0,43932,52544,0,1024,3199.991
41,7106,6.939453125,21069,41,2048,1,2047,2047,0,0,0,3042,16079,0,1024,3192.887
42,7106,6.939453125,21069,42,2048,1,2047,2047,0,0,0,39359,38659,0,1024,3192.597
43,7106,6.939453125,21069,43,2048,1,2047,2047,0,0,0,29535,24751,0,895,3194.61
44,7106,6.939453125,21069,44,2048,1,2047,2047,0,0,0,12485,36959,0,1024,3194.07
45,7106,6.939453125,21069,45,2048,1,2047,2047,0,0,0,32651,62463,0,1024,3197.055
46,7106,6.939453125,21069,46,2048,1,2047,2047,0,0,0,26928,39677,0,895,3198.928
47,7106,6.939453125,21069,47,2048,1,2047,2047,0,0,0,1495,47601,0,1024,3254.463
